pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
DA5	-0.412817536743	0.071844868671	-0.384199634946	0.258600732313	-0.146447554934	0.212437415008	-0.0727107848912	0.00510796568592	-0.0417266776407	0.052055087276	-0.0450475196579	-0.134299795437	0.0436881616401	0.0247016480759	-0.0718498202657	-0.025874217085	0.01553373863	0.00951595196227	-0.0377947350763	0.0209070169032	-0.0277086597763	-0.0323438024414	0.0529675790187	-0.00491688776288	-0.0296563764063	-0.0449106571336	-0.00278045868814	0.0586500180799	0.0271254265647	0.0434886571774	0.00758181956114	-0.0636741470129	0.0360491489012	-0.0118717778788	-0.0185254259166	-0.0117967489776	-0.0276166514697	-0.0309702112402	-0.0141026412337	-0.00130263849017	-0.023169453487	-0.00319135949805	0.105164028308	-0.0278083775544	-0.0745658649872	0.0380207479982	0.00614119711905	0.0106354181891	0.048147856244	0.00298419340479	0.00796453202033	0.00555145198541	-0.015857703781	0.0415696932884	-0.000229993328233	0.0162105615822	-0.0355871575067	-0.00990090404115	-0.00866796850543	-0.00258328539242	-0.000895405914623	-0.00226579705891	-1.42663255637e-08
DB5	-0.469194194882	0.353483255558	-0.279879676832	0.211667715294	-0.157116659188	0.208732746907	-0.111350078413	0.019071842373	0.0014745422999	-0.0714900784668	-0.0884305944744	-0.0141508159271	0.129948854302	0.0707876492739	-0.110186040873	-0.200697072989	-0.0769758873061	0.0132958269035	-0.0496636479786	0.0129151014407	-0.0192976397492	-0.0328827522506	0.0149287455177	0.0309151293122	0.122323429651	0.0894389071951	-0.0465712928247	-0.0334159210624	-0.00106186249496	0.0172785773479	-0.0183130830044	0.038030076339	0.031632944465	0.0410803785985	-0.056025176893	0.0507105935496	0.00515690376883	0.074239810287	-0.0128753533091	-0.0159200670351	-0.0482757066486	-0.0388484340093	0.0116993163777	-0.0429642237083	0.0415408623146	0.0143195596581	-0.0155918334162	-0.0191417587854	0.00897708569503	-0.0302665843029	0.0206001290011	-0.014340214854	-0.0146549074462	-0.0196018083798	-0.00813211826464	-0.00142951607228	-0.000843811083009	0.0246236415168	0.00202579564936	-7.41173169591e-05	0.00152242948689	-9.97995215857e-06	-1.42663255637e-08
DC5	-0.251140110457	0.153212876224	-0.41524124324	0.0646033350756	-0.261123268679	0.161934572049	0.0212212247485	0.10135006003	-0.138463470536	-0.00970900619204	-0.0910595794156	-0.0207890753659	-0.0694794009285	0.187555193546	-0.0537948103038	0.0156938557025	0.13192016358	0.0531795092059	-0.0610651443188	-0.0201087045519	0.0183822572289	-0.0140830587923	0.00441459659315	0.0512352700261	0.102316975468	-0.0256997228235	-0.00402099185729	0.0999385412657	0.0176286018113	0.00663461519505	-0.0732174981848	-0.00058191423423	-0.0832877061009	0.0314111215894	-0.0163813399227	-0.0320222944428	0.0191215403409	-0.0191675168204	-0.0625272758199	-0.0120816554156	0.052342899987	0.0674824875231	-0.0340777700454	-0.00201936268718	0.00929704475566	-0.00956746593869	-0.0520731458207	0.000812935897386	-0.0170905295059	-0.000356699482337	-0.0189951303012	-0.0224692593459	0.00426571960975	0.0321927720072	-0.0172811746049	-0.00402638597182	0.0148883846421	-0.0051172947805	-0.00670331398148	0.00449519888305	0.004795234416	0.00370237400118	-1.42663255637e-08
DD5	-0.385916515572	0.118183197467	-0.37907283541	0.192074580293	-0.167672071572	0.170677116733	-0.250727724356	-0.0324201438663	-0.126352216557	-0.0484677268884	-0.101738031421	-0.118422882719	0.00494688602179	0.0361834630226	-0.0562068401121	-0.00642443785835	-0.00553182864368	-0.0573641135297	0.0581880164639	0.0293969064306	-0.0124197775792	-0.0617554794755	0.0089845842613	0.00453072556915	-0.0209289173765	-0.0424228822298	-0.00622159452871	-0.0014478016929	0.0102779883461	0.0286716480276	0.0752354507015	-0.00719195992034	-0.0112239892737	-0.0458775741588	-0.0616153985282	-0.000849750190036	0.0401146359261	-0.00639810785988	0.0003617276406	-0.029858971908	-0.0228335320751	-0.00872433394214	-0.00474323208366	0.0407754602833	0.037068616202	-0.000608023922109	0.0364797979943	-0.00865362799643	-0.0808398176821	0.0109018452093	-0.0317766254911	-0.0208779643236	-0.00301810836296	-0.032138487896	0.0402837176443	0.0173856065682	-0.0134084623315	-0.0282950685888	-0.00531273539439	-0.000797598580138	0.0102748633837	0.00197278917321	-1.42663255637e-08
DE5	-0.42357949501	0.0832820033395	-0.332548259127	0.269280233476	-0.0697816695179	0.22574834398	-0.283058426509	-0.0462507707522	-0.0829704768232	-0.0259604849441	-0.0624726735757	-0.123760446079	0.0340221887434	-0.0239794151489	-0.0483886256849	0.0360018468276	-0.00781510232955	-0.0883134714259	0.00720989849117	0.0252371673261	-0.0261609143696	-0.0204855506484	0.0464197101121	-0.0124739228008	-0.113467904036	-0.0400630253813	0.0184800312443	0.0701781637725	0.00906101382072	0.0235546137952	0.102926965392	0.0154077069973	-0.023967169164	-0.0298331712678	0.0232113002314	0.0367257148676	-0.020572123835	0.025692228085	0.0270095708062	0.00568567433635	0.0204580281084	0.00503442247916	-0.0727659968374	-0.012926819759	0.0342369735452	-0.0101573723712	-0.0290557112265	0.0261807071331	0.0493744509074	0.00792850143627	0.0257810551571	-0.0110567181019	-0.0157361614685	0.0148254615057	-0.00999924261203	0.0103628514197	0.0279602854923	0.00649713218961	0.0169518421748	-0.00905765750965	-0.0112120516986	-0.00592066119188	-1.42663255637e-08
DF5	-0.356623542297	0.0821894691331	-0.428943446142	0.113559173828	-0.274883099334	0.0480699664308	-0.0351276960125	0.0791190064322	-0.103684831923	0.054875508442	-0.107319291249	-0.0547455916432	-0.0646993268574	0.0685193296925	-0.0601758946327	0.0609675349043	0.0782721518859	0.0447525151889	-0.000451655191564	-0.0711994969177	0.00696186681177	0.0436508466773	0.0460976923552	-0.0811625997948	-0.00735404891447	-0.0326224247771	-0.0117479953175	-0.0493241533238	0.0668362528506	0.0217380545353	-0.00314955030477	0.114790063537	-0.0606485104049	0.00894829230936	0.0239667192537	-0.0109558722276	0.0431600080337	-0.0623874366805	0.00387361009137	0.0426856788533	-0.0036566827941	-0.0221359544581	0.0101918816229	-0.00572478715253	-0.0117254424937	-0.017532270773	0.052500419345	0.0142811989295	0.0297557502698	0.0149911645822	0.00897210427601	0.0397713147128	-0.00230959417892	-0.0546463362919	-0.027121020293	-0.00609006417772	-0.00582569468879	0.0177152595687	0.000588191956089	0.00940728302991	0.004591347871	0.00295210223251	-1.42663255637e-08
DG5	-0.488847950383	0.220580220978	-0.365526203788	0.219082528902	-0.208287518339	0.10501408831	-0.028003951655	-0.0266604761568	-0.0216416477175	-0.046185460932	-0.0633336385221	0.0321937567696	0.0866298771249	0.0633413935586	-0.0772464263572	-0.0162663489307	-0.0634916552541	-0.0264067259733	-0.0520675862394	-0.0137037600839	-0.0330763476552	0.137727618204	0.0133501451038	-0.0868907739809	0.00514072888938	0.0227462885849	0.000641740104329	-0.0637814858359	0.00195823767851	-0.0393378845952	-0.0181725287652	-0.0363057411561	0.0442086448049	0.012652176244	0.00388491678239	-0.012654698506	-0.0653405502068	-0.0398788647838	0.0107971480822	0.0895156536576	0.0317163004259	-0.0340274141115	0.00729902680921	0.0163830870642	0.0367186889917	0.035821799057	0.0270137404799	-0.0197943880668	-0.0284567128843	0.0196287883398	-0.032739399815	0.00163309364148	0.0236511190515	0.0369285018209	-0.0105145661724	-0.0332468525818	0.0150192243744	-0.0122941252632	0.00917585171805	-0.0108196334809	-0.00374353735041	0.00520873234217	-1.42663255637e-08
DH5	-0.478006165006	0.143338175538	-0.24195991805	0.152572898019	-0.08185528611	0.224421213687	-0.157696746686	-0.0787164899951	-0.0321227872861	0.115380206622	0.0115824576778	-0.0738637909133	0.0278735216671	0.0148010195206	-0.0010938306217	0.0195290428858	0.0615394186987	-0.00892462674523	-0.124071888071	0.0550659861068	-0.0857944733936	0.0682459748271	-0.0441497288248	0.059056693159	-0.0136671395961	-0.0173047930079	0.0391488950656	-0.0208456550005	-0.0200582116223	-0.0851000802233	0.0345225013612	-0.00062897559943	0.0252056748842	-0.0337104532342	0.0529691044491	0.0033714142293	-0.00823792475593	-0.0120806998577	0.0114134414976	-0.026214522943	-0.0222161674585	0.035720368601	-0.0278942531695	-0.0089418176829	-0.0514646502386	-0.0133900450694	-0.0365284676998	-0.0407676578649	-0.0360733909933	-0.0437234427105	0.0163732565451	0.0533366983096	0.0312942904634	-0.0119527801228	0.0328175733029	-0.021861618475	-0.00700546603127	0.0170409055865	-0.00700079983009	-0.000363458514745	-0.00508072718203	-0.00173910924811	-1.42663255637e-08
DA2	-0.190768152344	0.274809195746	-0.0711152768971	-0.166513319319	-0.0439094311059	0.189838881706	-0.181398076247	-0.0896927059615	0.00532251035072	0.0792911508829	0.0273655929104	0.140134457339	0.0164275397831	-0.184174051969	0.0318996099173	0.0288220406304	-0.00149826583926	0.0499047688677	0.0196940050257	0.0832604243098	-0.0886383636366	-0.0870717202139	-0.107600790687	-0.148124572909	-0.0355974303465	0.0358251200367	-0.00753108675115	-0.0527114150311	0.0125655951277	-0.00814304079953	0.00353368143326	-0.0234923464368	0.0326588023915	0.0402285483977	-0.0471042785007	0.000504190781039	-0.000416244316733	-0.0253300739594	-0.107755754801	0.0321585805409	0.0402489647708	0.0528404644771	-0.00591374592711	0.0231794553274	0.0176859312462	-0.0323915630082	0.000177137014565	-0.0079409748534	0.0330398143007	-0.0298873339274	-0.0113654352311	-0.00531946113727	0.0165443177796	-0.00579699427892	-0.00246640727762	0.029555194837	-0.00763374256998	0.00828142748956	-0.00148554209876	-0.00253889177813	0.00266299502813	0.000698836921308	-1.42663255637e-08
DB2	-0.376358019576	-0.107046074768	-0.0551514741532	-0.274197205805	0.136745720985	0.162873636648	-0.408980180566	-0.124437893412	-0.0521627994866	0.191000325831	0.158899298963	-0.0775161309304	-0.0672132034715	0.0607377503932	0.073264826572	-0.0247609062154	-0.0471907130802	0.0273750967861	0.134192480706	0.0126226086855	0.0380963375713	0.0801496117573	-0.0855439729189	-0.018997628402	0.0464995209286	0.07717514057	-0.0103615730808	0.141692836186	-0.0234185505965	-0.0225811832252	-0.0252152637122	0.0428015182559	0.00800086891077	0.00496332580496	0.0897742095942	-0.0362018931588	-0.00852123838629	0.033745035047	-0.0085441708142	-0.011990938388	-0.0172662616293	-0.0368009974863	-0.0146776576911	0.00436136927257	0.00276840103066	0.017622771387	0.0375360259271	0.022809028752	0.00806696959597	0.0131359077536	-0.0146115328847	-0.00722017488986	0.015731752832	0.000183368444575	-0.00220299014778	0.00702687740251	-0.00916299135632	0.00711726280402	-0.0118016126208	-0.0108359580636	-0.00263576936711	0.0108718574407	-1.42663255637e-08
