pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CR89	0.665335798874	0.534590908578	-0.175743357355	0.10615733663	-0.0738118811058	0.0561379496448	-0.0735531526611	0.112680300546	0.287735417969	-0.00990936117068	-0.163430406071	-0.103754097575	0.187322364292	0.145522432962	0.01605808406	0.163362206762	-0.131824058361	-0.056236686991	-0.0660670311357	-0.0233581540968	-0.0376987561105	-0.0129853637697	0.0383998541437	0.00833485977699	0.00368560883665	1.9958223765e-08
CR95	0.291502250524	0.238366526908	-0.104442304912	-0.0253526698317	0.00821960812888	-0.1500025987	-0.0185143932019	0.00425441201155	0.0435912480584	0.0659470570703	-0.173298404031	-0.0694159882606	-0.0595520996418	-0.150137315877	-0.0268683157267	0.040901573886	0.0509704235938	-0.127730605337	0.142907623175	-0.0127485619048	-0.0854156064956	0.00152470424246	-0.0486031064556	0.0650658348658	-0.0075531241961	1.9958223765e-08
CR334	0.332130262437	-0.113805962091	0.0705990306869	0.0640780065282	0.126903555582	-0.189192517338	0.152179018691	0.10299155023	0.00559091712827	-0.049797489803	-0.206806284589	-0.0641887231838	0.122065185039	0.0784929909464	0.158141742012	-0.128049298798	-0.06999625798	0.181582629683	0.114952628117	0.0528562143393	0.0212763859561	-0.0126359920974	-0.0311760983963	-0.00556006171087	-0.0016576100386	1.9958223765e-08
CR348	0.583472237533	-0.417976162449	-0.0172136118042	0.260166161064	-0.0302856414115	-0.285425534524	0.399630626134	-0.423778150989	-0.0311612684866	0.0710370364294	0.0828644495424	-0.21932865751	0.0382372618979	-0.0519186225668	0.0248536534738	0.0601210984505	0.0330898088437	-0.015954354333	-0.0475377834641	0.0260424163125	0.0206730274221	-0.00503897479503	0.0342284330099	0.00222161267736	-0.000661476935849	1.9958223765e-08
CR457	0.39227499544	0.33808860046	0.00564219364693	-0.138536198546	0.519984995352	-0.0809397451604	-0.118994423165	0.0522496155264	-0.212703487175	0.0391907811833	0.0653190433743	0.0312854021284	0.0753375687311	-0.056778607442	0.0592142600622	0.0230004192432	0.0290745360699	-0.0749870301355	0.100491865687	0.0273673491132	-0.0305115326342	-0.0394758207307	0.0740622980336	-0.0427712550374	0.0109785447988	1.9958223765e-08
CR458	0.371616678299	0.289986678542	-0.00851327639277	-0.179177157385	0.417959936758	-0.143475040016	-0.0950134002175	0.0343008234141	-0.191306932417	0.0832000822063	0.0133097205067	0.0646880990238	0.0174414426172	-0.00267136778615	-0.0254753848703	0.0268698701141	-0.0744875087584	0.0435273301861	-0.110270548318	0.0277936473868	0.061820220176	0.0971208280883	0.00348863641413	0.0790504851726	-0.00365223620407	1.9958223765e-08
CR464	0.444401910606	-0.14474021593	0.112904919152	-0.438166509536	0.0323896803436	-0.12039947369	0.01062812733	-0.0401022527026	-0.0761081119148	0.0149953444432	-0.00473472464917	0.0169681817798	-0.137399788818	0.22019920721	-0.0913082235967	0.0102449807429	-0.0430053299543	-0.0259974026717	0.0173784722075	-0.0316873943977	0.00837796405718	-0.0650752338417	0.0264320044339	-0.0284742262344	-0.021837382328	1.9958223765e-08
CR469	0.435434935756	-0.536645654067	0.0668838246495	0.0233662983903	0.0945420796796	-0.0760093761672	0.0487026367404	-0.0827855748803	0.0840742919837	-0.0313555703326	-0.0103427126315	0.267849876447	0.302090456733	0.049089341725	-0.11057342971	-0.0507548910068	0.170871462995	0.00295164093643	-0.0475505209084	-0.0285651489067	-0.0502475381949	-0.012973911348	-0.0186402319452	0.00402123044094	-0.00262656203761	1.9958223765e-08
CR470	0.422135253996	-0.295279646764	-0.0969245532831	0.351622849801	-0.0581433456022	-0.381125980575	-0.105629909045	0.121818804439	0.245687516032	0.0811627913881	-0.039183917319	0.159766777187	-0.145506316907	-0.0714918903341	-0.109643009903	0.103815386044	0.0231273909719	0.0410917671185	0.058457569234	0.00184487154029	0.11290261439	0.0162736518097	0.0183952987106	-0.0264862694641	0.00308208409135	1.9958223765e-08
CR2528	0.681379094021	0.848925789915	-0.129158868982	0.0103331958262	0.0879000920152	0.0164837875966	-0.0365516605671	0.0223854822442	-0.086102272218	0.036865088732	0.0209614783075	-0.0595449102621	0.0159195538023	-0.152672781213	-0.0562201947512	0.0164804977653	-0.0146896641282	0.059328331749	-0.0924499289699	-0.0767650221973	0.0480760685382	-0.136173561439	-0.0717088829054	-0.0155149417957	0.00217422514396	1.9958223765e-08
CR2530	0.826370368863	1.00963492973	-0.255233993345	0.0628616226973	-0.264620747658	0.245022150347	0.043405190375	0.0626593102088	-0.100745266625	-0.0734637645521	0.049878635668	-0.131744009115	0.0990213510089	-0.0358956156764	-0.231588090669	-0.0531074421879	0.0553822868618	0.0621412739475	0.0703246011605	-0.0036039752322	0.0166260550574	0.0870732426641	0.0290171194958	-0.0244873069867	-0.00466901214731	1.9958223765e-08
GM173	0.108773578097	-0.493717672244	-0.262637461136	0.524115854129	-0.279164504954	-0.120100862801	0.156713011622	0.425085071097	-0.331480643164	0.00785544968167	-0.0156709362103	0.0199624561463	-0.0461412866429	0.0541671969526	0.0250523867297	-0.0378864075457	-0.00422351431616	-0.0812261829299	-0.0669339298271	-0.0133846082695	-0.0353931133901	-0.00570324426123	0.0016012244233	-0.000225735656302	0.000966706905263	1.9958223765e-08
KSG242	-2.97334550953	0.153448384913	-1.20913880785	-0.159664045006	-0.00347194839631	-0.264232070771	-0.076887054428	-0.0732646180014	0.0125813736479	-0.396715908688	-0.0104141754031	-0.0184902189799	-0.0323476412997	-0.016330174052	0.0184535757941	-0.00913612304751	0.0187181838244	-0.0186821338996	-0.0329951892842	0.00434391730654	0.00449820694323	0.00638115061564	-0.000716660908287	-0.00419532791239	0.00116376607759	1.9958223765e-08
KSG246	-3.91269343464	-0.0856645632328	-0.514692740983	0.231384266575	0.211814350953	0.340760483563	0.0732222356746	-0.0358964655402	0.0506332378669	0.342593117214	-0.0458454769596	-0.00188928203822	-0.00600069487466	0.0305429729074	-0.0450846533432	-0.0320690220165	-0.0143335915263	0.0184083459136	0.00928308410145	-0.00901743831052	-0.00521370555487	-0.000569296617814	0.00100537903278	-0.0109542137847	-0.00223574379679	1.9958223765e-08
KSG477	-2.7058498713	0.603405514802	2.04185588759	0.0454581899261	-0.183155407244	-0.160428090504	-0.0213824352213	0.00840650362552	-0.0245447186766	-0.072340617622	0.0262123022741	0.00469293470271	0.0232155152766	-0.00355095165654	0.0106473109972	0.0170472620583	0.00678904941408	-0.0143782299269	-0.00810180794349	5.31795336934e-05	0.00246525457445	0.00465214975243	0.000656831128695	-3.26786631789e-05	0.00056089816307	1.9958223765e-08
KSG0645	0.290706127176	-0.544530415825	0.215017545861	0.242613861915	-0.00373405337587	0.228133773891	-0.111570298474	-0.0156209148671	0.0926036969066	-0.137934755653	0.0880955213672	0.0302658343248	-0.0852780543379	-0.127742339008	-0.0959231787543	-0.0859731669156	-0.0916608946705	0.0866656160321	-0.012139352071	0.0744661518614	-0.0678816392232	-0.078589695485	0.0606971486184	0.049352464149	-0.00224782380975	1.9958223765e-08
KSG0647	0.469665115663	-0.545454034696	0.249076697315	-0.0955820590052	-0.0326795959049	0.331764676472	-0.203162747904	-0.0447014666434	-0.093829716786	-0.0365292949638	-0.308363881969	-0.0684637606845	-0.0548025716758	-0.0509741444919	0.0515154158171	0.0914952558025	0.130558460116	-0.000337798670557	-0.0803567754085	0.117803383654	0.0233337960664	0.0115735496144	-0.00980173800584	-0.0347637218703	-0.00266870025525	1.9958223765e-08
KSG0652	0.390312707596	-0.372123384554	0.0971219913209	0.264825546892	0.165074106175	0.0555127328257	-0.313374780857	0.0103427064532	0.0356378368034	-0.0269452483708	0.225645124212	-0.195135633746	-0.0821622518934	0.192423803877	0.0627434798852	0.0390972391848	0.140209758326	0.0722108610661	0.0294892295941	-0.0732435379373	-0.0205810422041	0.012405782683	-0.0246962590174	0.0230137386434	0.00343941618922	1.9958223765e-08
KSG0660	0.467187158654	-0.613388842207	0.106211884015	0.111727899346	0.0769641778439	-0.00566917508055	-0.180877712432	-0.0715986985479	0.0434413087882	-0.0166354090829	0.200328619515	-0.0246722640499	0.0815839918986	-0.0577838434571	-0.022927074631	-0.030044295325	-0.181670388754	-0.0924308589636	0.00468604006446	0.04925365398	-0.0226903986852	0.0591866583338	-0.0732949903789	-0.0592912756556	-0.00415966246503	1.9958223765e-08
KSG0673	0.459097011777	-0.603760328256	0.221201538158	0.0447940704692	-0.0423529429865	0.282698270552	-0.0404072178139	-0.191909233104	-0.0688102689761	-0.106591817658	-0.156264622249	0.0449867101808	0.00477386131995	-0.042655258395	0.0628999277549	-0.0951306116475	-0.0702907614934	-0.0701041975447	0.0417680725846	-0.176070339636	0.0876280417642	0.0215262654219	0.0240789568144	0.0123771240118	0.00387268679793	1.9958223765e-08
