Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
186	6.0000	1.1940	1.1721
187	5.0000	0.9950	0.9768
188	5.0000	0.9950	0.9768
189	4.0000	0.7960	0.7814
190	4.0000	0.7960	0.7814
191	6.0000	1.1940	1.1721
192	6.0000	1.1940	1.1721
193	4.0000	0.7960	0.7814
194	6.0000	1.1940	1.1721
195	4.0000	0.7960	0.7814
196	4.0000	0.7960	0.7814
197	0.0000	0.0000	0.0000
198	6.0000	1.1940	1.1721
199	6.0000	1.1940	1.1721
200	4.0000	0.7960	0.7814
201	6.0000	1.1940	1.1721
202	4.0000	0.7960	0.7814
203	6.0000	1.1940	1.1721
204	6.0000	1.1940	1.1721
205	4.0000	0.7960	0.7814
206	3.0000	0.5970	0.5861
207	2.0000	0.3980	0.3907
208	6.0000	1.1940	1.1721
209	3.0000	0.5970	0.5861
210	4.0000	0.7960	0.7814
211	6.0000	1.1940	1.1721
212	4.0000	0.7960	0.7814
213	4.0000	0.7960	0.7814
214	3.0000	0.5970	0.5861
215	4.0000	0.7960	0.7814
216	7.0000	1.3930	1.3675
217	6.0000	1.1940	1.1721
218	6.0000	1.1940	1.1721
219	4.0000	0.7960	0.7814
220	6.0000	1.1940	1.1721
221	6.0000	1.1940	1.1721
222	6.0000	1.1940	1.1721
223	6.0000	1.1940	1.1721
224	6.0000	1.1940	1.1721
225	6.0000	1.1940	1.1721
226	6.0000	1.1940	1.1721
227	2.0000	0.3980	0.3907
228	6.0000	1.1940	1.1721
229	5.0000	0.9950	0.9768
230	4.0000	0.7960	0.7814
231	4.0000	0.7960	0.7814
232	6.0000	1.1940	1.1721
233	3.0000	0.5970	0.5861
234	6.0000	1.1940	1.1721
235	5.0000	0.9950	0.9768
236	6.0000	1.1940	1.1721
237	6.0000	1.1940	1.1721
238	4.0000	0.7960	0.7814
239	7.0000	1.3930	1.3675
240	4.0000	0.7960	0.7814
241	6.0000	1.1940	1.1721
242	6.0000	1.1940	1.1721
243	2.0000	0.3980	0.3907
244	6.0000	1.1940	1.1721
245	5.0000	0.9950	0.9768
246	6.0000	1.1940	1.1721
247	6.0000	1.1940	1.1721
248	7.0000	1.3930	1.3675
249	6.0000	1.1940	1.1721
250	0.0000	0.0000	0.0000
251	5.0000	0.9950	0.9768
252	4.0000	0.7960	0.7814
253	3.0000	0.5970	0.5861
254	6.0000	1.1940	1.1721
255	6.0000	1.1940	1.1721
256	2.0000	0.3980	0.3907
257	3.0000	0.5970	0.5861
258	5.0000	0.9950	0.9768
259	4.0000	0.7960	0.7814
260	7.0000	1.3930	1.3675
261	6.0000	1.1940	1.1721
262	6.0000	1.1940	1.1721
263	2.0000	0.3980	0.3907
264	6.0000	1.1940	1.1721
265	2.0000	0.3980	0.3907
266	4.0000	0.7960	0.7814
267	6.0000	1.1940	1.1721
268	7.0000	1.3930	1.3675
269	6.0000	1.1940	1.1721
270	6.0000	1.1940	1.1721
271	6.0000	1.1940	1.1721
272	6.0000	1.1940	1.1721
273	5.0000	0.9950	0.9768
274	6.0000	1.1940	1.1721
275	6.0000	1.1940	1.1721
276	5.0000	0.9950	0.9768
277	6.0000	1.1940	1.1721
278	6.0000	1.1940	1.1721
279	3.0000	0.5970	0.5861
280	5.0000	0.9950	0.9768
281	6.0000	1.1940	1.1721
282	4.0000	0.7960	0.7814
283	0.0000	0.0000	0.0000
284	5.0000	0.9950	0.9768
285	7.0000	1.3930	1.3675
286	7.0000	1.3930	1.3675
287	4.0000	0.7960	0.7814
288	6.0000	1.1940	1.1721
289	6.0000	1.1940	1.1721
290	6.0000	1.1940	1.1721
291	6.0000	1.1940	1.1721
292	6.0000	1.1940	1.1721
293	4.0000	0.7960	0.7814
294	7.0000	1.3930	1.3675
295	4.0000	0.7960	0.7814
296	3.0000	0.5970	0.5861
297	5.0000	0.9950	0.9768
298	6.0000	1.1940	1.1721
299	3.0000	0.5970	0.5861
300	3.0000	0.5970	0.5861
301	6.0000	1.1940	1.1721
302	4.0000	0.7960	0.7814
303	6.0000	1.1940	1.1721
304	6.0000	1.1940	1.1721
305	7.0000	1.3930	1.3675
306	4.0000	0.7960	0.7814
307	6.0000	1.1940	1.1721
308	6.0000	1.1940	1.1721
309	2.0000	0.3980	0.3907
310	4.0000	0.7960	0.7814
311	4.0000	0.7960	0.7814
312	4.0000	0.7960	0.7814
313	6.0000	1.1940	1.1721
314	6.0000	1.1940	1.1721
315	4.0000	0.7960	0.7814
316	3.0000	0.5970	0.5861
317	6.0000	1.1940	1.1721
318	6.0000	1.1940	1.1721
319	7.0000	1.3930	1.3675
320	6.0000	1.1940	1.1721
321	0.0000	0.0000	0.0000
322	4.0000	0.7960	0.7814
323	6.0000	1.1940	1.1721
324	4.0000	0.7960	0.7814
325	7.0000	1.3930	1.3675
326	3.0000	0.5970	0.5861
327	6.0000	1.1940	1.1721
328	6.0000	1.1940	1.1721
329	6.0000	1.1940	1.1721
330	7.0000	1.3930	1.3675
331	7.0000	1.3930	1.3675
332	6.0000	1.1940	1.1721
333	6.0000	1.1940	1.1721
334	6.0000	1.1940	1.1721
335	2.0000	0.3980	0.3907
336	6.0000	1.1940	1.1721
337	4.0000	0.7960	0.7814
338	6.0000	1.1940	1.1721
339	4.0000	0.7960	0.7814
340	6.0000	1.1940	1.1721
341	6.0000	1.1940	1.1721
342	6.0000	1.1940	1.1721
343	5.0000	0.9950	0.9768
344	6.0000	1.1940	1.1721
345	6.0000	1.1940	1.1721
346	6.0000	1.1940	1.1721
347	6.0000	1.1940	1.1721
348	6.0000	1.1940	1.1721
349	0.0000	0.0000	0.0000
350	6.0000	1.1940	1.1721
351	6.0000	1.1940	1.1721
352	4.0000	0.7960	0.7814
353	6.0000	1.1940	1.1721
354	6.0000	1.1940	1.1721
355	6.0000	1.1940	1.1721
356	6.0000	1.1940	1.1721
357	3.0000	0.5970	0.5861
358	4.0000	0.7960	0.7814
359	2.0000	0.3980	0.3907
360	6.0000	1.1940	1.1721
361	7.0000	1.3930	1.3675
362	6.0000	1.1940	1.1721
363	6.0000	1.1940	1.1721
364	6.0000	1.1940	1.1721
365	3.0000	0.5970	0.5861
366	7.0000	1.3930	1.3675
367	6.0000	1.1940	1.1721
368	4.0000	0.7960	0.7814
369	3.0000	0.5970	0.5861
370	3.0000	0.5970	0.5861
371	3.0000	0.5970	0.5861
372	6.0000	1.1940	1.1721
373	4.0000	0.7960	0.7814
374	3.0000	0.5970	0.5861
375	4.0000	0.7960	0.7814
376	7.0000	1.3930	1.3675
377	7.0000	1.3930	1.3675
378	6.0000	1.1940	1.1721
379	6.0000	1.1940	1.1721
380	4.0000	0.7960	0.7814
381	4.0000	0.7960	0.7814
382	6.0000	1.1940	1.1721
383	6.0000	1.1940	1.1721
384	6.0000	1.1940	1.1721
385	6.0000	1.1940	1.1721
386	6.0000	1.1940	1.1721
387	6.0000	1.1940	1.1721
