Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
163	12.0000	1.1223	1.0953
164	12.0000	1.1223	1.0953
165	12.0000	1.1223	1.0953
166	8.0000	0.7482	0.7302
167	13.0000	1.2159	1.1866
168	10.0000	0.9353	0.9127
169	10.0000	0.9353	0.9127
170	11.0000	1.0288	1.0040
171	14.0000	1.3094	1.2778
172	10.0000	0.9353	0.9127
173	11.0000	1.0288	1.0040
174	10.0000	0.9353	0.9127
175	13.0000	1.2159	1.1866
176	13.0000	1.2159	1.1866
177	14.0000	1.3094	1.2778
178	10.0000	0.9353	0.9127
179	10.0000	0.9353	0.9127
180	12.0000	1.1223	1.0953
181	15.0000	1.4029	1.3691
182	12.0000	1.1223	1.0953
183	11.0000	1.0288	1.0040
184	13.0000	1.2159	1.1866
185	12.0000	1.1223	1.0953
186	13.0000	1.2159	1.1866
187	9.0000	0.8418	0.8215
188	10.0000	0.9353	0.9127
189	10.0000	0.9353	0.9127
190	10.0000	0.9353	0.9127
191	13.0000	1.2159	1.1866
192	10.0000	0.9353	0.9127
193	14.0000	1.3094	1.2778
194	6.0000	0.5612	0.5476
195	14.0000	1.3094	1.2778
196	12.0000	1.1223	1.0953
197	12.0000	1.1223	1.0953
198	13.0000	1.2159	1.1866
199	14.0000	1.3094	1.2778
200	12.0000	1.1223	1.0953
201	14.0000	1.3094	1.2778
202	12.0000	1.1223	1.0953
203	13.0000	1.2159	1.1866
204	10.0000	0.9353	0.9127
205	12.0000	1.1223	1.0953
206	9.0000	0.8418	0.8215
207	13.0000	1.2159	1.1866
208	10.0000	0.9353	0.9127
209	10.0000	0.9353	0.9127
210	12.0000	1.1223	1.0953
211	13.0000	1.2159	1.1866
212	14.0000	1.3094	1.2778
213	10.0000	0.9353	0.9127
214	9.0000	0.8418	0.8215
215	13.0000	1.2159	1.1866
216	12.0000	1.1223	1.0953
217	8.0000	0.7482	0.7302
218	10.0000	0.9353	0.9127
219	10.0000	0.9353	0.9127
220	10.0000	0.9353	0.9127
221	13.0000	1.2159	1.1866
222	10.0000	0.9353	0.9127
223	12.0000	1.1223	1.0953
224	10.0000	0.9353	0.9127
225	12.0000	1.1223	1.0953
226	11.0000	1.0288	1.0040
227	10.0000	0.9353	0.9127
228	8.0000	0.7482	0.7302
229	8.0000	0.7482	0.7302
230	14.0000	1.3094	1.2778
231	14.0000	1.3094	1.2778
232	11.0000	1.0288	1.0040
233	11.0000	1.0288	1.0040
234	10.0000	0.9353	0.9127
235	10.0000	0.9353	0.9127
236	12.0000	1.1223	1.0953
237	12.0000	1.1223	1.0953
238	8.0000	0.7482	0.7302
239	12.0000	1.1223	1.0953
240	10.0000	0.9353	0.9127
241	14.0000	1.3094	1.2778
242	11.0000	1.0288	1.0040
243	10.0000	0.9353	0.9127
