Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
162	5.0000	0.8749	0.8676
163	6.0000	1.0499	1.0411
164	6.0000	1.0499	1.0411
165	5.0000	0.8749	0.8676
166	6.0000	1.0499	1.0411
167	6.0000	1.0499	1.0411
168	6.0000	1.0499	1.0411
169	6.0000	1.0499	1.0411
170	6.0000	1.0499	1.0411
171	6.0000	1.0499	1.0411
172	6.0000	1.0499	1.0411
173	6.0000	1.0499	1.0411
174	6.0000	1.0499	1.0411
175	5.0000	0.8749	0.8676
176	6.0000	1.0499	1.0411
177	6.0000	1.0499	1.0411
178	6.0000	1.0499	1.0411
179	6.0000	1.0499	1.0411
180	6.0000	1.0499	1.0411
181	6.0000	1.0499	1.0411
182	6.0000	1.0499	1.0411
183	6.0000	1.0499	1.0411
184	6.0000	1.0499	1.0411
185	6.0000	1.0499	1.0411
186	6.0000	1.0499	1.0411
187	6.0000	1.0499	1.0411
188	6.0000	1.0499	1.0411
189	6.0000	1.0499	1.0411
190	6.0000	1.0499	1.0411
191	5.0000	0.8749	0.8676
192	4.0000	0.6999	0.6941
193	6.0000	1.0499	1.0411
194	6.0000	1.0499	1.0411
195	6.0000	1.0499	1.0411
196	5.0000	0.8749	0.8676
197	6.0000	1.0499	1.0411
198	6.0000	1.0499	1.0411
199	6.0000	1.0499	1.0411
200	6.0000	1.0499	1.0411
201	6.0000	1.0499	1.0411
202	5.0000	0.8749	0.8676
203	6.0000	1.0499	1.0411
204	6.0000	1.0499	1.0411
205	6.0000	1.0499	1.0411
206	6.0000	1.0499	1.0411
207	6.0000	1.0499	1.0411
208	6.0000	1.0499	1.0411
209	6.0000	1.0499	1.0411
210	6.0000	1.0499	1.0411
211	5.0000	0.8749	0.8676
212	6.0000	1.0499	1.0411
213	6.0000	1.0499	1.0411
214	6.0000	1.0499	1.0411
215	6.0000	1.0499	1.0411
216	6.0000	1.0499	1.0411
217	6.0000	1.0499	1.0411
218	5.0000	0.8749	0.8676
219	4.0000	0.6999	0.6941
220	5.0000	0.8749	0.8676
221	6.0000	1.0499	1.0411
222	6.0000	1.0499	1.0411
223	5.0000	0.8749	0.8676
224	6.0000	1.0499	1.0411
225	6.0000	1.0499	1.0411
226	5.0000	0.8749	0.8676
227	4.0000	0.6999	0.6941
228	6.0000	1.0499	1.0411
229	5.0000	0.8749	0.8676
230	6.0000	1.0499	1.0411
231	6.0000	1.0499	1.0411
232	6.0000	1.0499	1.0411
233	5.0000	0.8749	0.8676
234	6.0000	1.0499	1.0411
235	6.0000	1.0499	1.0411
236	6.0000	1.0499	1.0411
237	5.0000	0.8749	0.8676
238	6.0000	1.0499	1.0411
239	6.0000	1.0499	1.0411
240	6.0000	1.0499	1.0411
241	4.0000	0.6999	0.6941
242	6.0000	1.0499	1.0411
243	6.0000	1.0499	1.0411
244	4.0000	0.6999	0.6941
245	6.0000	1.0499	1.0411
246	6.0000	1.0499	1.0411
247	6.0000	1.0499	1.0411
248	6.0000	1.0499	1.0411
249	5.0000	0.8749	0.8676
250	6.0000	1.0499	1.0411
251	6.0000	1.0499	1.0411
252	6.0000	1.0499	1.0411
253	6.0000	1.0499	1.0411
254	6.0000	1.0499	1.0411
255	6.0000	1.0499	1.0411
