No	Tree1	Tree2	MatchingSplit	PathDiffernce
1	1	2	40.0000	32.1248
2	1	3	43.0000	33.9706
3	1	4	41.0000	33.1662
4	1	5	41.0000	31.7175
5	1	6	41.0000	31.7175
6	1	7	45.0000	34.4384
7	1	8	41.0000	32.9545
8	1	9	43.0000	33.9706
9	1	10	41.0000	31.6544
10	1	11	40.0000	31.2410
11	1	12	43.0000	32.3110
12	1	13	43.0000	32.3110
13	1	14	41.0000	31.9061
14	1	15	40.0000	31.2410
15	1	16	43.0000	32.3110
16	1	17	41.0000	31.6228
17	1	18	43.0000	32.3110
18	1	19	41.0000	31.6544
19	1	20	39.0000	28.1780
20	1	21	39.0000	28.1780
21	1	22	40.0000	31.2090
22	1	23	40.0000	31.2090
23	1	24	41.0000	31.6544
24	1	25	41.0000	30.6268
25	1	26	40.0000	31.2410
26	1	27	37.0000	28.3196
27	1	28	40.0000	31.2410
28	1	29	37.0000	28.3196
29	1	30	40.0000	31.2410
30	1	31	40.0000	31.2410
31	1	32	40.0000	31.2410
32	1	33	40.0000	31.2410
33	1	34	40.0000	31.2410
34	1	35	40.0000	31.2410
35	1	36	43.0000	32.3110
36	1	37	43.0000	32.3110
37	1	38	40.0000	31.2410
38	1	39	41.0000	30.6268
39	1	40	41.0000	31.6544
40	1	41	37.0000	28.0357
41	1	42	41.0000	31.6544
42	1	43	41.0000	31.6544
43	1	44	41.0000	31.6544
44	1	45	41.0000	30.5287
45	1	46	41.0000	30.5287
46	1	47	41.0000	30.5287
47	1	48	40.0000	31.2410
48	1	49	40.0000	31.2410
49	1	50	41.0000	30.5287
50	1	51	40.0000	31.2410
51	1	52	40.0000	31.2410
52	1	53	41.0000	31.6544
53	1	54	40.0000	31.2410
54	1	55	37.0000	28.3196
55	1	56	37.0000	28.3196
56	1	57	40.0000	31.2410
57	1	58	40.0000	31.2410
58	1	59	40.0000	31.2410
59	1	60	40.0000	31.2410
60	1	61	40.0000	31.2410
61	1	62	40.0000	31.2410
62	1	63	40.0000	31.2410
63	1	64	41.0000	30.5287
64	1	65	40.0000	31.2410
65	1	66	41.0000	31.6544
66	1	67	40.0000	31.2410
67	1	68	40.0000	31.2410
68	1	69	40.0000	31.2410
69	1	70	40.0000	31.2410
70	1	71	40.0000	31.2410
71	1	72	41.0000	31.6544
72	1	73	40.0000	31.2410
73	1	74	41.0000	31.6544
74	1	75	41.0000	31.6544
75	1	76	40.0000	31.2410
76	1	77	40.0000	31.2410
77	1	78	40.0000	31.2410
78	1	79	40.0000	31.2410
79	1	80	40.0000	31.2410
80	1	81	41.0000	30.5287
81	1	82	40.0000	31.2410
82	1	83	41.0000	31.6544
83	1	84	41.0000	31.6544
84	1	85	40.0000	31.2410
85	1	86	40.0000	31.2410
86	1	87	40.0000	31.2410
87	1	88	40.0000	31.2410
88	1	89	41.0000	31.6544
89	1	90	40.0000	31.2410
90	1	91	40.0000	31.2410
91	1	92	40.0000	31.2410
92	1	93	40.0000	31.2410
93	1	94	40.0000	31.2410
94	1	95	40.0000	31.2410
95	1	96	40.0000	31.2410
96	1	97	40.0000	31.2410
97	1	98	41.0000	31.6544
98	1	99	43.0000	32.3110
99	1	100	43.0000	32.3110
100	2	3	21.0000	20.5913
101	2	4	23.0000	21.2132
102	2	5	22.0000	19.6469
103	2	6	22.0000	19.6469
104	2	7	22.0000	20.8327
105	2	8	25.0000	21.8174
106	2	9	21.0000	20.5913
107	2	10	25.0000	21.6333
108	2	11	26.0000	22.6716
109	2	12	24.0000	21.1660
110	2	13	24.0000	21.1660
111	2	14	25.0000	21.5407
112	2	15	26.0000	22.6716
113	2	16	24.0000	21.1660
114	2	17	26.0000	22.6716
115	2	18	24.0000	21.1660
116	2	19	25.0000	21.6333
117	2	20	23.0000	19.0788
118	2	21	23.0000	19.0788
119	2	22	27.0000	23.6643
120	2	23	27.0000	23.6643
121	2	24	25.0000	21.6333
122	2	25	22.0000	18.9209
123	2	26	26.0000	22.6716
124	2	27	24.0000	20.6398
125	2	28	26.0000	22.6716
126	2	29	24.0000	20.6398
127	2	30	26.0000	22.6716
128	2	31	26.0000	22.6716
129	2	32	26.0000	22.6716
130	2	33	26.0000	22.6716
131	2	34	26.0000	22.6716
132	2	35	26.0000	22.6716
133	2	36	24.0000	21.1660
134	2	37	24.0000	21.1660
135	2	38	26.0000	22.6716
136	2	39	22.0000	18.9209
137	2	40	25.0000	21.6333
138	2	41	25.0000	21.7256
139	2	42	25.0000	21.6333
140	2	43	25.0000	21.6333
141	2	44	25.0000	21.6333
142	2	45	24.0000	20.6882
143	2	46	24.0000	20.6882
144	2	47	24.0000	20.6882
145	2	48	26.0000	22.6716
146	2	49	26.0000	22.6716
147	2	50	24.0000	20.6882
148	2	51	26.0000	22.6716
149	2	52	26.0000	22.6716
150	2	53	25.0000	21.6333
151	2	54	26.0000	22.6716
152	2	55	24.0000	20.6398
153	2	56	24.0000	20.6398
154	2	57	26.0000	22.6716
155	2	58	26.0000	22.6716
156	2	59	26.0000	22.6716
157	2	60	26.0000	22.6716
158	2	61	26.0000	22.6716
159	2	62	26.0000	22.6716
160	2	63	26.0000	22.6716
161	2	64	24.0000	20.6882
162	2	65	26.0000	22.6716
163	2	66	25.0000	21.6333
164	2	67	26.0000	22.6716
165	2	68	26.0000	22.6716
166	2	69	26.0000	22.6716
167	2	70	26.0000	22.6716
168	2	71	26.0000	22.6716
169	2	72	25.0000	21.6333
170	2	73	26.0000	22.6716
171	2	74	25.0000	21.6333
172	2	75	25.0000	21.6333
173	2	76	26.0000	22.6716
174	2	77	26.0000	22.6716
175	2	78	26.0000	22.6716
176	2	79	26.0000	22.6716
177	2	80	26.0000	22.6716
178	2	81	24.0000	20.6882
179	2	82	26.0000	22.6716
180	2	83	25.0000	21.6333
181	2	84	25.0000	21.6333
182	2	85	26.0000	22.6716
183	2	86	26.0000	22.6716
184	2	87	26.0000	22.6716
185	2	88	26.0000	22.6716
186	2	89	25.0000	21.6333
187	2	90	26.0000	22.6716
188	2	91	26.0000	22.6716
189	2	92	26.0000	22.6716
190	2	93	26.0000	22.6716
191	2	94	26.0000	22.6716
192	2	95	26.0000	22.6716
193	2	96	26.0000	22.6716
194	2	97	26.0000	22.6716
195	2	98	25.0000	21.6333
196	2	99	24.0000	21.1660
197	2	100	24.0000	21.1660
198	3	4	2.0000	5.0990
199	3	5	9.0000	9.0554
200	3	6	9.0000	9.0554
201	3	7	5.0000	7.8740
202	3	8	4.0000	7.2111
203	3	9	0.0000	0.0000
204	3	10	4.0000	6.6332
205	3	11	7.0000	9.1652
206	3	12	7.0000	8.7178
207	3	13	7.0000	8.7178
208	3	14	8.0000	11.4891
209	3	15	7.0000	9.1652
210	3	16	7.0000	8.7178
211	3	17	6.0000	8.3666
212	3	18	7.0000	8.7178
213	3	19	4.0000	6.6332
214	3	20	16.0000	15.8745
215	3	21	16.0000	15.8745
216	3	22	9.0000	10.4881
217	3	23	9.0000	10.4881
218	3	24	4.0000	6.6332
219	3	25	11.0000	12.4900
220	3	26	7.0000	9.1652
221	3	27	11.0000	12.1655
222	3	28	7.0000	9.1652
223	3	29	11.0000	12.1655
224	3	30	7.0000	9.1652
225	3	31	7.0000	9.1652
226	3	32	7.0000	9.1652
227	3	33	7.0000	9.1652
228	3	34	7.0000	9.1652
229	3	35	7.0000	9.1652
230	3	36	7.0000	8.7178
231	3	37	7.0000	8.7178
232	3	38	7.0000	9.1652
233	3	39	11.0000	12.4900
234	3	40	4.0000	6.6332
235	3	41	13.0000	13.1909
236	3	42	4.0000	6.6332
237	3	43	4.0000	6.6332
238	3	44	4.0000	6.6332
239	3	45	11.0000	11.1355
240	3	46	11.0000	11.1355
241	3	47	11.0000	11.1355
242	3	48	7.0000	9.1652
243	3	49	7.0000	9.1652
244	3	50	11.0000	11.1355
245	3	51	7.0000	9.1652
246	3	52	7.0000	9.1652
247	3	53	4.0000	6.6332
248	3	54	7.0000	9.1652
249	3	55	11.0000	12.1655
250	3	56	11.0000	12.1655
251	3	57	7.0000	9.1652
252	3	58	7.0000	9.1652
253	3	59	7.0000	9.1652
254	3	60	7.0000	9.1652
255	3	61	7.0000	9.1652
256	3	62	7.0000	9.1652
257	3	63	7.0000	9.1652
258	3	64	11.0000	11.1355
259	3	65	7.0000	9.1652
260	3	66	4.0000	6.6332
261	3	67	7.0000	9.1652
262	3	68	7.0000	9.1652
263	3	69	7.0000	9.1652
264	3	70	7.0000	9.1652
265	3	71	7.0000	9.1652
266	3	72	4.0000	6.6332
267	3	73	7.0000	9.1652
268	3	74	4.0000	6.6332
269	3	75	4.0000	6.6332
270	3	76	7.0000	9.1652
271	3	77	7.0000	9.1652
272	3	78	7.0000	9.1652
273	3	79	7.0000	9.1652
274	3	80	7.0000	9.1652
275	3	81	11.0000	11.1355
276	3	82	7.0000	9.1652
