	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.362275449102	0.671656686627	0.562874251497	0.728542914172	0.646706586826	0.429141716567	0.413173652695	0.404191616766	0.436127744511	0.658682634731	0.690618762475	0.567864271457	0.655688622754	0.370259481038	0.301397205589	0.921157684631	0.917165668663	0.925149700599	0.910179640719	0.746506986028	0.771457085828	0.929141716567	0.926147704591	0.824351297405	0.888223552894	0.85628742515	0.852295409182	0.838323353293	0.85628742515	0.865269461078	0.882235528942	0.553892215569	0.5249500998	0.546906187625	0.503992015968	0.614770459082	0.558882235529	0.573852295409	0.534930139721	0.616766467066	0.567864271457	0.625748502994	0.511976047904	0.559880239521	0.502994011976	0.518962075848	0.754491017964	0.718562874251	0.698602794411	0.708582834331	0.647704590818	0.678642714571	0.644710578842	0.689620758483	0.622754491018	0.554890219561	0.635728542914	0.670658682635	0.707584830339	0.685628742515	0.709580838323	0.679640718563	0.929141716567	0.937125748503	0.899201596806	0.749500998004	0.926147704591	0.910179640719	0.748502994012	0.930139720559	0.878243512974	0.929141716567	0.768463073852	0.90618762475	0.967065868263	0.930139720559	0.731536926148	0.745508982036	0.723552894212	0.621756487026	0.631736526946	0.621756487026	0.612774451098	0.543912175649	0.553892215569	0.758483033932	0.734530938124	0.709580838323	0.715568862275	0.758483033932
CA8	0.362275449102	0.0	0.640718562874	0.510978043912	0.672654690619	0.584830339321	0.377245508982	0.443113772455	0.425149700599	0.393213572854	0.60379241517	0.641716566866	0.537924151697	0.624750499002	0.303393213573	0.345309381238	0.862275449102	0.860279441118	0.919161676647	0.89620758483	0.715568862275	0.736526946108	0.882235528942	0.87624750499	0.761477045908	0.828343313373	0.819361277445	0.820359281437	0.785429141717	0.829341317365	0.85129740519	0.86127744511	0.549900199601	0.520958083832	0.554890219561	0.508982035928	0.619760479042	0.562874251497	0.566866267465	0.531936127745	0.617764471058	0.566866267465	0.632734530938	0.511976047904	0.563872255489	0.500998003992	0.517964071856	0.735528942116	0.700598802395	0.680638722555	0.692614770459	0.632734530938	0.666666666667	0.619760479042	0.667664670659	0.599800399202	0.542914171657	0.622754491018	0.664670658683	0.694610778443	0.670658682635	0.692614770459	0.672654690619	0.924151696607	0.934131736527	0.888223552894	0.735528942116	0.924151696607	0.897205588822	0.728542914172	0.915169660679	0.88123752495	0.916167664671	0.746506986028	0.89620758483	0.962075848303	0.921157684631	0.701596806387	0.72754491018	0.697604790419	0.622754491018	0.62375249501	0.584830339321	0.564870259481	0.50499001996	0.523952095808	0.756487025948	0.711576846307	0.674650698603	0.695608782435	0.738522954092
CB7	0.671656686627	0.640718562874	0.0	0.531936127745	0.683632734531	0.649700598802	0.646706586826	0.676646706587	0.678642714571	0.668662674651	0.660678642715	0.665668662675	0.528942115768	0.408183632735	0.64870259481	0.665668662675	0.825349301397	0.820359281437	0.87125748503	0.842315369261	0.750499001996	0.724550898204	0.802395209581	0.781437125749	0.664670658683	0.733532934132	0.77245508982	0.77744510978	0.719560878244	0.769461077844	0.798403193613	0.813373253493	0.74750499002	0.743512974052	0.692614770459	0.7375249501	0.691616766467	0.73253493014	0.74750499002	0.746506986028	0.74750499002	0.750499001996	0.669660678643	0.740518962076	0.687624750499	0.739520958084	0.749500998004	0.780439121756	0.74251497006	0.788423153693	0.791417165669	0.708582834331	0.766467065868	0.697604790419	0.736526946108	0.689620758483	0.652694610778	0.73253493014	0.726546906188	0.792415169661	0.787425149701	0.750499001996	0.765469061876	0.874251497006	0.784431137725	0.87624750499	0.77245508982	0.783433133733	0.860279441118	0.773453093812	0.893213572854	0.816367265469	0.89121756487	0.784431137725	0.873253493014	0.822355289421	0.878243512974	0.848303393214	0.815369261477	0.852295409182	0.719560878244	0.684630738523	0.741516966068	0.723552894212	0.724550898204	0.715568862275	0.89121756487	0.86127744511	0.826347305389	0.844311377246	0.889221556886
CB8	0.562874251497	0.510978043912	0.531936127745	0.0	0.632734530938	0.582834331337	0.505988023952	0.614770459082	0.609780439122	0.544910179641	0.606786427146	0.60379241517	0.426147704591	0.483033932136	0.518962075848	0.540918163673	0.836327345309	0.831337325349	0.887225548902	0.858283433134	0.679640718563	0.700598802395	0.836327345309	0.825349301397	0.731536926148	0.795409181637	0.793413173653	0.794411177645	0.724550898204	0.76746506986	0.816367265469	0.834331337325	0.661676646707	0.676646706587	0.630738522954	0.681636726547	0.62375249501	0.665668662675	0.698602794411	0.693612774451	0.679640718563	0.694610778443	0.61377245509	0.693612774451	0.62874251497	0.657684630739	0.663672654691	0.728542914172	0.660678642715	0.693612774451	0.689620758483	0.626746506986	0.689620758483	0.627744510978	0.673652694611	0.614770459082	0.576846307385	0.64371257485	0.656686626747	0.707584830339	0.700598802395	0.666666666667	0.664670658683	0.888223552894	0.898203592814	0.880239520958	0.713572854291	0.888223552894	0.867265469062	0.707584830339	0.90119760479	0.855289421158	0.898203592814	0.719560878244	0.88622754491	0.920159680639	0.88622754491	0.736526946108	0.736526946108	0.74251497006	0.671656686627	0.645708582834	0.61377245509	0.59880239521	0.573852295409	0.570858283433	0.77245508982	0.743512974052	0.701596806387	0.734530938124	0.77245508982
CC7	0.728542914172	0.672654690619	0.683632734531	0.632734530938	0.0	0.536926147705	0.687624750499	0.792415169661	0.792415169661	0.713572854291	0.521956087824	0.445109780439	0.664670658683	0.677644710579	0.673652694611	0.714570858283	0.808383233533	0.797405189621	0.889221556886	0.860279441118	0.745508982036	0.718562874251	0.645708582834	0.63373253493	0.597804391218	0.600798403194	0.714570858283	0.741516966068	0.766467065868	0.802395209581	0.794411177645	0.800399201597	0.821357285429	0.849301397206	0.847305389222	0.843313373253	0.835329341317	0.841317365269	0.853293413174	0.853293413174	0.841317365269	0.847305389222	0.834331337325	0.850299401198	0.844311377246	0.821357285429	0.823353293413	0.731536926148	0.706586826347	0.709580838323	0.707584830339	0.707584830339	0.697604790419	0.716566866267	0.707584830339	0.704590818363	0.72255489022	0.705588822355	0.716566866267	0.715568862275	0.697604790419	0.709580838323	0.700598802395	0.934131736527	0.938123752495	0.912175648703	0.784431137725	0.930139720559	0.916167664671	0.781437125749	0.935129740519	0.853293413174	0.935129740519	0.781437125749	0.916167664671	0.981037924152	0.944111776447	0.753493013972	0.72255489022	0.75748502994	0.855289421158	0.827345309381	0.751497005988	0.75249500998	0.749500998004	0.758483033932	0.796407185629	0.755489021956	0.75748502994	0.758483033932	0.793413173653
CC8	0.646706586826	0.584830339321	0.649700598802	0.582834331337	0.536926147705	0.0	0.61377245509	0.730538922156	0.735528942116	0.650698602794	0.461077844311	0.491017964072	0.605788423154	0.639720558882	0.586826347305	0.631736526946	0.799401197605	0.798403193613	0.882235528942	0.852295409182	0.704590818363	0.687624750499	0.750499001996	0.749500998004	0.63872255489	0.695608782435	0.726546906188	0.745508982036	0.759481037924	0.791417165669	0.795409181637	0.793413173653	0.773453093812	0.793413173653	0.793413173653	0.792415169661	0.779441117764	0.787425149701	0.796407185629	0.798403193613	0.784431137725	0.802395209581	0.783433133733	0.797405189621	0.792415169661	0.76746506986	0.770459081836	0.728542914172	0.687624750499	0.665668662675	0.679640718563	0.657684630739	0.644710578842	0.659680638723	0.659680638723	0.650698602794	0.665668662675	0.62375249501	0.670658682635	0.672654690619	0.65369261477	0.674650698603	0.660678642715	0.917165668663	0.909181636727	0.883233532934	0.726546906188	0.902195608782	0.897205588822	0.721556886228	0.912175648703	0.844311377246	0.917165668663	0.735528942116	0.890219560878	0.954091816367	0.922155688623	0.682634730539	0.718562874251	0.706586826347	0.787425149701	0.764471057884	0.647704590818	0.656686626747	0.657684630739	0.658682634731	0.766467065868	0.694610778443	0.672654690619	0.701596806387	0.750499001996
CD7	0.429141716567	0.377245508982	0.646706586826	0.505988023952	0.687624750499	0.61377245509	0.0	0.454091816367	0.443113772455	0.35129740519	0.634730538922	0.645708582834	0.536926147705	0.62375249501	0.390219560878	0.422155688623	0.868263473054	0.87624750499	0.918163672655	0.894211576846	0.709580838323	0.74251497006	0.890219560878	0.888223552894	0.785429141717	0.843313373253	0.827345309381	0.826347305389	0.794411177645	0.823353293413	0.841317365269	0.859281437126	0.547904191617	0.555888223553	0.552894211577	0.550898203593	0.61876247505	0.557884231537	0.572854291417	0.562874251497	0.616766467066	0.564870259481	0.629740518962	0.559880239521	0.559880239521	0.526946107784	0.534930139721	0.697604790419	0.662674650699	0.663672654691	0.672654690619	0.595808383234	0.647704590818	0.581836327345	0.645708582834	0.568862275449	0.521956087824	0.60379241517	0.625748502994	0.665668662675	0.651696606786	0.650698602794	0.645708582834	0.931137724551	0.936127744511	0.884231536926	0.75748502994	0.925149700599	0.89620758483	0.753493013972	0.908183632735	0.872255489022	0.910179640719	0.75249500998	0.89121756487	0.953093812375	0.929141716567	0.720558882236	0.705588822355	0.673652694611	0.580838323353	0.590818363273	0.562874251497	0.549900199601	0.4750499002	0.488023952096	0.728542914172	0.719560878244	0.678642714571	0.666666666667	0.715568862275
CD8	0.413173652695	0.443113772455	0.676646706587	0.614770459082	0.792415169661	0.730538922156	0.454091816367	0.0	0.335329341317	0.435129740519	0.755489021956	0.778443113772	0.60878243513	0.656686626747	0.463073852295	0.418163672655	0.919161676647	0.919161676647	0.930139720559	0.911177644711	0.745508982036	0.760479041916	0.949101796407	0.945109780439	0.821357285429	0.89620758483	0.863273453094	0.857285429142	0.817365269461	0.852295409182	0.858283433134	0.889221556886	0.579840319361	0.52994011976	0.541916167665	0.50998003992	0.62375249501	0.567864271457	0.581836327345	0.542914171657	0.629740518962	0.568862275449	0.632734530938	0.513972055888	0.550898203593	0.536926147705	0.552894211577	0.74251497006	0.714570858283	0.7375249501	0.73253493014	0.649700598802	0.711576846307	0.63373253493	0.675648702595	0.624750499002	0.545908183633	0.672654690619	0.670658682635	0.741516966068	0.713572854291	0.714570858283	0.716566866267	0.900199600798	0.900199600798	0.850299401198	0.799401197605	0.898203592814	0.869261477046	0.797405189621	0.884231536926	0.847305389222	0.889221556886	0.796407185629	0.85628742515	0.929141716567	0.903193612774	0.776447105788	0.75748502994	0.765469061876	0.586826347305	0.570858283433	0.645708582834	0.625748502994	0.572854291417	0.570858283433	0.812375249501	0.77744510978	0.745508982036	0.7624750499	0.806387225549
CE7	0.404191616766	0.425149700599	0.678642714571	0.609780439122	0.792415169661	0.735528942116	0.443113772455	0.335329341317	0.0	0.432135728543	0.745508982036	0.775449101796	0.60379241517	0.666666666667	0.456087824351	0.410179640719	0.904191616766	0.913173652695	0.929141716567	0.915169660679	0.751497005988	0.766467065868	0.939121756487	0.931137724551	0.817365269461	0.889221556886	0.850299401198	0.847305389222	0.817365269461	0.85129740519	0.857285429142	0.883233532934	0.579840319361	0.5249500998	0.545908183633	0.503992015968	0.62874251497	0.564870259481	0.572854291417	0.52994011976	0.625748502994	0.567864271457	0.63872255489	0.505988023952	0.557884231537	0.531936127745	0.550898203593	0.74251497006	0.728542914172	0.740518962076	0.74750499002	0.664670658683	0.719560878244	0.632734530938	0.693612774451	0.632734530938	0.561876247505	0.682634730539	0.685628742515	0.746506986028	0.73253493014	0.726546906188	0.731536926148	0.899201596806	0.909181636727	0.858283433134	0.804391217565	0.904191616766	0.877245508982	0.804391217565	0.888223552894	0.85628742515	0.893213572854	0.808383233533	0.868263473054	0.932135728543	0.898203592814	0.781437125749	0.759481037924	0.758483033932	0.576846307385	0.583832335329	0.635728542914	0.61876247505	0.566866267465	0.558882235529	0.811377245509	0.784431137725	0.74251497006	0.755489021956	0.797405189621
CE8	0.436127744511	0.393213572854	0.668662674651	0.544910179641	0.713572854291	0.650698602794	0.35129740519	0.435129740519	0.432135728543	0.0	0.668662674651	0.685628742515	0.543912175649	0.645708582834	0.397205588822	0.431137724551	0.882235528942	0.88622754491	0.928143712575	0.90119760479	0.713572854291	0.74251497006	0.908183632735	0.898203592814	0.790419161677	0.852295409182	0.831337325349	0.821357285429	0.801397205589	0.842315369261	0.848303393214	0.86127744511	0.553892215569	0.5249500998	0.557884231537	0.527944111776	0.619760479042	0.563872255489	0.579840319361	0.543912175649	0.614770459082	0.567864271457	0.622754491018	0.538922155689	0.565868263473	0.496007984032	0.520958083832	0.704590818363	0.667664670659	0.680638722555	0.687624750499	0.602794411178	0.671656686627	0.596806387226	0.652694610778	0.571856287425	0.530938123752	0.615768463074	0.616766467066	0.685628742515	0.666666666667	0.665668662675	0.666666666667	0.925149700599	0.930139720559	0.888223552894	0.771457085828	0.919161676647	0.895209580838	0.778443113772	0.909181636727	0.878243512974	0.915169660679	0.779441117764	0.888223552894	0.949101796407	0.924151696607	0.74251497006	0.730538922156	0.697604790419	0.577844311377	0.580838323353	0.581836327345	0.567864271457	0.511976047904	0.513972055888	0.753493013972	0.745508982036	0.696606786427	0.692614770459	0.744510978044
