pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
DA5	-0.141695010886	0.176548235556	-0.0519486922956	0.0442288756429	0.0938504273661	-0.0689787793735	0.0280091826446	-0.0524326223603	0.0242584936194	-0.0206210953787	0.042606503324	-0.129361552876	0.0545933971205	-0.103665343332	0.0106119026188	0.107279217205	-0.018757382879	-0.147895044072	0.0103301630059	0.0621763700199	0.0162283179914	-0.0954647915257	-0.0160940284492	-0.0303468177189	0.0357718745227	0.0147565683241	0.025983480642	-0.0702393520117	-0.050193024675	-0.0102496525373	0.0499488509869	0.00119891527399	0.012671050269	0.00783964262157	0.00438138616561	-0.0385801110239	-0.00596530298906	-0.0528073921274	0.090992609791	0.0361539118832	0.0312075299819	0.0249953945566	0.00891728453549	-0.0461489435477	-0.0507507460508	-0.00248837053722	-0.0327536576264	0.0207169904653	0.0465040232671	0.0869253387498	-0.0569172933429	-0.0108839649964	0.0157792276155	0.00711551389996	0.00167600843336	0.0552023825377	-0.0338355194663	-0.0318730710107	0.012311799121	0.0189073113875	-0.00296136965881	0.0140621641711	6.2474527998e-09
DB5	-0.0917952714406	0.162690098097	-0.159986291111	-0.0292196268026	0.147580557319	-0.0523320178083	0.0556867584007	-0.0651014395271	0.078202997137	-0.0576629646146	0.0415310760263	0.145820922977	0.0283428588556	0.0416982917827	0.012603054559	0.0802341023197	-0.0244372177203	0.070565570541	0.0702519339631	0.0856333140834	-0.0737407589156	-0.00223733573025	-0.0322816134724	0.0397954083883	-0.0442765981829	-0.0175914092411	-0.0469715413287	-0.102302094939	0.123487177554	0.0291194721429	-0.0141167965247	-0.084844801765	0.0373504329299	0.0458573751823	-0.00500007947866	0.0728561323815	-0.0650384891	-0.0141841610276	-0.0514249260579	-0.0200974022488	-0.0294669631173	-0.0234604440659	-0.00620554626358	-0.0612197676371	-0.0120785682152	0.0069058463529	0.015865405663	-0.0167750304685	0.0639157419991	-0.0284758903392	-0.0257423807904	-0.0213100616391	0.0180569609196	-0.0187952671558	-0.0188191579125	-0.0287067283636	-0.0125471618409	0.00425646757865	0.0129289986	0.0126290591567	-0.00909844767969	-0.0104359939914	6.2474527998e-09
DC5	-0.0769213122116	0.156248458981	-0.054376925853	0.0206816403732	0.135295982553	-0.0012093495245	0.0548026387896	-0.0588905765862	0.0678380409475	0.0820874215203	-0.0200332788257	-0.0971473438133	-0.0407869387115	0.0926499476873	-0.019727206545	-0.018133746609	-0.0141496965337	0.127672682336	-0.0680303848448	-0.088251761181	-0.00780040630804	0.0392582408617	0.063783743243	-0.0179857537175	-0.0424319568863	-0.0798448961925	0.011476076861	0.0411804182671	-0.0258238456211	-0.0159013189705	0.0149076796512	0.0145460573734	-0.0193529482886	-0.0259492195533	0.0219998064717	0.0288433218913	0.0181036141125	-0.0105860808356	-0.064702229414	0.0864158713774	0.00553801043482	-0.0126899814678	0.0487445645566	-0.0246555908306	0.0540254135534	-0.104290525675	-0.037693126289	0.098284389999	0.0410614112681	-0.00483632315974	-0.0361819463608	0.00792851720581	-0.0155859857862	0.00591625267671	-0.00895131433013	0.0431015171615	-0.00820142562429	-0.00509450547619	0.0233493232217	0.00725377703358	-0.0406397565118	-0.00394750786767	6.2474527998e-09
DD5	-0.102782345349	0.204806026302	-0.0413194792243	0.00382253858915	0.129136547064	-0.0207847972996	0.0603050931187	-0.11327080759	-0.0276700388987	0.0335012419683	-0.0258191696432	-0.0877583013772	0.0168946550718	-0.0716747350159	0.112897789065	-0.0387105962564	-0.0115788237131	-0.00957490126894	0.0453676595748	0.0615928497671	-0.00140073702012	-0.0143973452577	0.0283005929692	-0.0370739276154	0.0102693352	-0.0304935227021	-0.0609957004191	0.0397046801219	-0.035311732991	0.0892471174378	0.0321721702648	0.0234017277158	-0.00394545994974	-0.0808192452176	-0.0291108124271	0.0166354787531	0.0642075214394	0.111414761029	-0.00606469794104	-0.0298184261368	-0.0235466433701	0.0203481035838	0.00180471569117	0.0501730374338	0.0263220550288	0.00512393625748	0.0665406668074	-0.0882162032069	-0.0104830235157	-0.0532198661704	-0.0227470914504	0.0661532964897	0.0409330878115	0.00958582089956	-0.0381260875659	-0.000976442175712	0.00850372953746	-0.0222445304055	-0.0142572228031	0.0295683082982	-0.0282347449977	-0.0230392144387	6.2474527998e-09
DE5	-0.122080884436	0.160038026636	-0.0432639661396	-0.00489783440905	0.0936089244338	0.0554300804184	0.0589668735145	-0.0382479763759	0.0358918000666	0.0973457032163	0.0199396848098	-0.0283191399885	0.0351419581535	-0.0275151533197	0.0113349888009	-0.0101963795877	0.00362457942727	0.0500496547293	-0.0656180126507	-0.0500626436518	0.0685119186124	-0.0120745129971	-0.0724527499169	0.0367878866991	-0.00789935923643	0.0466121183985	-0.0452242416047	-0.108437378666	0.0536234005402	-0.0209133706175	0.0306351451924	0.110089153165	-0.0168066710903	-0.0478058608666	-0.0760159544178	-0.038329630393	0.0331381181794	-0.0209790009998	0.00158511831622	-0.00255445494029	-0.0360724269549	-0.0628014138983	0.0042148881863	0.074674550038	-0.0466927812841	0.0158350393814	-0.0733826932536	0.00211717008085	-0.0203452088728	-0.0559249431003	-0.00217056491373	-0.0465654402916	0.0323003400559	0.0171360096411	0.0789518476382	-0.0274783047724	0.00715358297894	0.0362146584568	0.00014952051245	-0.0211001963348	0.0499930698329	-0.00258587573497	6.2474527998e-09
DF5	-0.0962517553651	0.139294164287	-0.090874870323	-0.0264079817804	0.123964157966	0.0352690404687	0.077492990005	-0.00530633945949	0.00683340424288	0.0854197573261	-0.114071892965	-0.057656850484	-0.0332358738899	0.00783731720584	0.0164622337964	-0.0534465860754	0.0627300971768	0.0412010300044	0.0408385840946	0.0357843519103	0.0962120610319	0.0710688709458	0.0221058036501	0.0434153580608	0.0128823496601	0.0769279449077	0.0507664335952	-0.0378775524626	-0.0349336209738	0.00618326510489	-0.0515161049208	-0.0151072689169	-0.0267547003884	0.0562705534124	-0.0678344077029	-0.0289734154369	-0.0713863078955	-0.0112689909803	-0.0718220014211	-0.0250153015781	0.0223091807049	0.101669850771	-0.0407994093507	0.0198974283976	0.0403024042658	0.0149598318965	0.00558574284065	-0.0401848940038	0.0159417985776	0.0776660675806	0.0747754945128	-0.0110850565168	-0.0301885236645	-0.0371773210967	-0.0196687206885	0.0412003403934	-0.0162682574586	0.0299555845962	-0.0141680221333	-0.0146942360147	0.0266079785695	0.0186536042129	6.2474527998e-09
DG5	-0.0908971970884	0.165442942258	-0.121097046371	-0.0052391060535	0.179513202764	-0.0566998983705	0.0540807802859	-0.0163697923452	0.0674367687507	0.027900453347	0.065699014172	0.106937683477	0.0470860393026	0.0633072552664	-0.0796735862796	0.0468545474577	0.079303366721	0.00258587602461	-0.0695992457546	0.0147307481979	-0.0487917362038	0.00733692561564	-0.020240729966	-0.0330947652165	0.0143740127807	-0.109341866451	-0.0023532030035	0.161863861816	-0.0093753592888	-0.0056668812716	-0.00288764243837	-0.0322502148138	-0.0286580938965	0.0206155546816	0.0155708405573	-0.0231150341196	-0.0317964859203	-0.0284979808262	0.0676822713648	0.0119252800071	-0.000343553310152	0.0114171030271	-0.010800461919	0.0678098495432	-0.0458375883489	0.0791395144647	-0.01505311807	-0.0232027437435	-0.0552508116163	0.0220547158326	0.0401874824098	0.0145711891214	-0.0557444511142	0.0469312288873	0.0241748102619	0.0120027522039	0.0120935579148	0.00336810930908	-0.0226526421307	-0.0129094443058	-0.0168820978487	-0.018553908371	6.2474527998e-09
DH5	-0.165606785111	0.0994041588324	0.0297999836118	0.00797544180174	0.0255937308525	-0.0178375766544	0.0191216983462	-0.134928968055	0.0276988568336	0.0406502345389	0.118464102343	-0.0852204125682	0.0641120898873	-0.0255345162168	-0.0820061986815	-0.0837389957658	-0.0500743589192	-0.092156805695	0.0257705862824	0.0450797018477	0.0314682745383	-0.0281435908038	-0.00790299192791	0.000435116026241	0.0643397635817	-0.0196098745482	0.0350480640146	0.00169239479556	0.0207040583995	-0.0719767505287	-0.0402203886545	-0.0694629450347	0.0278463289129	0.106591939972	0.0619700681006	-0.00958922165308	0.0707047230696	0.0417335805314	-0.0237073503805	0.0162584590363	0.0349120623052	-0.0311913255262	-0.0191505886081	-0.0325345346513	0.0861626991626	-0.00520062094165	0.0297534867834	0.0187997573087	-0.0714721108278	-0.0537792833191	0.000783640624057	-0.0384704342866	-0.0174291787571	-0.0347039686808	0.000315578998302	-0.0248139487717	0.0375036585652	0.0204596560128	0.000886518399418	-0.0510148378311	0.0322086178456	-0.00375410467712	6.2474527998e-09
DA2	-0.154635043143	0.0476472723159	-0.0170771999078	-0.0424721153951	-0.0114683868951	-0.00767533572018	0.0582901774713	0.1478598842	-0.12616012593	-0.0104910535013	-0.0746769999453	0.0238885444294	0.114113481439	-0.100572496401	-0.0876814459894	-0.0718528616735	0.016268951834	-0.0358389692808	-0.0173560809236	-0.0533222069742	0.0388416390648	0.0429321607892	-0.0768068651729	-0.0106231337448	-0.0300049343083	0.00169904081565	0.0170611114112	-0.00675757986464	0.0179139499968	-0.0202986816689	0.0547107245144	-0.0288129086753	0.0178571866911	0.00823023749692	0.0217071471811	0.0518582000615	0.0276451662423	-0.0051418644203	-0.0226588817542	-0.00253053738319	-0.0284637000609	-0.00424290076712	0.0195967284881	-0.00886154707428	-0.0286966607356	-0.0531863924716	-0.00948322343107	0.000733485318835	0.0285264009272	0.0350890026475	-0.0141767292644	0.0104738045529	-0.0145610009164	-0.0403236843532	0.00238196567941	-0.0218520251145	0.001869178188	-0.0015713721578	-0.131147342324	-0.00609318739011	-0.0389320654654	-0.0747561848432	6.2474527998e-09
DB2	-0.176750544353	-0.0717012857036	0.0936220347921	-0.0174672732104	0.129985470433	0.0380573237725	-0.0236459446947	-0.030287292451	-0.170520119484	0.00382429155566	0.089192374587	0.000174739221319	0.00269867850716	-1.19417787546e-05	0.074138119623	0.0435245510204	0.026865936312	-0.0381079224174	0.0573934376345	-0.0922495034208	-0.0676459880957	0.0119036810929	0.0539903183429	0.0342498608573	-0.0209977134485	0.0428889644972	-0.0238372621613	-0.0412980096625	-0.0212674024724	-0.0641041447944	-0.114100789246	0.0276959946601	0.023871578651	0.038976736618	0.0451996627988	0.00432322366616	-0.0612649076835	0.0630968183064	0.0186959112486	0.0804454223563	-0.0253394653189	-0.0398553934318	0.0584560106511	0.0445520260767	0.0227657973649	-0.00351987728478	0.018952997115	-0.000507929049051	0.0420483715827	0.0326587492167	0.076703362265	0.00911841827754	0.0207562131346	0.0518981957693	0.0301295952801	-0.0350656361433	-0.00381634239502	-0.0566466602642	-0.0237178882364	-0.00310556819829	-0.00226948734248	0.00861789095726	6.2474527998e-09
