pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92
CA7	-0.0945806819907	0.101566407018	-0.0982346705123	0.0446494287961	-0.0835737602389	0.0191107980826	-0.0628782605775	0.146811986395	0.00125231302199	-0.0110999453674	0.124477533573	-0.02609790833	0.0212219509058	-3.78268085463e-05	0.0196625197541	-0.0168416238562	0.0769138328637	-0.0678188223811	0.0679828525727	-0.0379420535827	0.084805772519	-0.160117730126	0.00555554181789	-0.0545956922551	0.00658162243225	0.0201435828483	0.0239497666568	-0.0352578165835	0.00439923651949	0.0468195595213	-0.0492413088194	-0.0617384617324	0.127718805729	0.0222538606411	0.00782277942737	0.00607000832076	0.00189238233054	0.0313510599952	-0.0347795163298	-0.0432885308282	-0.0634614427014	0.0595078430141	0.0199711619719	-0.0364206148176	-0.0221043579002	-0.0372610148551	-0.0235261044551	-0.031703699052	0.00218277706025	0.0117150887998	0.0284716339903	0.0471290352582	0.052941913742	-0.0497408116526	-0.00798266242372	-0.0527327737327	-0.0360597036943	0.0464282665105	0.0409227843301	0.0263851355288	0.0228225479685	0.0048892210096	0.0660974418981	-0.0195208902836	-0.0751116064357	-0.00116040710474	0.00248574486249	0.0222903281327	0.0121991970276	0.0260647028304	0.0292527610326	-0.0305421588847	-0.0254280435404	-0.035579885587	-0.0218240376731	0.0317611948152	0.0189429373222	0.02296975472	0.0302767549174	-0.00102077582416	-0.0159743895376	-0.00525723238765	-0.0105423656463	-4.89331054836e-05	0.0230069611673	0.00237116559974	-0.0160284043206	-0.0228705340866	0.00901960317055	-0.0369354098216	0.00350431366438	-7.27035500828e-09
CA8	-0.120631551604	0.126629414902	-0.102309416001	-0.0271981556232	-0.0468588016991	0.0270680770522	-0.0130522528584	0.138531086529	-0.00871439843372	-0.0455480517552	0.0987478264334	-0.117033248319	-0.00501132409293	-0.0252623395216	0.122522889402	-0.0331084733678	0.0112795411594	-0.00532642413128	0.0463938130381	0.00416833953312	0.0177633933769	-0.0668886591734	-0.0632344572781	-0.023032870136	0.00163904086101	0.000571388043223	0.0751955401543	0.0711933774327	0.0308759833869	0.00323251793438	-0.0245156359681	-0.0469307599634	-0.0524301238658	-0.0447143128505	0.0313622778181	-0.0267091433122	0.00851481193248	0.02505276755	-0.0222370913295	0.0662031541799	0.0434670049696	0.0456401908762	0.0901731482808	0.0128982033058	-0.00133603365363	0.0464805653175	0.0449005940867	-0.00474823589315	0.0450303168255	-0.0492217804209	-0.0714361668173	0.014407453082	-0.0625660267112	-0.0071897878288	0.0286125177696	-0.00473913223208	0.0505483390595	-0.0363185560603	-0.0083203486835	-0.00893482374022	-0.0240016242172	0.0208525144385	-0.000905614903107	0.0132126410277	-0.0238083002277	-0.00371373172428	0.0465323697211	0.0339755649226	0.0393540553443	-0.0513930119287	-0.0307390657184	0.0279837639226	-0.0192404534652	-0.0222439481183	-0.0483046467659	-0.0171872164479	-0.0388633133158	0.0216630589101	-0.0365552343542	-0.0110953141435	-0.00740774000491	0.0197144101059	-0.0399970998075	-0.0270378149161	-0.00259575276791	0.0207742904474	-0.000705966387278	0.0384229038658	0.0205907445835	0.0451164748016	0.00329355613867	-7.27035500827e-09
CB7	-0.220912832167	0.171632721709	-0.0539053940141	-0.0610876300118	-0.0418699127818	0.0770892342553	0.0673802787087	0.0992187439334	-0.0712484928816	-0.00548734838375	0.0164939381078	0.0635656667687	0.00827944377987	0.0818549750897	0.0328386316621	-0.00227179978952	-0.0120676756948	-0.00716305865033	-0.0166582716474	-0.0938263979384	-0.0260772549288	0.0654035283162	0.0129882605823	-0.0718664829657	-0.0378852898697	0.112744757841	-0.0847682521017	-0.0167498673101	0.0342991957206	0.019873842863	0.0165709666606	0.0142360042332	-0.0863736796083	-0.00637390816594	0.0175640571342	-0.0149091249647	-0.0370503487317	0.0281113292484	0.0440801804945	0.0216435987716	0.0259942872758	-0.0715924366839	-0.00667847500244	-0.0456542823294	0.0982416034825	0.0527869056208	0.00294382500047	-0.0374904252395	-0.0240988943643	-0.0471708845708	0.00295997716784	0.00944655762761	0.00373472954446	-0.111091452691	-0.0124944428432	-0.0143757779351	0.025064958649	-0.0178119863919	0.0579534841086	0.0442106143835	-0.00185927760304	-0.0466456460835	-0.0113878083466	-0.0144186302587	-0.00799360835725	-0.0128127983614	-0.0249836964007	-0.00656242221559	-0.0552430097535	-0.0327466659091	0.0122060717347	-0.056046679141	-0.00198480302697	0.0305703149948	-0.045176467549	0.0125358485393	-0.0262285909266	-0.0085756364011	0.0179427182363	0.011277997619	0.0277949604929	0.0391842460228	0.00034314334687	0.0220351488371	0.00490400153813	0.00907470332255	-0.00576897750636	0.0301446344452	-0.0168797554966	-0.0317898579411	-0.0141519112642	-7.27035500827e-09
CB8	-0.179623065917	0.168679106747	-0.0772259589717	-0.0901131472035	-0.0628364444748	0.0523236884634	0.0579825672983	0.105069932178	-0.0239246995013	0.0133701013405	-0.0836631009868	-0.00391137674183	0.0187570248779	0.0319644131493	-0.0569383729375	-0.0335095002625	0.00118901305097	-0.0557883965882	-0.0609046809429	-0.153198848297	0.0425043007658	0.0562740996617	0.0326955314348	-0.0773736022585	-0.0333054674579	-0.0304375326158	0.0528660604861	-0.011082344065	-0.0285121468445	-0.014753509158	-0.0371461629116	-0.045622520618	0.0474615610682	0.0305021086666	-0.0773184539306	0.0270894169796	-0.0235204798791	0.00694816082687	-0.0491610534212	-0.0453743106532	0.0040478653735	-0.0150478557505	-0.036174355524	-0.0593413725776	-0.0148395788392	-0.0330611642213	-0.0456230735988	0.0549357766876	0.0948672318305	0.0266843778168	-0.00915474089138	-0.0609628071704	0.00672265958253	-0.0624987580016	0.00338680643212	0.00525393109156	-0.0363574048432	0.0259545556959	-0.0529038643335	-0.0384116084599	-0.0631840563334	-0.0446755200822	-0.0461564868151	0.0258692886608	-0.0218988308275	0.0365892668738	0.00869395332702	-0.00418925648456	0.0304708257905	0.0503116340746	-0.0104734421631	0.0379012550851	0.00107618452056	0.0489548940837	0.00905906978986	-0.0571907176351	-0.0279123550083	0.0031285111504	0.00841713424238	-0.0285217478436	0.0110867395963	0.0248713982975	-0.00737878567216	-0.00971840823785	0.00315177362898	-0.00481835021129	0.0248269316253	0.0050885677006	-0.00494516530612	0.0263136204729	-0.0186434976287	-7.27035500827e-09
CC7	-0.187429236796	0.182901722851	-0.0157582132808	-0.0970101998746	0.0141970589405	0.066933975015	0.0704148090345	0.11671981671	-0.0666041100562	-0.00299972647362	-0.00171230071806	0.0111955908682	-0.0221257207929	0.0467151666441	-0.137047100558	0.0391360877638	-0.0150825440976	0.0386705570096	-0.00929481094828	0.0155230378433	-0.0293329711681	-0.00506839437663	0.0383963997422	0.125190408153	0.0740659485376	-0.150856438335	0.00366999135337	-0.0445266014207	0.044547303454	0.0724834574979	0.00253248433757	0.00478948975	0.0407221316249	-0.0157328079301	0.0748277010093	0.0254295815159	0.0835869176366	-0.0345692991987	0.027398577968	0.101877423276	0.0351460237711	-0.0244975559097	-0.0425759510278	0.0194526596988	-0.0146684209318	-0.0217367179102	0.0623021136234	0.0308938241288	-0.0205109952904	-0.00568575047766	0.00121149341697	-0.000301496301957	-0.0294507262674	-0.116567821184	0.0227985416208	0.00972964582737	0.029833191915	-0.0205409621741	-0.00554658848426	-0.0257673456624	0.0519648753761	-0.0115232896721	0.0193269905129	-0.0159250164254	-0.0507653140937	-0.0200222068197	-0.0658430080207	-0.00408926458044	-0.0111553962643	0.0223449720748	0.0085162924844	0.0377578397917	-0.0303477192643	0.00191826454939	0.00122644970221	-0.0238717216451	0.0332002057736	-0.00520723107856	-0.0242375231434	0.0129944300354	-0.0300592165265	-0.0140380126472	0.0131813615114	-0.00836410343024	-0.00526437936644	-0.0162975780459	-0.00502087762277	-0.00753174209884	0.0106549257467	0.00752358389188	-0.00319940542605	-7.27035500828e-09
CC8	-0.22622188759	0.110320011838	-0.0564725744824	-0.083558119539	0.0266685222164	-0.011872118065	0.0978730841516	0.0864545111111	-0.0279985981383	-0.0710614224254	0.0258586007477	-0.0375997112764	-0.00443655444814	-0.0992368172372	0.0423182141243	-0.0227331190462	-0.0155558377677	0.0483129052763	0.0223594277369	-0.00925926287946	0.0427661714965	0.00900769094141	-0.0437991932477	-0.00161120788542	-0.0553379084396	-0.0189892105603	0.035524608629	-0.0181949699821	-0.0957428414292	0.0153527074058	-0.00395856056686	0.0835374480233	-0.0644062313311	0.0274304533141	0.00842778024996	0.014923808828	0.0549427918245	-0.0508195197068	0.0397767163931	-0.0486107888002	-0.0184806836903	-0.0334328591485	0.0153592275294	0.147668791998	-0.0565373606945	0.00959573588899	0.000165040519272	-0.0610356280606	-0.0339564295988	-0.0614853432357	-0.00362361599456	0.00367990828312	-0.0409457914864	-0.00740367851869	-0.0276699117383	-0.0279012616327	-0.0876086939337	0.0216865998573	-0.0476544506257	0.00303340744054	-0.032130726913	-0.00994621386975	-0.022327289396	0.00187324369737	-0.0178271934806	0.0097398297499	-0.040392049353	-0.015723034363	-0.00303231537728	-0.0303218111237	0.0413710169915	0.0231200843201	0.0276368534131	0.0329185337301	-0.000193322887317	0.0418241068943	-0.00819102350772	0.0482752965448	0.0749469319202	0.00349260116288	0.0103260338385	-0.0194580795154	-0.0184707058412	-0.0106863042197	-0.00572769214381	-0.00378023824204	-0.00295447776371	-0.0310049365203	-0.0028320542436	0.0113638522445	-0.00892116789958	-7.27035500827e-09
CD7	-0.169456372109	0.102805336885	-0.0621835481386	0.0086634718361	-0.10413536374	0.020344204887	0.0663213756196	0.00283538576311	-0.0239798614811	-0.122852027241	0.031626895831	-0.0241715212675	-0.0384653176686	-0.064677138186	0.0810685250066	-0.0478601454492	-0.0536221805187	0.0191965991356	0.0211549847604	-0.0240913510287	-0.0428407499534	-0.0400274687221	-0.0714807754425	0.0455671555762	0.00654291294213	0.0113167927125	0.0750674297977	0.00685236612085	0.00863051351921	-0.0544721385858	0.0363138222399	0.0334665793799	-0.0122037339465	-0.0218447037667	-0.058777585702	-0.0980097008123	-0.105000274012	0.0206780052503	0.0462867686765	-0.0374036847402	-0.071342702614	0.0676306344362	-0.0271731404096	-0.0102272349761	-0.00874868890944	-0.0291190448537	0.0235602199646	-0.000754323739685	-0.0537568316644	0.0374482426831	0.0520416508231	0.00153520278267	0.0117253837593	0.00604157548649	-0.00215336874007	0.0604485032446	0.0106100613849	-0.0325549934477	-0.014065454037	-0.00715299515014	0.00151952875234	0.00627466998798	-0.0134678880829	-0.0326172201616	-0.037015929495	-0.0510613085547	-0.00914660878887	-0.0373218238859	-0.045819200639	0.0225756776791	0.0036364019519	-0.0146802604241	-0.0393904001449	0.0935043535198	0.0318635960862	0.00631144885875	0.053074505827	-0.0179561972509	-0.04295778299	-0.0329496046046	-0.0232930744619	-0.0185539831504	-0.0174105682983	-0.00733358792911	0.0100560658117	0.0363296037564	-0.000440606305646	0.0177245482873	0.00692593380084	0.011006575945	-0.0169732656803	-7.27035500827e-09
CD8	-0.110412035638	0.0472363288529	-0.0292167953881	0.0352804998307	-0.143767580198	0.0428650844904	-0.0229733526536	-0.0630249428874	-0.0534294081432	-0.0417151780247	0.0781514311296	-0.0650109926354	-0.116775909922	-0.032931676458	0.107074262551	-0.0878311273786	0.0350536129128	-0.00193113108663	0.0143440796187	-0.0154545492317	-0.0807138080658	0.087322245672	0.015384179493	0.0105917341938	-0.0149967765699	-0.0590967370135	-0.0465338690096	0.023016371722	0.0958833248619	-0.00212609445224	-0.0218870201071	-0.0143394245064	-0.0111928022285	-0.00209159458169	-0.0358984041822	-0.0609518525442	0.0352006768201	-0.0348225581385	0.0065196283943	-0.00945867453844	0.0341306411665	-0.0239093794538	0.0496829406307	0.00644468657053	-0.030617287755	-0.0614192515281	-0.0361033013099	0.0227162887792	-0.0534441421898	-0.0179608172726	-0.0491930672477	-0.0264615948972	-0.0907444276112	0.0217737366946	-0.0658104854814	-0.0147123888371	-0.0332294688394	0.0186290527025	0.0100504397477	0.0134417857876	-0.0215900889732	-0.0728426664553	0.0177781563786	0.00867376178812	-0.0329659386235	0.0450126378593	0.0662175471805	-0.00316031544806	-0.0264286029579	0.0405303097559	-0.00290008536366	-0.00895805315152	-0.0308688180198	-0.0291594330395	0.0148951552751	-0.0246439778759	0.0029878807474	-0.0208136130826	-0.0315472819732	0.0220913717608	0.0281247659025	-0.0341225431749	0.0309680639312	0.0500074665925	0.0161128902455	-0.0343501813358	-0.0139893467238	-0.0198269005587	-0.00924639573876	-0.0181433912159	0.0143715618194	-7.27035500828e-09
CE7	-0.0600162685539	0.0196483192218	-0.0455500968226	0.0297154377033	-0.194830079496	0.0518488222912	-0.0127032578693	-0.0622939044346	-0.023690731485	0.0381169593215	0.0621458544459	0.0121705050093	-0.104278646722	0.118104317828	0.0132104613899	0.00338339493806	0.00814577512343	0.00702127374952	0.0394888069083	-0.0255667620393	-0.226874040439	-0.00380234614262	-0.0209428618918	0.120706124204	0.0462860306275	0.0524294914345	0.00487084019371	-0.016489185043	0.0936826088034	0.0320101571801	0.0160748733375	-0.0189513703671	0.00633809954721	0.0169507749672	-0.0632252282121	0.0316712766905	-0.0296854259935	-0.0196548298539	0.0347056041547	-0.0031355325946	-0.0160138113019	0.0398799932081	0.00968293775388	0.023394980726	0.0423399457691	0.0168391959797	-0.0024363363594	-0.0274460398575	-0.0226840232967	0.0363978808935	0.0137819585932	-0.0476856694948	0.0548355349996	-0.0095375016853	0.0181875712816	-0.0140362046272	0.00605965617438	-0.0109994702046	0.00278110255972	0.00599261541671	0.00640865308523	0.0362453328914	0.00632881749469	0.0656965819107	-0.0199005887719	0.0450243867263	0.0043948537205	-0.0596845019093	0.0430548522048	-0.00106364549125	-0.00189309483906	0.0318778671782	0.0640341417587	-0.0309410518197	-0.00774561005281	0.0142342933555	-0.0193980011837	0.0390629421997	0.0591097445304	-0.00795471305868	-0.0222344860262	0.00377991344639	-0.00657172494986	-0.0146900721593	-0.022758770166	0.00465596715231	0.0334299456195	-0.0023082551441	-0.0135129137869	0.0137029695511	-0.00295993537884	-7.27035500827e-09
CE8	-0.156437011716	0.0523027490399	-0.0693855138191	-0.0899413969821	-0.0323780122152	0.150881250302	-0.065814585517	-0.0863715933081	-0.0430878171088	0.0161928988742	0.0113452840301	-0.12346336516	-0.118286093776	-0.0618000810613	0.0702338914232	-0.0895891535289	-0.0145175633463	-0.0138721315165	-0.0351526160243	-0.00791803915147	-0.0058402348255	0.0233630232473	-0.0373243548478	-0.0163539449173	-0.00751565456626	-0.0229931895019	-0.0116156095238	0.0393271659772	-0.0291534727379	0.0126726275284	0.0496716126645	0.0416458765199	-0.0221174979876	0.0833282872881	-0.00119156254706	0.0306046359148	0.0736222876847	-0.027885097226	0.0396555109729	0.00482825475359	-0.0511212285761	-0.0298505021874	-0.032882116804	-0.0201090038436	0.0216694089585	-0.059552851935	-0.0801970971149	0.0346123618989	0.0166175914679	0.0451130145878	0.00619658268503	-0.0179411030189	0.0292293896333	0.0398280624465	0.0135555548892	0.0235274928841	0.0484815521654	0.0100109649529	0.0567912908877	-0.0725004023497	0.03426406018	0.0173791783103	0.000256263789179	-0.0988673802561	0.0405645303894	-5.28800128278e-06	-0.0475384468368	0.0442451931265	-0.000125756073822	0.0210749765259	0.0416712287549	-0.00204544250411	-0.0216303879574	-0.0274700087919	-0.0266546581115	0.0203332834512	-0.0541006950164	0.0326440675992	-0.00941626039551	0.0145863754318	0.00657527420303	0.0322386539581	-0.000130076378352	-0.0196086648334	-0.0272778315272	0.0325380315499	0.010945980876	-0.000323782786102	0.013490992637	0.00140054017386	0.0119060082304	-7.27035500827e-09
