Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
186	4.0000	1.0908	1.0902
187	4.0000	1.0908	1.0902
188	4.0000	1.0908	1.0902
189	4.0000	1.0908	1.0902
190	1.0000	0.2727	0.2726
191	4.0000	1.0908	1.0902
192	3.0000	0.8181	0.8177
193	4.0000	1.0908	1.0902
194	4.0000	1.0908	1.0902
195	4.0000	1.0908	1.0902
196	3.0000	0.8181	0.8177
197	3.0000	0.8181	0.8177
198	3.0000	0.8181	0.8177
199	4.0000	1.0908	1.0902
200	4.0000	1.0908	1.0902
201	3.0000	0.8181	0.8177
202	4.0000	1.0908	1.0902
203	3.0000	0.8181	0.8177
204	4.0000	1.0908	1.0902
205	4.0000	1.0908	1.0902
206	4.0000	1.0908	1.0902
207	3.0000	0.8181	0.8177
208	3.0000	0.8181	0.8177
209	4.0000	1.0908	1.0902
210	3.0000	0.8181	0.8177
211	4.0000	1.0908	1.0902
212	4.0000	1.0908	1.0902
213	4.0000	1.0908	1.0902
214	3.0000	0.8181	0.8177
215	4.0000	1.0908	1.0902
216	4.0000	1.0908	1.0902
217	4.0000	1.0908	1.0902
218	4.0000	1.0908	1.0902
219	4.0000	1.0908	1.0902
220	4.0000	1.0908	1.0902
221	3.0000	0.8181	0.8177
222	4.0000	1.0908	1.0902
223	3.0000	0.8181	0.8177
224	3.0000	0.8181	0.8177
225	3.0000	0.8181	0.8177
226	4.0000	1.0908	1.0902
227	4.0000	1.0908	1.0902
228	4.0000	1.0908	1.0902
229	3.0000	0.8181	0.8177
230	4.0000	1.0908	1.0902
231	4.0000	1.0908	1.0902
232	4.0000	1.0908	1.0902
233	4.0000	1.0908	1.0902
234	4.0000	1.0908	1.0902
235	3.0000	0.8181	0.8177
236	4.0000	1.0908	1.0902
237	4.0000	1.0908	1.0902
238	4.0000	1.0908	1.0902
239	4.0000	1.0908	1.0902
240	4.0000	1.0908	1.0902
241	1.0000	0.2727	0.2726
242	4.0000	1.0908	1.0902
243	4.0000	1.0908	1.0902
244	4.0000	1.0908	1.0902
245	4.0000	1.0908	1.0902
246	3.0000	0.8181	0.8177
247	3.0000	0.8181	0.8177
248	2.0000	0.5454	0.5451
249	3.0000	0.8181	0.8177
250	4.0000	1.0908	1.0902
251	4.0000	1.0908	1.0902
252	4.0000	1.0908	1.0902
253	3.0000	0.8181	0.8177
254	3.0000	0.8181	0.8177
255	4.0000	1.0908	1.0902
256	3.0000	0.8181	0.8177
257	3.0000	0.8181	0.8177
258	4.0000	1.0908	1.0902
259	3.0000	0.8181	0.8177
260	4.0000	1.0908	1.0902
261	4.0000	1.0908	1.0902
262	4.0000	1.0908	1.0902
263	4.0000	1.0908	1.0902
264	4.0000	1.0908	1.0902
265	3.0000	0.8181	0.8177
266	3.0000	0.8181	0.8177
267	4.0000	1.0908	1.0902
268	3.0000	0.8181	0.8177
269	4.0000	1.0908	1.0902
270	4.0000	1.0908	1.0902
271	4.0000	1.0908	1.0902
272	3.0000	0.8181	0.8177
273	4.0000	1.0908	1.0902
274	3.0000	0.8181	0.8177
275	4.0000	1.0908	1.0902
276	4.0000	1.0908	1.0902
277	4.0000	1.0908	1.0902
278	4.0000	1.0908	1.0902
279	3.0000	0.8181	0.8177
280	1.0000	0.2727	0.2726
281	4.0000	1.0908	1.0902
282	4.0000	1.0908	1.0902
283	4.0000	1.0908	1.0902
284	4.0000	1.0908	1.0902
285	3.0000	0.8181	0.8177
286	3.0000	0.8181	0.8177
287	4.0000	1.0908	1.0902
288	4.0000	1.0908	1.0902
289	4.0000	1.0908	1.0902
290	3.0000	0.8181	0.8177
291	4.0000	1.0908	1.0902
292	3.0000	0.8181	0.8177
293	4.0000	1.0908	1.0902
294	4.0000	1.0908	1.0902
295	4.0000	1.0908	1.0902
296	4.0000	1.0908	1.0902
297	4.0000	1.0908	1.0902
298	4.0000	1.0908	1.0902
299	3.0000	0.8181	0.8177
300	4.0000	1.0908	1.0902
301	3.0000	0.8181	0.8177
302	4.0000	1.0908	1.0902
303	3.0000	0.8181	0.8177
304	4.0000	1.0908	1.0902
305	4.0000	1.0908	1.0902
306	4.0000	1.0908	1.0902
307	4.0000	1.0908	1.0902
308	3.0000	0.8181	0.8177
309	3.0000	0.8181	0.8177
310	4.0000	1.0908	1.0902
311	4.0000	1.0908	1.0902
312	4.0000	1.0908	1.0902
313	4.0000	1.0908	1.0902
314	3.0000	0.8181	0.8177
315	4.0000	1.0908	1.0902
316	3.0000	0.8181	0.8177
317	4.0000	1.0908	1.0902
318	3.0000	0.8181	0.8177
319	4.0000	1.0908	1.0902
320	4.0000	1.0908	1.0902
321	4.0000	1.0908	1.0902
322	4.0000	1.0908	1.0902
323	4.0000	1.0908	1.0902
324	3.0000	0.8181	0.8177
325	3.0000	0.8181	0.8177
326	4.0000	1.0908	1.0902
327	4.0000	1.0908	1.0902
328	4.0000	1.0908	1.0902
329	4.0000	1.0908	1.0902
330	4.0000	1.0908	1.0902
331	4.0000	1.0908	1.0902
332	4.0000	1.0908	1.0902
333	3.0000	0.8181	0.8177
334	4.0000	1.0908	1.0902
335	4.0000	1.0908	1.0902
336	4.0000	1.0908	1.0902
337	3.0000	0.8181	0.8177
338	4.0000	1.0908	1.0902
339	4.0000	1.0908	1.0902
340	4.0000	1.0908	1.0902
341	2.0000	0.5454	0.5451
342	4.0000	1.0908	1.0902
343	4.0000	1.0908	1.0902
344	4.0000	1.0908	1.0902
345	3.0000	0.8181	0.8177
346	4.0000	1.0908	1.0902
347	3.0000	0.8181	0.8177
348	3.0000	0.8181	0.8177
349	4.0000	1.0908	1.0902
350	3.0000	0.8181	0.8177
351	4.0000	1.0908	1.0902
352	4.0000	1.0908	1.0902
353	3.0000	0.8181	0.8177
354	3.0000	0.8181	0.8177
355	3.0000	0.8181	0.8177
356	4.0000	1.0908	1.0902
357	4.0000	1.0908	1.0902
358	2.0000	0.5454	0.5451
359	4.0000	1.0908	1.0902
360	4.0000	1.0908	1.0902
361	3.0000	0.8181	0.8177
362	4.0000	1.0908	1.0902
363	3.0000	0.8181	0.8177
364	2.0000	0.5454	0.5451
365	4.0000	1.0908	1.0902
366	4.0000	1.0908	1.0902
367	4.0000	1.0908	1.0902
368	3.0000	0.8181	0.8177
369	1.0000	0.2727	0.2726
370	4.0000	1.0908	1.0902
371	4.0000	1.0908	1.0902
372	4.0000	1.0908	1.0902
373	4.0000	1.0908	1.0902
374	4.0000	1.0908	1.0902
375	3.0000	0.8181	0.8177
376	4.0000	1.0908	1.0902
377	3.0000	0.8181	0.8177
378	4.0000	1.0908	1.0902
379	4.0000	1.0908	1.0902
380	4.0000	1.0908	1.0902
381	3.0000	0.8181	0.8177
382	4.0000	1.0908	1.0902
383	4.0000	1.0908	1.0902
384	3.0000	0.8181	0.8177
385	4.0000	1.0908	1.0902
386	4.0000	1.0908	1.0902
387	4.0000	1.0908	1.0902
388	4.0000	1.0908	1.0902
389	3.0000	0.8181	0.8177
390	3.0000	0.8181	0.8177
391	4.0000	1.0908	1.0902
392	4.0000	1.0908	1.0902
393	4.0000	1.0908	1.0902
394	4.0000	1.0908	1.0902
395	4.0000	1.0908	1.0902
396	2.0000	0.5454	0.5451
397	4.0000	1.0908	1.0902
398	4.0000	1.0908	1.0902
399	3.0000	0.8181	0.8177
400	4.0000	1.0908	1.0902
401	4.0000	1.0908	1.0902
402	2.0000	0.5454	0.5451
403	4.0000	1.0908	1.0902
404	4.0000	1.0908	1.0902
405	3.0000	0.8181	0.8177
406	4.0000	1.0908	1.0902
407	3.0000	0.8181	0.8177
408	4.0000	1.0908	1.0902
409	4.0000	1.0908	1.0902
410	4.0000	1.0908	1.0902
