OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	238.183418034	9.79056207096e-54	2.41826883153e-51	2.41826883153e-51	0.00846732262612	8.90751841527e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	215.701273008	7.83586266475e-49	9.67729039096e-47	1.93545807819e-46	0.00602637566791	6.48788245698e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	208.325282237	3.18602048749e-47	2.62315686804e-45	7.86947060411e-45	0.00321662507115	1.73703203472e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	173.026578523	1.61497126511e-39	9.97244756206e-38	3.98897902483e-37	0.00128023582655	0.0609332892394
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	165.147584624	8.49318394921e-38	4.19563287091e-36	2.09781643545e-35	0.38830229355	0.0302359573331
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	164.749746843	1.03747460761e-37	4.27093713466e-36	2.56256228079e-35	0.325717973289	0.0197635781814
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	149.867847511	1.85287108157e-34	6.53798795925e-33	4.57659157148e-32	0.00242140654982	7.77787946762e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	147.920659647	4.93713005353e-34	1.52433890403e-32	1.21947112322e-31	0.00748056307843	2.79751603711e-05
k__Bacteria;p__TM7;c__TM7-3;o__CW040	146.611650938	9.54172743387e-34	2.61867408463e-32	2.35680667617e-31	0.00818105310178	0.000446700923006
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	142.028546582	9.58604490236e-33	2.36775309088e-31	2.36775309088e-30	0.00606815520575	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	136.187930674	1.8151183281e-31	4.07576570037e-30	4.48334227041e-29	0.0012413931806	0.0828857954512
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	128.289385729	9.7014541815e-30	1.99688265236e-28	2.39625918283e-27	0.0225833557654	0.000145414357695
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	123.375565615	1.15401203658e-28	2.19262286949e-27	2.85040973034e-26	0.00850080026779	0.114947500754
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	120.218487832	5.66632076559e-28	9.99700877929e-27	1.3995812291e-25	0.0227307840217	0.132618402884
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	118.813003014	1.15082927628e-27	1.89503220827e-26	2.84254831241e-25	0.0144425649875	0.0413300924981
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	118.341373942	1.45973340756e-27	2.25346344793e-26	3.60554151668e-25	7.37674030154e-05	0.266716911556
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	117.365496275	2.38754452331e-27	3.46896174857e-26	5.89723497258e-25	0.0507596351811	0.000885545663499
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	116.677280793	3.37793815451e-27	4.63528180091e-26	8.34350724164e-25	0.00342272124625	0.0439487641859
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales	102.199399271	5.02051287547e-24	6.52666673811e-23	1.24006668024e-21	0.00525000247601	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	101.04468271	8.99316802387e-24	1.11065625095e-22	2.2213125019e-21	0.0042796859578	0.00667828316314
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	97.356099985	5.79159555441e-23	6.81201953305e-22	1.43052410194e-20	0.000857808287941	4.71062945594e-05
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__HA64	95.8623990304	1.23152304386e-22	1.38266450834e-21	3.04186191834e-20	0.000417769507208	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	93.8358282588	3.42810049087e-22	3.6814818315e-21	8.46740821246e-20	0.0270230262004	0.000999966250463
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	89.2056716002	3.55827363861e-21	3.66205661974e-20	8.78893588738e-19	0.00562498530585	0.0628753915615
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	82.5969202917	1.00613710684e-19	9.94063461561e-19	2.4851586539e-17	0.0041145638006	0.00872687720736
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales	80.4526942882	2.97748318476e-19	2.82860902553e-18	7.35438346637e-17	1.40521530834e-06	0.0023329888522
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	78.7606376856	7.01101881257e-19	6.41378387669e-18	1.73172164671e-16	0.00329123195539	0.0114279128105
k__Bacteria;p__OD1;c__ZB2;o__	73.1028409962	1.23067247578e-17	1.085628934e-16	3.03976101519e-15	0.0	0.00118225722629
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41	65.4021045567	6.10736381276e-16	5.20178917845e-15	1.50851886175e-13	0.000735914981657	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	62.6228221578	2.50335727582e-15	2.06109749042e-14	6.18329247126e-13	0.000654159921373	2.32813918901e-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	62.465183845	2.7119683744e-15	2.16082641444e-14	6.69856188477e-13	0.000717490392647	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	51.3638819791	7.67374447993e-13	5.92317152045e-12	1.89541488654e-10	1.2711070752e-05	0.000885201853475
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales]	50.9094355907	9.67274839275e-13	7.23990561518e-12	2.38916885301e-10	0.00160977602835	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	49.443520396	2.04165767743e-12	1.4832042539e-11	5.04289446325e-10	0.00932242218978	0.000584109424888
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	48.0678539934	4.11721482294e-12	2.9055773179e-11	1.01695206127e-09	0.00110866262647	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	43.6442725759	3.93828023479e-11	2.70209782776e-10	9.72755217992e-09	0.000522452165086	6.82393675998e-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	42.8145527544	6.01827775034e-11	4.01760703874e-10	1.48651460433e-08	0.0019982964145	0.00183666085677
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	42.4406491302	7.28599189989e-11	4.73589473493e-10	1.79963999927e-08	0.000101077505957	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	42.3859104963	7.49278717766e-11	4.74543187918e-10	1.85071843288e-08	0.00312114383137	0.00153254565224
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	38.5096785711	5.44828248998e-10	3.36431443756e-09	1.34572577503e-07	7.62097140082e-05	0.000619702102412
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]	35.6296725396	2.38624936211e-09	1.43756973766e-08	5.89403592441e-07	9.63693679384e-05	1.3437099424e-05
k__Bacteria;p__OD1;c__SM2F11;o__	35.1444449605	3.06133433557e-09	1.80035614497e-08	7.56149580886e-07	0.0	0.000431933044185
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	34.1379069291	5.13413131704e-09	2.8821146257e-08	1.26813043531e-06	2.83989789391e-05	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20	34.1379069291	5.13413131704e-09	2.8821146257e-08	1.26813043531e-06	0.000366609175502	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	31.8699573534	1.64847177725e-08	9.04827842178e-08	4.0717252898e-06	0.000783362085815	4.47399866088e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	31.2106021016	2.31498298336e-08	1.24304521063e-07	5.7180079689e-06	0.00381057659054	0.00125278635745
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09	28.6933832485	8.47929543398e-08	4.45614036637e-07	2.09438597219e-05	9.16872097125e-05	0.0
