OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	301.19257094	5.99173759385e-64	6.46508486377e-61	6.46508486377e-61	0.0120584451888	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Anaerovibrio	288.627355508	3.07377860008e-61	1.65830355474e-58	3.31660710949e-58	0.00603384158567	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera	278.043291013	5.88656126825e-59	2.11719986948e-56	6.35159960844e-56	0.0185626704545	0.0	2.21597317786e-06	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	276.144795241	1.51063851186e-58	3.25995790859e-56	1.6299789543e-55	0.00150183222212	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12;g__	276.144795241	1.51063851186e-58	3.25995790859e-56	1.6299789543e-55	0.00243418032394	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__	270.077417194	3.06970409428e-57	5.52035119621e-55	3.31221071772e-54	6.20475739325e-06	2.47624660445e-06	2.72198327125e-05	0.0	0.0528304498544
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	265.03465451	3.74967516683e-56	5.77985643573e-54	4.04589950501e-53	6.14565195124e-06	0.000159864428341	0.0586442038673	0.0	1.66606350816e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;Other	264.440291048	5.0360531651e-56	6.79237670643e-54	5.43390136514e-53	0.0	7.94472901639e-05	0.0627850396317	0.0	7.18478774425e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RFN20	263.74434767	7.113390115e-56	8.52816437121e-54	7.67534793409e-53	0.00047693491107	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acetobacter	251.607753024	2.93226461399e-53	3.14848112827e-51	3.16391351849e-50	6.18627804556e-05	0.000145133197895	3.15096548699e-05	0.0	0.560914173181
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinivibrio	251.425473781	3.2097583328e-53	3.14848112827e-51	3.46332924109e-50	0.000810320988092	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	244.602371701	9.46753911961e-52	8.51289559172e-50	1.02154747101e-48	5.44139428911e-05	0.171448781727	0.0706515142251	0.0	0.00144555904268
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__	240.557979686	7.03532222239e-51	5.83931744459e-49	7.59111267796e-48	0.00408156515781	0.0	7.43829346465e-06	0.0103678175291	0.000205007635575
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Selenomonas	239.18763799	1.38799975527e-50	1.06975123996e-48	1.49765173594e-47	0.00128130201923	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__	228.302735238	3.06168172393e-48	2.20236972008e-46	3.30355458012e-45	5.52258852158e-06	0.0	0.0	0.00523987865919	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	227.030308133	5.7525173637e-48	3.65115660908e-46	6.20696623544e-45	0.000391888487128	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;Other	227.030308133	5.7525173637e-48	3.65115660908e-46	6.20696623544e-45	0.00175134629122	0.0	0.0	0.0	0.0
