OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Tenericutes;c__Mollicutes	245.951797945	1.98158432233e-55	2.61569130548e-53	2.61569130548e-53	0.0190888529125	0.000124828223991
k__Bacteria;p__Firmicutes;c__Clostridia	165.145304882	8.50292859997e-38	3.6220870837e-36	1.1223865752e-35	0.388329734752	0.0303982285787
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	164.749746843	1.03747460761e-37	3.6220870837e-36	1.36946648204e-35	0.325717973289	0.0197635781814
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	164.637742033	1.09760214658e-37	3.6220870837e-36	1.44883483348e-35	0.0133060534904	0.360285907708
k__Bacteria;p__Actinobacteria;c__Actinobacteria	161.148510344	6.34918668723e-37	1.67618528543e-35	8.38092642714e-35	0.00206359791236	0.060978029226
k__Bacteria;p__Cyanobacteria;c__4C0d-2	151.828020429	6.90897405631e-35	1.51997429239e-33	9.11984575433e-33	0.00321684657619	9.36755061628e-05
k__Bacteria;p__Deferribacteres;c__Deferribacteres	142.028546582	9.58604490236e-33	1.80765418159e-31	1.26535792711e-30	0.00606815520575	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	137.09500545	1.14951599187e-31	1.89670138659e-30	1.51736110927e-29	0.0278406655382	0.000145414357695
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	128.533346367	8.57936414707e-30	1.25830674157e-28	1.13247606741e-27	0.00904509532455	0.146317560571
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	118.813003014	1.15082927628e-27	1.51909464469e-26	1.51909464469e-25	0.0144425649875	0.0413300924981
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	117.365496275	2.38754452331e-27	2.86505342797e-26	3.15155877077e-25	0.0507596351811	0.000885545663499
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	116.429380831	3.82768982178e-27	4.21045880396e-26	5.05255056475e-25	0.0343675907399	0.226568573515
k__Bacteria;p__TM7;c__TM7-3	96.3231344231	9.75830949821e-23	9.90843733664e-22	1.28809685376e-20	0.00818488692804	0.000671724660915
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	93.8358282588	3.42810049087e-22	3.23220903425e-21	4.52509264795e-20	0.0270230262004	0.000999966250463
k__Bacteria;p__Verrucomicrobia;c__Opitutae	86.5625834788	1.35384494449e-20	1.19138355115e-19	1.78707532673e-18	0.000516234423398	3.80548766641e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	82.5969202917	1.00613710684e-19	8.30063113145e-19	1.32810098103e-17	0.0041145638006	0.00872687720736
k__Bacteria;p__OD1;c__ZB2	73.1028409962	1.23067247578e-17	9.55580981197e-17	1.62448766804e-15	0.0	0.00118225722629
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	67.4915014176	2.11597219448e-16	1.55171294262e-15	2.79308329672e-14	0.00629775608063	0.00164753217267
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	65.4021045567	6.10736381276e-16	4.24301064886e-15	8.06172023284e-14	0.000737772969456	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	63.5663887776	1.55052264924e-15	1.0233449485e-14	2.046689897e-13	0.0325403583646	0.0892570560884
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	50.9094355907	9.67274839275e-13	6.08001327544e-12	1.27680278784e-10	0.00160977602835	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	49.443520396	2.04165767743e-12	1.22499460646e-11	2.69498813421e-10	0.00932242218978	0.000584109424888
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	42.8145527544	6.01827775034e-11	3.4539681002e-10	7.94412663045e-09	0.0019982964145	0.00183666085677
k__Archaea;p__Euryarchaeota;c__Methanobacteria	42.4406491302	7.28599189989e-11	4.00729554494e-10	9.61750930786e-09	0.000101077505957	0.0
k__Bacteria;p__OD1;c__SM2F11	35.1444449605	3.06133433557e-09	1.61638452918e-08	4.04096132295e-07	0.0	0.000431933044185
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	34.1379069291	5.13413131704e-09	2.60655897634e-08	6.77705333849e-07	2.83989789391e-05	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	33.3896182097	7.5425527376e-09	3.68747022727e-08	9.95616961364e-07	0.000469658190755	2.93027723615e-05
k__Bacteria;p__Bacteroidetes;c__Cytophagia	31.2106021016	2.31498298336e-08	1.09134912073e-07	3.05577753803e-06	0.00381057659054	0.00125278635745
k__Bacteria;p__Tenericutes;c__RF3	27.1911787871	1.84297636568e-07	8.38872000931e-07	2.4327288027e-05	2.98268566703e-05	5.66343841026e-06
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	24.6042025398	7.03980398454e-07	3.0975137532e-06	9.29254125959e-05	0.000522452165086	0.000147903737153
k__Bacteria;p__GN02;c__GKS2-174	22.3076117675	2.32284044061e-06	9.89080445678e-06	0.00030661493816	0.0	0.000421745778093
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	19.9842426078	7.80829786684e-06	3.22092287007e-05	0.00103069531842	0.000111686703683	0.000568417277184
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	19.562950445	9.7338648791e-06	3.89354595164e-05	0.00128487016404	1.43698960258e-05	0.000364547338384
k__Bacteria;p__Acidobacteria;c__DA052	19.1416375882	1.21368073867e-05	4.71193698544e-05	0.00160205857505	5.91796329551e-06	4.41851951759e-07
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	16.04019832	6.20118045387e-05	0.000233873091403	0.0081855581991	0.00690085908029	0.000523013544192
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	13.892881405	0.000193530077325	0.000709610283525	0.0255459702069	4.22909873677e-07	0.000123546651352
k__Bacteria;p__GN02;c__BD1-5	11.9152127963	0.000556773774174	0.00198632805922	0.073494138191	1.33054592832e-07	0.000206726922698
k__Bacteria;p__OD1;c__	11.6745986121	0.000633592085198	0.00220089882227	0.0836341552461	0.0	0.000151101440247
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	11.3973846501	0.000735475767769	0.0024893025986	0.0970828013456	0.00110866262647	0.000169049667922
k__Bacteria;p__OP11;c__OP11-4	10.73667449	0.00105032916218	0.00338154754653	0.138643449408	0.0	0.000356111365624
k__Bacteria;p__OP3;c__koll11	10.73667449	0.00105032916218	0.00338154754653	0.138643449408	0.0	9.74586315094e-05
k__Bacteria;p__WPS-2;c__	10.6682725989	0.00108988851402	0.0034253639012	0.14386528385	8.21067448596e-06	1.45204287847e-05
k__Bacteria;p__Actinobacteria;c__OPB41	10.1937284613	0.00140919096683	0.00422757290049	0.186013207622	1.30035763198e-06	0.0
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	10.1937284613	0.00140919096683	0.00422757290049	0.186013207622	4.35030766486e-06	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	9.5434408215	0.00200665212424	0.00588617956445	0.2648780804	2.18551846076e-06	0.000306195617721
k__Bacteria;p__OP11;c__OP11-3	9.35279840579	0.00222645255216	0.00638895080184	0.293891736884	0.0	0.000174141346493
k__Bacteria;p__Bacteroidetes;Other	7.62000901552	0.00577241994484	0.0158741548483	0.761959432719	9.61823151047e-07	0.0
k__Bacteria;p__Cyanobacteria;c__ML635J-21	7.62000901552	0.00577241994484	0.0158741548483	0.761959432719	7.01460659107e-06	0.0
k__Bacteria;p__Nitrospirae;c__Nitrospira	7.10636814154	0.00768105762992	0.0206918287173	1.0	0.0	7.49576222827e-05
k__Bacteria;p__[Thermi];c__Deinococci	6.82214095962	0.00900345701728	0.0237691265256	1.0	3.70461943457e-06	0.000133953029113
k__Bacteria;Other;Other	6.77743022837	0.00923177064703	0.0238939946159	1.0	3.94638977064e-05	8.67012836537e-05
