OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	238.183418034	9.79056207096e-54	4.57219248714e-51	4.57219248714e-51	0.00846732262612	8.90751841527e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	232.488243977	1.70887570577e-52	3.99022477298e-50	7.98044954596e-50	0.00601956304598	4.28391186157e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	208.325282237	3.18602048749e-47	4.9595718922e-45	1.48787156766e-44	0.00321662507115	1.73703203472e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	185.257489448	3.44814900012e-42	4.02571395764e-40	1.61028558306e-39	0.150294780587	0.00246485265489
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	179.709378902	5.60886478217e-41	5.23867970655e-39	2.61933985327e-38	4.18935447013e-05	0.0238043089138
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	179.306234173	6.8690887006e-41	5.3464407053e-39	3.20786442318e-38	1.89668622037e-05	0.0169072932937
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	165.274172466	7.96925829061e-38	5.31663374531e-36	3.72164362172e-35	0.245060559866	0.00141371244078
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	163.589063496	1.86008910615e-37	1.08582701571e-35	8.68661612571e-35	0.000153620282094	0.0109990706414
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	159.972271996	1.14737814841e-36	5.95361772566e-35	5.35825595309e-34	0.0955728620266	0.00707289140429
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	157.035018237	5.02918924862e-36	2.3486313791e-34	2.3486313791e-33	0.00475889820468	5.11677060902e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	155.75158655	9.59293606809e-36	4.07263740345e-34	4.4799011438e-33	0.000829076686306	0.0460594312044
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	155.543410829	1.06522940622e-35	4.14551777253e-34	4.97462132703e-33	0.039696686038	0.00128806086401
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	152.813200019	4.20821505078e-35	1.51172032978e-33	1.96523642871e-32	0.00587192707059	0.00023495801981
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae	149.867847511	1.85287108157e-34	6.18064853638e-33	8.65290795093e-32	0.00242140654982	7.77787946762e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	147.920659647	4.93713005353e-34	1.53709315667e-32	2.305639735e-31	0.00748056307843	2.79751603711e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	146.988560365	7.89281616495e-34	2.30371571815e-32	3.68594514903e-31	0.00494495718645	0.100227368346
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16	146.611650938	9.54172743387e-34	2.62116865389e-32	4.45598671162e-31	0.00818105310178	0.000446700923006
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	142.028546582	9.58604490236e-33	2.48704609411e-31	4.4766829694e-30	0.00606815520575	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	136.803774496	1.33109876983e-31	3.27170066059e-30	6.21623125512e-29	0.026805682508	0.000197182321813
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	135.552435936	2.49978173397e-31	5.83699034882e-30	1.16739806976e-28	4.9055853977e-05	0.0777703717061
