OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Tenericutes	241.404848463	1.9426273665e-54	8.15903493929e-53	8.15903493929e-53	0.0191186797692	0.000130491662402
k__Bacteria;p__Proteobacteria	180.082088426	4.65047276881e-41	9.76599281449e-40	1.9531985629e-39	0.0900403876097	0.73586240692
k__Bacteria;p__Bacteroidetes	146.700269052	9.12545117444e-34	1.27756316442e-32	3.83268949327e-32	0.35009141131	0.0729454987769
k__Bacteria;p__Deferribacteres	142.028546582	9.58604490236e-33	1.00653471475e-31	4.02613885899e-31	0.00606815520575	0.0
k__Bacteria;p__Firmicutes	139.154828416	4.07415079381e-32	3.4222866668e-31	1.7111433334e-30	0.471630012435	0.120540830331
k__Bacteria;p__Spirochaetes	132.960314177	9.22372976543e-31	6.4566108358e-30	3.87396650148e-29	0.0294504415665	0.00016034766877
k__Bacteria;p__Actinobacteria	107.714557734	3.10414136782e-25	1.86248482069e-24	1.30373937449e-23	0.0114535320296	0.0618754374777
k__Bacteria;p__OD1	91.7811649534	9.68115432304e-22	5.0826060196e-21	4.06608481568e-20	0.0	0.00179293826751
k__Bacteria;p__TM7	72.6234186423	1.56906069201e-17	7.32228322936e-17	6.59005490643e-16	0.00818495102083	0.00104963938572
k__Bacteria;p__Cyanobacteria	66.7232053394	3.12435457936e-16	1.31222892333e-15	1.31222892333e-14	0.00324139741493	0.000621853735537
k__Bacteria;p__Verrucomicrobia	65.9141965985	4.70986920205e-16	1.79831369533e-15	1.97814506486e-14	0.00816036509995	0.000654138581884
k__Archaea;p__Euryarchaeota	53.7698345431	2.25407096149e-13	7.88924836522e-13	9.46709803827e-12	0.000129476484896	0.0
k__Bacteria;p__GN02	33.7292816273	6.33400516737e-09	2.04637090023e-08	2.66028217029e-07	1.33054592832e-07	0.000726281414484
k__Bacteria;p__Lentisphaerae	33.3896182097	7.5425527376e-09	2.26276582128e-08	3.16787214979e-07	0.000469658190755	2.93027723615e-05
k__Bacteria;p__Acidobacteria	21.8498064287	2.94846343013e-06	8.25569760436e-06	0.000123835464065	4.20044613109e-05	0.000917334283988
k__Bacteria;p__Fusobacteria	19.9842426078	7.80829786684e-06	2.04967819004e-05	0.000327948510407	0.000111686703683	0.000568417277184
k__Bacteria;p__Elusimicrobia	19.6989983196	9.06488680103e-06	2.23956026849e-05	0.000380725245643	0.000522452165086	0.000189593774723
k__Bacteria;p__OP11	17.4909441395	2.88679462513e-05	6.7358541253e-05	0.00121245374255	1.33054592832e-07	0.000536739941182
k__Bacteria;p__OP3	16.554480662	4.72721579031e-05	0.000104496349049	0.00198543063193	0.0	0.00015364453335
k__Bacteria;p__Fibrobacteres	11.3973846501	0.000735475767769	0.00154449911232	0.0308899822463	0.00110879568106	0.000169049667922
k__Bacteria;p__WPS-2	10.6682725989	0.00108988851402	0.00217977702804	0.0457753175887	8.21067448596e-06	1.45204287847e-05
k__Bacteria;p__Nitrospirae	7.10636814154	0.00768105762992	0.0146638372935	0.322604420457	0.0	7.49576222827e-05
k__Bacteria;p__[Thermi]	6.82214095962	0.00900345701728	0.0161555986323	0.378145194726	3.70461943457e-06	0.000133953029113
k__Bacteria;Other	6.77743022837	0.00923177064703	0.0161555986323	0.387734367175	3.94638977064e-05	8.67012836537e-05
k__Bacteria;p__Chlorobi	3.37769667342	0.0660843491057	0.111021706498	1.0	1.97147386892e-07	9.56910167865e-05
k__Bacteria;p__SR1	3.24497690904	0.0716427000349	0.11295316438	1.0	0.0	2.88717639599e-05
k__Bacteria;p__Synergistetes	3.22294801415	0.0726127485299	0.11295316438	1.0	5.06190572483e-05	4.07588815019e-05
k__Bacteria;p__AD3	2.52325581395	0.112178757284	0.151984122772	1.0	1.42068823252e-07	0.0
k__Bacteria;p__Chlamydiae	2.52325581395	0.112178757284	0.151984122772	1.0	1.33054592832e-07	0.0
k__Bacteria;p__GAL15	2.52325581395	0.112178757284	0.151984122772	1.0	2.84137646505e-07	0.0
k__Bacteria;p__OP9	2.52325581395	0.112178757284	0.151984122772	1.0	6.19329266404e-07	0.0
k__Bacteria;p__Gemmatimonadetes	2.09450594399	0.147829492078	0.194026208352	1.0	7.57868635168e-07	0.000130611698267
k__Bacteria;p__FCPU426	2.00798712604	0.156472804665	0.199147205938	1.0	0.0	3.26735674284e-05
k__Bacteria;p__Armatimonadetes	1.29852506907	0.254482812537	0.314361121369	1.0	5.27342558613e-06	4.95717917532e-05
k__Bacteria;p__NC10	1.19683124889	0.273955930567	0.319615252329	1.0	0.0	5.44106493859e-05
k__Bacteria;p__Thermotogae	1.19683124889	0.273955930567	0.319615252329	1.0	0.0	2.62831422877e-06
k__Bacteria;p__TM6	0.795251319918	0.372516950077	0.422857078466	1.0	0.0	9.07442910651e-06
k__Bacteria;p__Planctomycetes	0.38973841739	0.532436932696	0.588482925612	1.0	4.61509130196e-05	0.000103371483328
k__Bacteria;p__FBP	0.31384979958	0.575327346952	0.619583296718	1.0	5.6389334109e-07	9.63175024396e-06
k__Bacteria;p__Chloroflexi	0.265842353213	0.606134492352	0.63644121697	1.0	2.02066555288e-05	0.000208625817654
k__Bacteria;p__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Kazan-3B-28	nan	nan	1.0	nan	0.0	0.0
