OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	146.910077448	9.34923568472e-31	7.96296970388e-30	2.30926121413e-28	0.00446269320471	0.000806124362216	2.420028246e-05	0.0708216433708	0.00152890305138
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	144.139173851	3.66701543082e-30	3.01917603804e-29	9.05752811413e-28	9.39350841831e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	142.357969008	8.82613508366e-30	7.03243666344e-29	2.18005536566e-27	0.0103237834422	0.00135464976167	0.00343429595259	0.0	0.00035014648152
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	136.930960031	1.28111722219e-28	9.88862355877e-28	3.16435953881e-26	0.0301846067527	1.0947244106e-05	2.34612100785e-05	0.00028214221252	0.00135429304164
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales	136.566338329	1.5332895294e-28	1.1476439811e-27	3.78722513763e-26	0.0030167165495	0.000297888956426	0.0	0.031062232759	0.000142236960014
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	136.373011727	1.6865458844e-28	1.22522598073e-27	4.16576833447e-26	0.00103651289529	0.0	0.0	0.00113992750998	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	128.367046453	8.7013745729e-27	6.14068434144e-26	2.14923951951e-24	0.013364279194	0.0221949163117	0.00504733555303	0.0348865035432	0.0872517863876
k__Bacteria;p__OD1;c__ZB2;o__	127.895905571	1.09729258027e-26	7.52864631465e-26	2.71031267327e-24	0.0	0.00224654562892	0.000174759561842	0.0	0.00115493626865
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GMD14H09	121.150970533	3.03255616676e-25	2.02443614375e-24	7.49041373189e-23	0.00030327307828	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20	121.077313254	3.14444133443e-25	2.04388686738e-24	7.76677009604e-23	0.0010876199322	0.0	0.0	5.41711809317e-05	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales	112.28017556	2.37470992195e-23	1.50398295057e-22	5.86553350722e-21	2.11999241891e-07	0.0	0.000521228755	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	109.770171391	8.14715661547e-23	5.03086921005e-22	2.01234768402e-20	4.30154180688e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	108.224263837	1.74039134549e-22	1.04847966424e-21	4.29876662336e-20	4.20443109489e-05	0.000980905944655	9.80526156465e-05	0.0	0.00135973172663
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	104.212813275	1.24629841328e-21	7.32942162097e-21	3.07835708081e-19	0.000417079324993	1.58616546004e-05	1.53957476945e-05	0.00104879083855	8.98772959719e-05
