OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	120.019455039	6.26432999137e-28	2.18039098732e-26	6.75921206069e-25	1.64507269206e-05	0.0701099598856
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	115.557105217	5.94230491492e-27	2.0036709385e-25	6.4117470032e-24	0.0524660270233	0.0143710301463
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium	115.090677968	7.51799384395e-27	2.45815616898e-25	8.11191535762e-24	0.00180482496832	0.0356042427412
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__	112.97460191	2.18556607877e-26	6.93595823233e-25	2.35822579899e-23	2.66109185663e-07	0.0550258860941
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	110.691533922	6.91326339692e-26	2.13126034437e-24	7.45941120528e-23	0.0066189970425	2.93728246339e-06
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	107.437520823	3.56983843113e-25	1.06995990755e-23	3.85185566718e-22	0.00134386081556	1.40830918977e-05
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma	105.920492562	7.67537672361e-25	2.2383058067e-23	8.28173148478e-22	0.00237278145508	7.77787946762e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__	105.42541969	9.85376801765e-25	2.79795149764e-23	1.0632215691e-21	0.00361555144976	5.51661932139e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	104.420962246	1.63590643203e-24	4.52600779527e-23	1.76514304016e-21	0.0345241277315	0.0012383460842
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__	104.362859469	1.68458902256e-24	4.54417888835e-23	1.81767155534e-21	0.000413212213634	2.11399819742e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	103.444743689	2.67758812284e-24	7.04662825498e-23	2.88911758454e-21	0.000960291297431	0.00622994916709
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta	102.199399271	5.02051287547e-24	1.28979366491e-22	5.41713339263e-21	0.00524979658488	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	99.3729657172	2.09158301639e-23	5.24841412718e-22	2.25681807469e-20	7.18591527209e-06	0.00190496712975
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter	99.0204458647	2.49908299262e-23	6.12843306601e-22	2.69651054904e-20	0.000525118613397	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	97.356099985	5.79159555441e-23	1.38869591183e-21	6.24913160321e-20	0.000857808287941	4.71062945594e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium	97.2562781635	6.09105695889e-23	1.4287500997e-21	6.57225045864e-20	4.83613504732e-05	0.0227407942799
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	97.0458617127	6.77399866301e-23	1.55513713987e-21	7.30914455739e-20	0.021791277955	0.0832568242703
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	96.7338641057	7.9301248997e-23	1.78262599308e-21	8.55660476678e-20	0.00558061689203	0.000156905853727
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231	96.31471202	9.79991034569e-23	2.15798025776e-21	1.0574103263e-19	0.00190685948399	6.03240905837e-06
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__HA64;f__;g__	95.8623990304	1.23152304386e-22	2.65762672865e-21	1.32881336433e-19	0.000417769507208	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	94.8041361076	2.10186014115e-22	4.44687665156e-21	2.2679070923e-19	0.00962853547099	5.18968723609e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	89.9252684489	2.47327940463e-21	5.13205476461e-20	2.6686684776e-18	0.00359434569536	0.000982332633391
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;Other	89.6084785259	2.90277493925e-21	5.90961162161e-20	3.13209415945e-18	0.000750834314349	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__YRC22	87.3935434161	8.89403579001e-21	1.77716011434e-19	9.59666461742e-18	0.00106322128402	5.92183197381e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	85.7706868845	2.02059329238e-20	3.96403665905e-19	2.18022016248e-17	0.000131387568509	0.0031026645535
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	83.0094112798	8.16636569013e-20	1.57348367494e-18	8.81150857965e-17	0.000260354004054	0.00344847079748
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae;g__	81.9347086641	1.40657353759e-19	2.66261902993e-18	1.51769284706e-16	7.39942344183e-07	0.00233023487324
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium	79.5195025548	4.77488679533e-19	8.88293595201e-18	5.15210285217e-16	6.42795481061e-05	0.00540055669357
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__	78.443979158	8.22993679362e-19	1.50510200005e-17	8.88010180032e-16	0.000390304013886	0.00364157561468
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__	77.667758426	1.21915247749e-18	2.19244253869e-17	1.31546552321e-15	0.000733541113144	0.000234457665115
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	77.2884079545	1.47730549561e-18	2.61313545862e-17	1.59401262976e-15	0.000356624371625	3.53660807421e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	76.2176442874	2.54061505964e-18	4.42148975701e-17	2.74132364935e-15	0.0487839216506	0.000235548869424
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__	76.0037313502	2.8312922548e-18	4.84914975069e-17	3.05496434293e-15	0.000522281261958	1.53529970873e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	75.6861488993	3.32532099005e-18	5.60628335667e-17	3.58802134827e-15	0.000974757980379	1.40482403734e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas	74.3455334002	6.55734622436e-18	1.08045875264e-16	7.07537657608e-15	1.97147386892e-07	0.00228931351641
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Anaerovorax	74.330066799	6.60892286137e-18	1.08045875264e-16	7.13102776741e-15	0.000413033519849	0.0
k__Bacteria;p__OD1;c__ZB2;o__;f__;g__	73.1028409962	1.23067247578e-17	1.98193373339e-16	1.32789560137e-14	0.0	0.00118225722629
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Renibacterium	72.2307450724	1.91449639607e-17	3.03785531082e-16	2.06574161136e-14	0.0	0.000252272775188
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	71.3344171456	3.01529919216e-17	4.71522873673e-16	3.25350782834e-14	0.00364557645242	0.0
