OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12	276.144795241	1.51063851186e-58	7.05468185038e-56	7.05468185038e-56	0.00243418032394	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae	263.74434767	7.113390115e-56	1.66097659185e-53	3.32195318371e-53	0.00188070222217	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae	240.844369937	6.10390285478e-51	6.57099095572e-49	2.85052263318e-48	0.00229695169631	0.000167434966833	0.0592426275563	0.0	1.49548462055e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	240.829317421	6.1496345091e-51	6.57099095572e-49	2.87187931575e-48	0.000811351493102	0.0	1.51258012893e-06	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	240.557979686	7.03532222239e-51	6.57099095572e-49	3.28549547786e-48	0.00408156515781	0.0	7.43829346465e-06	0.0103678175291	0.000205007635575
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	236.59539649	5.01873765824e-50	3.90625081066e-48	2.3437504864e-47	0.0163563968475	0.195675774415	0.128897740231	0.0	0.016270470465
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	234.508485029	1.41236265865e-49	9.42247659417e-48	6.59573361592e-47	0.00305442198589	0.0	0.0	0.00730445750535	0.000101044442822
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	231.354638575	6.744736608e-49	3.7545380743e-47	3.14979199594e-46	9.8368339975e-05	0.000532773010136	0.000564663012754	0.0	0.626643229541
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	231.212886644	7.23572648153e-49	3.7545380743e-47	3.37908426687e-46	0.000162261670847	0.265043707025	0.00474950857843	0.0	0.00156784548044
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	223.588698205	3.16678383433e-47	1.47888805063e-45	1.47888805063e-44	6.30794738116e-06	0.000524112903472	0.0	0.0384187448176	0.000111886563242
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	221.391788176	9.40635222553e-47	3.9934240812e-45	4.39276648932e-44	0.0790291587664	0.00349122788737	4.23295585595e-05	0.181176550043	0.00343206668376
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae	216.741194856	9.42210893208e-46	3.66677072607e-44	4.40012487128e-43	0.0172112566913	0.0	0.0	6.67923160455e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	216.220921704	1.21924169515e-45	4.37989132026e-44	5.69385871634e-43	0.0254875469331	0.00838754391195	0.114505528359	0.0	0.00473294829419
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	213.957142958	3.74226297121e-45	1.24831200539e-43	1.74763680755e-42	9.42783420863e-06	0.0370759407306	0.0113115196101	2.31004410015e-05	0.0071472672175
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	213.432718266	4.85239074098e-45	1.51071098403e-43	2.26606647604e-42	0.00168339953456	0.000870387220337	0.000341235160123	0.0348415208571	0.080784709321
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	211.430476647	1.30822300389e-44	3.8183758926e-43	6.10940142817e-42	0.00013857095555	0.0427606197912	0.0140105587555	0.0	0.0177359935397
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	209.048341263	4.25678207126e-44	1.16936307487e-42	1.98791722728e-41	2.07042982688e-06	0.0	0.0	0.00869679194198	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	208.700953626	5.05592056052e-44	1.31173050098e-42	2.36111490176e-41	0.00236248669617	0.0	0.0	0.00358675170031	4.09712990798e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	207.50205734	9.15501485426e-44	2.19561325718e-42	4.27539193694e-41	0.00394780966682	0.00294920526635	1.88526600041e-05	0.349542751619	0.0013340995169
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	207.448076353	9.40305463461e-44	2.19561325718e-42	4.39122651436e-41	0.0171163491105	0.17833730526	0.0361483524369	0.000645394323835	0.00336631346977
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Procabacteriales;f__Procabacteriaceae	204.611549798	3.83081424972e-43	8.51900121247e-42	1.78899025462e-40	4.64801986605e-06	0.00296589254409	0.0	0.0	0.00350405699124
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	203.979543687	5.23840381378e-43	1.11197026411e-41	2.44633458103e-40	1.06295592979e-05	9.79130612988e-05	0.0	0.01071753427	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16	203.033032557	8.37010676845e-43	1.69949559168e-41	3.90883986087e-40	0.00621596192713	0.0	0.0	0.000321506526662	4.50346803745e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	202.649217108	1.01218923893e-42	1.96955156074e-41	4.72692374578e-40	0.00250199547772	0.015894625363	0.127167979988	0.000104145210027	0.0108461636912
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	202.337398062	1.18116381219e-42	2.20641400117e-41	5.51603500292e-40	0.149162519009	0.00348252507115	0.000318771189128	0.072350677334	0.0141175901674
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	199.696788273	4.36578542479e-42	7.84162228222e-41	2.03882179338e-39	0.0109865177332	0.0140117524041	0.00632450019561	0.0	0.00163857562022
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	197.553818233	1.26114051373e-41	2.18130599968e-40	5.88952619913e-39	0.000379824478557	0.00478320903701	0.0705906416989	0.0	0.000575693636687
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16	196.686772912	1.93708594842e-41	3.2307826354e-40	9.04619137912e-39	2.62388746566e-05	0.00136340484256	0.0	0.0117148059335	0.000134815217971
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	194.213861202	6.5871199784e-41	1.06075345859e-39	3.07618502991e-38	0.000499007746088	0.00779280473383	0.0234764499017	3.95238102983e-06	0.00461552273779
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	193.424094044	9.73732703552e-41	1.51577724186e-39	4.54733172559e-38	0.000548308566394	0.0574944788809	0.000151516690349	0.0	0.000864102449479
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	188.661726127	1.02768548665e-39	1.54815845892e-38	4.79929122267e-37	0.0108268942182	0.0333053036748	0.00446780598367	0.0	0.00112463642837
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	181.937002256	2.86102097452e-38	4.1753024847e-37	1.3360967951e-35	0.127137681873	0.00241788398207	0.000120053552217	0.0682825869698	0.036737723225
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	179.195523499	1.10995136545e-37	1.57074935656e-36	5.18347287666e-35	0.000334333288934	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae	178.775244719	1.36633697567e-37	1.87670402246e-36	6.38079367636e-35	0.0	0.0	0.00091779821665	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	169.565032413	1.29664124104e-35	1.73008988448e-34	6.05531459567e-33	6.35997725672e-07	0.0	0.000976007378503	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae]	169.008190018	1.70735862978e-35	2.21482355586e-34	7.97336480108e-33	0.000318760217027	0.0	0.0	0.0	3.16940279892e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	168.392234478	2.31478515226e-35	2.92163423272e-34	1.08100466611e-32	0.00184248087181	4.43559922146e-05	2.27555178306e-05	0.0	6.52793850312e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	166.735926076	5.24724386818e-35	6.44858654326e-34	2.45046288644e-32	0.0103793877328	0.000118354209355	1.45170670665e-05	0.00391869411696	0.000464492979279
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	164.62829486	1.48641042672e-34	1.77988120328e-33	6.94153669279e-32	0.0722441215488	0.0105977118851	0.210375822948	8.51888268954e-05	0.0504753968099
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	163.801203479	2.23654830677e-34	2.61117014815e-33	1.04446805926e-31	0.019081614895	0.00449022267273	0.000384993895448	0.0	0.00459200395126
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	163.419364842	2.70079835042e-34	3.07627519426e-33	1.26127282965e-31	0.0135787091897	0.000966061407079	0.0213136650609	0.0	0.00398655564201
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	160.889309571	9.42308079492e-34	1.04775684077e-32	4.40057873123e-31	0.0832006606844	0.00207375225588	0.000671319732594	0.0208449636912	0.00118090678775
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	160.064628677	1.41600814546e-33	1.53785070681e-32	6.61275803929e-31	0.000542933623631	0.000169069192745	0.0	0.00658581618981	6.75111164524e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	158.882409208	2.53864380877e-33	2.66830812601e-32	1.18554665869e-30	0.00189879464356	0.00712509220135	0.0034665557463	1.99975267987e-05	0.00286945110882
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	158.856622757	2.57117485376e-33	2.66830812601e-32	1.20073865671e-30	0.00277898721717	0.0100790870521	0.00250827951816	0.000303667611541	0.0166612458411
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	155.276333741	1.50593395016e-32	1.52885033636e-31	7.03271154724e-30	0.00252730030212	0.0	0.0	1.80570603106e-05	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae	152.793683271	5.12857228839e-32	5.09583672059e-31	2.39504325868e-29	0.000192213539486	0.0	0.0	0.00338739018764	1.83456504834e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	149.31774025	2.85052287715e-31	2.77332121589e-30	1.33119418363e-28	3.6393468733e-05	0.00249016027174	0.00121684761857	0.0	9.32526369998e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	148.765552754	3.74319799397e-31	3.56749686364e-30	1.74807346318e-28	1.22123542364e-05	0.0	0.0	0.00457505724618	0.000347465808721
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	146.910077448	9.34923568472e-31	8.73218612953e-30	4.36609306477e-28	0.00446269320471	0.000806124362216	2.420028246e-05	0.0708216433708	0.00152890305138
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	144.139173851	3.66701543082e-30	3.29326193499e-29	1.71249620619e-27	9.39350841831e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;Other	144.139173851	3.66701543082e-30	3.29326193499e-29	1.71249620619e-27	0.000492535230429	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	142.482180831	8.30179185538e-30	7.31497508766e-29	3.87693679646e-27	0.000898236143609	0.00306673694923	0.0149008823953	0.0	0.000856001865977
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	142.431516528	8.51179464169e-30	7.3611261068e-29	3.97500809767e-27	0.00230416918414	0.0	0.0	1.79319054505e-05	0.000160055665343
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	142.357969008	8.82613508366e-30	7.49419106195e-29	4.12180508407e-27	0.0103233433386	0.00135464976167	0.00343429595259	0.0	0.00035014648152
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	139.785893724	3.13676427578e-29	2.61583735141e-28	1.46486891679e-26	0.0189967470132	0.000207924414701	3.60702040782e-05	0.000635674586377	0.000205269931417
