OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	276.144795241	1.51063851186e-58	1.99404283565e-56	1.99404283565e-56	0.00244032597589	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	262.280883961	1.47050142123e-55	9.70530938014e-54	1.94106187603e-53	0.0384005704214	0.291916571436	0.0286598097663	0.00243176282023	0.633452679656
k__Bacteria;p__Tenericutes;c__Mollicutes	251.395517376	3.25781145759e-53	1.43343704134e-51	4.30031112402e-51	0.00666449351058	9.79130612988e-05	7.43829346465e-06	0.0244727419867	0.000223353286058
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	218.358273386	4.22865992893e-46	1.39545777655e-44	5.58183110619e-44	0.111735113673	0.241465647318	0.443978691033	0.000841664135483	0.0676505737393
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	214.564635395	2.76973973229e-45	7.31211289324e-44	3.65605644662e-43	0.0231702874668	0.213908971635	0.23408242557	0.00292417872957	0.0406669738215
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	212.900243623	6.31693505074e-45	1.38972571116e-43	8.33835426697e-43	0.0477715611126	0.0133938258509	0.114890522254	0.0	0.00978380399241
k__Bacteria;p__Actinobacteria;c__Actinobacteria	210.11812906	2.50596956952e-44	4.72554261682e-43	3.30787983177e-42	0.00625663852575	0.0978040071602	0.0669243775602	0.000246613646563	0.0320885664328
k__Bacteria;p__Deferribacteres;c__Deferribacteres	209.048341263	4.25678207126e-44	6.84788293965e-43	5.61895233407e-42	2.07042982688e-06	0.0	0.0	0.00869679194198	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	208.861704214	4.66901109521e-44	6.84788293965e-43	6.16309464568e-42	0.147971777507	0.00748168692342	0.00132059374293	0.402741324794	0.0406699398947
k__Bacteria;p__Firmicutes;c__Clostridia	195.491183228	3.50063352689e-41	4.62083625549e-40	4.62083625549e-39	0.479075197623	0.0139881065601	0.00401061361679	0.349006700841	0.0595270036629
k__Archaea;p__Euryarchaeota;c__Methanobacteria	179.195523499	1.10995136545e-37	1.33194163854e-36	1.4651358024e-35	0.000334333288934	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	171.817571326	4.25943623699e-36	4.68537986069e-35	5.62245583283e-34	0.00072521400692	0.00153464454431	5.30186730499e-05	0.0384187448176	0.00128809280653
