pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
AA3	-0.0347519009738	-0.0767937431411	0.329775085863	-0.0622745626491	0.139320081226	-0.104704501219	-0.144560151613	0.0767537476811	-0.181166935762	0.12010937245	-0.0136699612148	-0.0706516836415	0.0655448734967	-0.00105875221141	0.170354316147	0.00713283213447	-0.0829112626428	0.0361577191053	0.0417655698789	-0.0666484959755	0.0481868051243	-0.0582530407894	-0.0820902704215	0.0106242969555	-0.0265454809417	-0.0357690828431	0.0142583137379	0.0223947725748	0.00577948305409	0.0278011259605	-0.0319759112318	0.0269472482403	0.00760898897449	-0.0691525553924	0.00862415412209	0.0468923812527	-0.0115971903063	0.0116517213354	-0.0497653846104	0.0358938435323	0.00877994337643	0.0156472942501	0.00275571310174	0.00908948106781	0.000987389550622	-0.00662426206075	0.00781403006959	0.00168626834182	-0.0290005117238	0.00236048267316	-0.00749620460445	0.00461136014288	-0.00312962955108	-0.0049075214412	0.0121848762881	-0.00152411992848	0.00333026248995	-0.00599243380778	0.00339183461508	0.0032178997769	0.00140360522921	9.57529888191e-09
AA4	0.0185198819749	-0.0392907524536	0.0366345085508	0.117785046556	0.169031190281	0.042017915651	-0.0617866206896	0.0978912686461	0.0278353697094	-0.0247824605445	0.00386867601981	-0.0550930612286	0.0348475171285	0.0221162179606	-0.0969680386947	-0.0443178649807	-0.0340092957189	-0.0220785558664	-0.0522571806577	-0.160109422235	0.0367521792683	0.0117562569894	-0.0284003007687	-0.0191782358984	0.000981640176637	0.00347379953014	-0.0349171938415	0.0030494756198	0.071019228604	0.00696451990334	0.0399009553886	-0.0450662958737	0.0414755153332	0.023425973838	0.0082115967636	0.0142263249674	0.0342574154766	-0.0292054837577	0.021169976057	-0.061469344981	-0.000774464588391	-0.0176713479139	-0.023954987287	-0.0194129384349	-0.0185668431673	0.00628052524167	0.00152133871226	-0.029442919648	-0.0375758987818	0.0214851610947	-0.00600332122349	0.0181817036475	-0.00230219550179	0.0123606005206	0.00971588891427	0.00597916415114	-0.00203892297845	-0.0114423995002	0.00128864250775	-0.000905036648836	-9.32011686189e-05	9.57529888202e-09
AB3	-2.05337789762	0.0182228859197	-0.463511626665	-0.308271376447	-0.155518905537	0.0795904788129	-0.121594134577	0.0197803199182	-0.0534040608643	0.106178233002	-0.00302282595238	-0.100196228645	-0.0076380928532	0.0339278856282	-0.0975246798108	0.0488029611484	0.0563275443661	0.0424573820453	0.00708119685743	0.00351880929326	-0.00374939651815	-0.00105275703607	0.0107075188592	0.0205386463533	0.0300107808919	0.0419707508915	-0.01410156198	-0.00945544278893	0.00113533045596	0.00793857445982	0.00754204187716	-0.0387163830127	-0.0206413814617	-0.0117218830861	2.30510012421e-05	0.0100826854797	-0.0186351460692	0.00263803567814	-0.0124672851648	-0.00812173360525	-0.00967214542731	-0.0277174944484	0.0278080619	0.0203757403237	-0.0128655987282	-0.019812443264	0.0223382260445	-0.0232417478262	-0.00217876071653	-0.0324423081452	-0.0162758150944	0.00204228736729	-0.00925500532734	0.000600737333574	0.00941169296169	-0.0198984668404	-0.00473344339667	-9.05987643813e-05	0.0028347943236	-0.00340436435738	0.00057229413667	9.57529888199e-09
AB4	-0.713157814804	0.0284895668497	-0.141120388509	-0.0165161952708	0.0909544677841	0.10388612	-0.0363735857416	0.0224373199038	0.0688616910754	-0.137323476263	-0.158050368847	0.0225262692256	-0.0556292540508	-0.17677592026	0.110611093334	-0.087940365626	0.0645537984675	-0.0545170590945	0.0484671140272	-0.00692129036311	0.07656083411	0.0623863918128	0.031886363312	-0.0681301292016	-0.00578139146419	-0.145954372963	0.0728333032398	0.0114053005955	-0.0211014512569	-0.0267851110927	0.0386916650679	-0.0297541299712	0.0188545319831	-0.0104086893191	0.00912231109	-0.00915965856044	-0.0170359230494	-0.0134561693325	-0.00431112095146	0.000754404289395	0.0132175096809	-0.0119592799467	0.0209144893994	-0.0105155036453	0.00583692920536	0.00111848964623	0.00550969152348	-0.00115894538732	0.00643865557002	-0.0021147886064	-0.0105201695012	0.00241153741572	0.00142171918946	-0.00405420359252	0.00935396991746	-0.0056856164185	-0.000410355488396	-0.00040411791548	-0.00401248567037	0.00164680240432	0.000450842160283	9.57529888198e-09
AC3	-0.138918152796	-0.379299322546	-0.0477494756067	0.211547876378	0.12055431685	0.258802221953	0.251620925462	0.102428794318	-0.0296233166456	-0.0365991753147	-0.0186879832857	-0.0857684160949	-0.141354622111	0.0927459980696	0.0309444657372	-0.000758879868677	-0.0178966222874	0.112476086156	0.0512499177939	0.0277584758797	-0.000422975360008	0.0450618432937	0.00704393871884	0.00867859850517	-0.00154590936094	0.0438888956084	-0.0238928889629	0.0107689262881	0.0153163138576	0.041326944081	0.0251129033438	-0.00900591377235	0.05225934408	-0.080229690424	-0.0376418694465	-0.0417701767989	-0.0423698861693	0.0123917593048	0.000357128782039	-0.0246467877278	0.00610107762085	0.0268190237859	0.00301884215218	0.0128218399636	0.030455477645	0.000503767322171	-0.00618394299353	0.00516551005776	0.01692462759	0.00645169983053	-0.00667349887554	0.0126614341644	0.00710557318099	-0.00493112771358	0.0017739706536	0.00372889528418	-0.00571108262875	-0.00305675889016	0.00493634587917	0.000583878814468	-0.000939609387439	9.57529888207e-09
AC4	0.266188717898	0.202615442544	-0.123636223021	0.0710429773056	-0.0343652993431	0.175545689481	0.0679894142253	0.112184813891	0.00362435503083	-0.0643227913821	0.000504402983755	0.0392127543406	-0.0494893345843	0.0134162603871	0.137219399506	0.0913688822775	-0.000359402728441	-0.00844030960966	0.0863241222131	0.0348965203061	0.0195738232989	-0.0654505298119	-0.0183405438783	-0.0064263810309	0.0141075374647	0.0289800823962	0.0242594757026	-0.0413387620693	-0.00967098069481	-0.0696735431369	-0.00349891818518	-0.0324834229155	-0.0553027793812	0.0165999682392	0.0475839939465	0.0673381939116	0.0196875476362	0.0144494714423	0.029614027599	-0.0236648466291	-0.0471483158409	0.0186938343782	-0.0325358404689	0.0489453324471	0.000582292552662	-0.00302136067666	-0.0132555938599	0.0130628239963	0.00226333610934	0.00150260305979	-0.0203891987637	0.0167329327472	-0.00990505867159	0.00672082207204	0.00667364890911	0.00714563175807	-0.00190139011131	-0.00186073141576	-0.00249815551154	-0.00240353329549	-0.000135043107003	9.57529888203e-09
AD3	-0.524949753097	-0.213288221214	0.176012939564	0.408573300324	0.043315002979	-0.279280635211	0.031881975904	-0.259732570871	-0.121804600645	-0.0846854298902	-0.046982289864	0.124309984307	-0.115040009258	0.0665726607224	-0.00145383614936	0.0284865776039	0.125509530779	0.0846493256666	0.0229659779131	-0.00949170191618	0.0872195031249	0.0530857847919	-0.0690204112844	-0.011079262814	0.00443454162151	0.0465695149978	0.00139857149775	0.0346574168914	0.0129459401821	0.00325974630985	-0.0137342816815	-0.00212452390422	-0.00719299017293	0.033048463798	0.00830544562495	0.0336166422731	0.00962513320888	-0.0354017384296	-0.0236350538967	-0.00169571219386	-0.0232194713853	-0.0137336490308	0.0249721256748	-0.0131889883837	0.0207518217286	-0.0199489358814	0.00875482673995	-0.00129101829208	0.00877729319712	0.000363681385744	0.00506918664349	0.00397543176677	-0.00855066952738	0.00561705426073	0.00151537262314	0.00428507461294	-0.00688081161603	0.00259088757355	-0.00117215432954	0.000380470765067	-0.000677713628851	9.57529888205e-09
AD4	0.156306816559	0.30215343209	-0.140701460223	0.0958738550619	0.0552228091534	0.0627242631097	-0.0177174747452	-0.0610000255426	-0.0311500085136	-0.00938171185803	0.0364998843307	0.0722248177278	-0.00878871580027	0.0749861306847	-0.0716725174188	0.0336387296459	0.0583512760882	-0.0430382324976	0.133512281265	-0.0698222334515	0.00528588526337	-0.0146948892519	0.0273738136698	0.00476767730682	-0.00664009072249	-0.0189440285235	-0.0456428608136	-0.0523444990302	-0.0189004659435	-0.0319622352725	-0.0537835864536	-0.0158968258873	0.000488135812417	-0.0476864202864	0.00867902519866	0.0205546193375	0.0339287675894	0.0402155259689	0.016518258178	0.016303961537	0.0634852626806	-0.033378320366	-0.0258232347272	-0.0314616000949	0.0305659153597	-0.00247660608578	-0.00681028588061	-0.0250006622297	0.00330368665363	-0.00640569129805	0.014362167608	0.00289380616573	0.00415724090973	-0.0312636020068	0.00961651373649	0.00349809943466	0.00184043018881	0.00353814798068	-0.0035238086114	-0.0023896051517	-0.00130820671164	9.5752988821e-09
AE3	0.190880440629	0.468266537908	-0.231985340534	0.0200522937642	0.055942866189	0.17030562434	0.0143069963439	0.0338543390534	-0.0042810941366	0.114670895361	0.0220834897945	0.17523701097	-0.00606938312778	0.074770954879	0.0288280842725	0.0642743210869	-0.0105747993765	0.0104134344872	0.0398282564069	-0.109149805232	0.0109510722725	-0.0646232211347	0.0245814804254	-0.0313126656929	0.0188481892338	0.00770037391759	0.0394487762335	0.0250850184125	-0.0104589860316	-0.0364982309992	0.011347968464	0.0262173658416	0.035087049865	0.0611091299471	-0.0824441724969	0.0122773651391	-0.0200774822507	-0.0220504291331	-0.012884351541	-0.0176547120869	-0.00124456523354	0.020466596518	0.0106282283947	-0.0138158020057	-0.00186938196027	-0.0255546226922	0.0278537770863	0.0171397209802	-0.012511805691	-0.00249214440153	-0.0113958742871	-0.0150726397148	0.0288121435774	-0.00753277035198	-0.0100696792921	-0.00484156824735	0.00498036033589	0.00350278109328	0.00316160466172	0.0019066657285	-0.000114574079933	9.57529888202e-09
AE4	-0.175762181042	-0.0587178106257	0.127074987151	0.313344876148	0.0907893670906	-0.0994683191029	-0.00567502328689	-0.186779828152	-0.07517169739	-0.0118730796598	-0.162540117718	-0.00968674023436	0.024745405323	0.0747221049608	-0.0445415560019	0.0109641003868	0.0622765296864	-0.00247452269175	0.0471417893524	0.0136863161123	-0.010318316035	-0.0981340199811	0.0310236083811	0.0319472965729	0.0584267525988	-0.000902674788642	0.053823778007	-0.0547725907605	-0.00439852576918	-0.0097816428805	0.0397141671942	0.0127448518931	0.0168738187663	-0.00831948495878	0.00347711257996	-0.0689761560578	-0.0359558976802	0.00289189015159	0.00914704050399	0.0041835196007	-0.00632629747804	-0.00969886761199	-0.0566416785739	0.0135594488215	-0.0371261165523	0.0177015640806	-0.0227379787461	-0.000677706216477	-0.0191182572888	-0.0063250386487	-0.00513368508713	-0.00812405748706	-0.00679659919474	-0.00131586509071	-0.00416244910545	-0.0101691360844	0.0121007607255	-0.00135463947892	0.00517403251343	0.000701642866662	0.00215308650597	9.57529888187e-09
