pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
AA3	-0.0496205810854	0.0626407680887	-0.287120933016	0.0674579944929	-0.187530675997	0.0825642482923	-0.144649900711	0.0300326817984	-0.120059799377	0.0761049579691	-0.0471093247443	0.186747321267	-0.0758939338913	-0.0387039801506	0.0158230257114	-0.0843316283833	0.0985135563495	0.0358598657364	-0.130297851437	-0.0239453426593	-0.0550107072989	0.00846019590758	0.0233865640587	-0.0479151395174	-0.00201707275236	-0.0286688364885	0.00108276087858	0.0423590990071	0.00499621738227	0.0354124546969	0.0358461255555	0.0290976626468	-0.00599170952463	-6.9653942701e-05	-0.013883379809	-0.000189808893766	-0.0719589193967	-0.00760410257495	0.0168113291834	-0.00919925164064	0.0131585574047	-0.0107934477236	0.0390201003428	0.0240813718212	-0.0215616021273	-0.00575497991072	-0.0166750381214	-0.0116541980692	0.026772519507	-0.00412625965884	0.00351310868705	-0.00366501189827	0.0067294549532	-0.0229471164612	-0.0117107477037	0.00176839052975	0.00301765714072	-0.00658882427082	0.00287885611232	0.000756215113189	0.00370761686839	8.6286839263e-09
AA4	0.0306956526646	0.00463864783986	-0.035141703279	-0.119963809882	-0.18565165233	-0.0728484209088	-0.114712983676	0.0469465823499	0.0416156853529	-0.00454213793667	0.00540398855592	-0.0398184947342	-0.0154642041354	0.0750520136353	0.00569378532767	0.0239292014417	0.00576083092581	-0.0102907528162	-0.0768110362404	-0.127996766485	0.0189245209054	0.0562442940233	0.00116631421143	0.00109647266284	0.0161281394482	-0.0174640912347	0.00254542218443	-0.0130309131196	-0.0283456171616	0.0263800675949	-0.0312450050008	-0.0329586600952	-0.00445244815381	-0.0332675802144	0.0068772354835	-0.0443031731731	0.00711135763813	-0.058727409673	-0.00821457635817	0.0224861967987	0.0037351012308	-0.0202600432242	-0.0139596441541	0.0252423701208	-0.0264878444349	0.0528426733599	0.00680608816992	0.0384802761148	-0.0098189517557	0.00278271476406	-0.0360443819978	0.00154075423152	-0.00763001362883	0.00589443826864	-0.0103779142221	-0.00363681771216	-3.32283559335e-05	0.0150312145463	0.00259645026238	-0.00400459637385	0.00516431546634	8.6286839263e-09
AB3	-2.0560276973	-0.0232839697375	0.483852976487	0.280461753179	0.171628430316	-0.0805822645015	-0.109061093228	-0.00513568660505	-0.130344513637	0.0348153008387	-0.00751416054052	-0.0599105245588	-0.0767009531895	0.056051084538	-0.0506165710322	-0.0552238007237	-0.02435532945	0.0342993493977	0.0420040163875	-0.0554250706005	0.0230005080316	-0.0155715021305	0.0389901563598	-0.0110864540577	-0.00608851325841	0.0191722227384	-0.0185107968656	-0.00137403639548	-0.0191659546079	-0.0200017559659	-0.00114548041511	-0.029852372001	-0.0358954961378	0.0107948127305	0.0312894813058	0.00264168355346	0.00772261706805	0.00855438899581	-0.0111967811314	-0.00772074194405	0.0124108114011	0.0156392077918	0.0128789090775	-0.000814604637852	-0.0234859987403	-0.00736451591962	0.0521566101012	0.0122976522987	0.0242335960141	-0.0103136497822	0.015257453503	-0.0230918295561	-0.0163826844711	-0.0154260945454	-0.00456367916025	-0.00242183829783	-0.00447806521483	0.00197539712153	0.000706201886023	-0.000637982029944	-0.000909574920054	8.62868392629e-09
AB4	-0.757031237501	-0.0356506204477	0.120179828657	0.0360386823685	-0.0678667263738	-0.0894129516748	-0.0433645176578	-0.00495793999938	0.164452013182	0.0261897915681	-0.233030628677	0.0590814974144	0.029284050314	-0.0773078304797	0.013159460484	0.120991320171	-0.0471339294875	-0.0784629558729	-0.0455309510241	0.0572354236247	-0.0300917222779	0.0243963662608	-0.0918901817545	0.00665776277949	0.0777593510807	0.0250601354009	-0.0114721639659	0.00802640615986	0.130447952487	0.0625459199517	0.005600073252	-0.00197639065568	0.00753143892004	0.0112655899456	0.0116169141183	-0.0111880281601	-0.000285007508949	-0.0171276305852	0.00176380498356	-0.0289726274705	-0.01626328164	0.00286495745699	-0.0105660318471	-0.0134629291588	0.00198014940169	-0.000644910215837	0.0170553444273	0.0107627340106	-0.00183827302694	-0.00103865550608	0.00950504123144	-0.00985448863005	-0.00714849350479	-0.00739258109588	-0.00179469195807	0.00938589046186	0.00417490411033	0.000655096793756	0.0042580387158	-0.00119587708053	-0.000333548776417	8.6286839263e-09
AC3	-0.0908157504445	0.363626527343	0.072824565295	-0.261926962772	-0.0184730091909	-0.229605945768	0.143320315136	0.167355577882	0.0724356089861	0.0815091248066	-0.0204702258631	-0.111041987361	-0.0358026234002	-0.039051977578	0.0492083623227	-0.111824545891	0.0330577311183	0.12593167692	-0.0299218945874	0.0766249251387	0.0387237325457	-0.0119464576229	0.0336050642828	0.027747981692	0.031334209688	-0.013258058192	-0.0116049590258	0.00977578702577	0.00214469017459	-0.0242396843874	-0.00660295082991	-0.0114958103626	-0.0903597530175	0.00810478236241	0.0112579471436	0.0449104364692	0.011259392042	-0.033076409314	-0.0155595061548	-0.0341994870455	0.000877566701709	-0.0123111813654	-0.0215025125604	-0.0158590403907	-0.00126212880088	0.0231016982837	-0.019788577085	-0.0210514363848	0.00637571393042	-0.00394870857686	-0.000516248936128	-0.00216093509635	0.0178819303309	-0.00485513668613	0.009082411208	0.00448096516561	0.00561502910777	-0.00160386745532	0.00850264891115	-0.00143166372651	0.00475551304981	8.62868392632e-09
AC4	0.231181140373	-0.231465330698	0.0590731862399	-0.0954958981221	0.0258845362095	-0.152556683124	-0.033219528296	0.0670441629209	0.0842519685614	0.014526378776	-0.0126882367204	0.0522932999868	0.013708913362	-0.140455662737	-0.0440610175787	-0.092392206619	-0.0432073269713	-0.00665917680958	0.0337992038018	0.0600643848575	0.00168181213455	0.0443652472673	0.00958496910119	-0.0978457078997	-0.030823880706	0.0303679653285	0.0240484643603	0.0240802547346	0.00670629508182	-0.0824571502942	-0.0324629502461	-0.0449488163748	0.0184864172484	0.0202044571715	0.0201126305927	-0.0131222640979	-0.0434237041673	0.0357228010155	0.00833250062297	-0.0345210560013	-0.0436482182657	0.0132359224161	0.00924705558228	0.0227404697716	0.0169760413092	0.0198876379332	-0.0181143498785	0.0257492934358	0.0262069648246	0.00281345167258	-0.0108188530559	0.0134870873621	-0.0174929175098	0.00424258059807	0.00511356869701	-0.0026563489099	-0.0111977240479	0.00539152427874	-0.00819455958324	-0.00338318255201	0.00102142368948	8.62868392628e-09
AD3	-0.522587545233	0.183840318294	-0.169190049772	-0.386589579627	-0.0951380544116	0.239104008383	0.17906534754	-0.239203485962	-0.000660852457132	0.136354819527	-0.0864299885131	-0.0206544166015	0.0901224162863	-0.000419069497541	0.0266417762181	-0.0429449116062	-0.127311192154	0.0794303803602	0.00477184414535	-0.0126002095597	0.0370490069968	0.128663471868	-0.052737802664	0.0320271997705	-0.0484994649384	-0.0193992278864	0.0129334415355	-0.0161497081796	-0.0145846458808	-0.0204469054276	-0.0226774689495	0.00727218983232	0.011512337421	0.0190168610265	-0.00951973053764	-0.0277011371697	0.0381610591517	0.00662286918556	0.0279342649512	-0.00638400411411	0.00858746842018	0.0171730898365	0.00507049636445	0.0161833411062	-0.0302828208139	0.00755291646557	-0.00274446745114	-0.0182105969739	0.00899610781552	0.00182022177774	0.0042982013883	-0.00433209818379	-0.00012837801958	-0.022329679509	-0.00140479647069	0.00405343547534	-0.0023136210097	0.00046290502348	-0.00232916545405	0.000435198981589	-0.00252781879367	8.62868392628e-09
AD4	0.176218143593	-0.274717881761	0.155582514563	-0.129020314215	-0.0541915358213	-0.0231849620357	0.0055579765303	-0.0406268816577	-0.0470050829366	0.0958715099079	0.0333831331006	-0.0272926517321	0.0676678697768	-0.00223453486222	-0.0959568443082	-0.0919246920212	-0.0983212187108	-0.0386818807054	-0.0952596337298	-0.0378306933	-0.00397739083127	0.00226294883919	-0.0195983686965	-0.0276753144891	0.0773539579057	0.0325624483229	-0.00718107443443	0.0479865491981	-0.010193355852	-0.0200739885275	0.00299440489132	0.00515316975666	-0.000742692785679	0.0229552726631	-0.000884290790707	-0.0209191608973	-0.0470114128728	-0.0135056027547	-0.0240667535741	-0.00619103785039	0.0679878326087	0.0391479515929	-0.00100242210513	-0.0167772394349	0.0068511049596	-0.00692095448843	-0.00379680837491	-0.0228739956826	-0.0405033501215	0.00621421046108	-0.00305256204668	-0.0179408784197	-0.00593542177098	0.0318818043903	0.00193901029963	-0.00216975989981	-0.010465367333	-0.00671633694463	-0.00233048963614	0.00497625335405	0.00287740353775	8.6286839263e-09
AE3	0.2028255958	-0.482175238066	0.235741369888	-0.0364664572315	-0.040336808222	-0.161806548005	-0.0252262127434	0.0591495923067	-0.0761099323819	-0.0590393549388	0.0046283000891	0.0210112182185	0.146555681139	-0.0131446509717	-0.0332511796025	-0.0932493947095	0.0186824141006	-0.0169627910037	-0.0794883368489	-0.0538279265074	-0.0722841567886	-0.0123244036052	-0.0217802899547	0.0913275057548	-0.0617653622113	-0.00411543111594	-0.000565838133269	-0.0164650138577	0.0185012636008	-0.0198532980906	0.0136141090224	0.0631493858841	0.0625515141861	-0.00422088356282	0.0115940578203	0.0641773116241	0.0330522213431	0.0114354565148	0.0285195378886	-0.00724376561782	-0.0180891910515	-0.008106088984	-0.0181751497108	0.0052247726541	0.00906497964718	0.0361223238808	0.0156694129272	0.0110897029624	0.00583862581438	0.0274514094244	0.000684182397943	-0.0271687961631	0.0127688067742	-0.00407210315158	0.00223175085967	-0.00371705938507	0.00141102981867	-0.0074606388354	-0.00312201222852	0.0019417874357	0.00160721196749	8.6286839263e-09
AE4	-0.206899638984	0.0444902560252	-0.164311856889	-0.329804710904	-0.0968245123304	0.134061652762	0.114727340387	-0.129363705395	-0.0483916573868	0.141666643352	-0.0882308082093	-0.0164098695433	0.0246131246631	0.0776083117061	-0.0173011233498	-0.0695539505215	-0.0127214551725	-0.029228389319	0.00363544210437	-0.0155748302231	-0.0616109166672	-0.0336760989869	0.0692168263091	0.0219813914337	-0.0369273779555	0.072320042826	-0.0360911313852	0.0129021694417	-0.00199348568261	0.0224817161035	0.0330279411775	-0.0388404490438	0.00949597448112	0.00220062643279	-0.0324215165688	0.0490155442661	-0.0233348998815	0.00164638259701	-0.0351389479023	0.00928864885636	-0.0409701459075	-0.0235309485084	0.0184157534008	-0.0522307250893	0.03113543275	0.00174192798918	0.022518780762	0.0300561024176	-0.00240642330439	-0.0130428471938	0.000235441370043	0.0166936036121	-0.00408383281453	0.0112211594614	-0.0148112154241	-0.00123793265861	0.00630687546696	0.00231289086631	-0.000310836390316	-0.00230219051302	0.00163817822931	8.62868392629e-09
