pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
AA3	0.00424182241401	-0.0894921880265	0.156606630814	-0.0226084113106	0.0215745523734	-0.0692951651118	0.0977150674295	-0.067598960184	0.0369051470609	-0.00772391031201	0.113316902467	-0.0698426109382	-0.0866322585167	0.00944403928075	-0.01817076546	0.0373219049548	-0.0173080111301	-0.136911652362	0.054379237371	0.208193749741	-0.040772490375	-0.0103081487274	-0.0717887893664	0.126124676862	0.0380021443377	-0.0907275141067	-0.0314636441475	-0.0146594213964	0.033643550478	-0.0773725447292	-0.032989627324	0.0159285679115	0.027711193323	0.0327466929471	0.0266914650559	-0.0209694599998	-0.0258331664325	-0.0114103398286	-0.0425270975059	0.0459597312076	0.054529569946	0.0107200965909	0.0484707182019	-0.0444664057279	-0.0031894130173	-0.0278473033506	-0.0276966544784	-0.0166304769545	-0.0229228353936	0.0195751771256	0.00477124303108	0.0343006712366	0.00679927456739	-0.0684626521842	-0.000338260281505	-0.0296129076944	-0.0502059375494	0.0226122300093	0.0212612792405	-0.00442261614555	-0.00630006378786	6.61472365772e-09
AA4	0.0590979678948	-0.114514722139	0.116651876537	0.00403693976526	0.0599180657339	-0.048777768765	0.139336556856	-0.115834615445	0.0717011641083	-0.0625378093574	0.233676916097	-0.0639771401611	-0.081070400703	0.0346996326955	-0.0437907907288	-0.0439148743325	0.0542679560147	-0.0115261316227	0.00124783452138	-0.00284466930998	-0.00939167200298	0.0095535830823	-0.0123508315464	0.0185865174516	0.00714106763323	0.031441603142	-0.0202764645616	0.00564196553294	0.00550135554491	0.0253165208537	0.01432387789	0.0326893938922	0.00721714465433	-0.0061940507081	-0.0320813213062	0.0239395572377	0.0213275928201	-0.00304026083122	0.00447041716053	-0.0292036909546	-0.0177915792974	0.031537848416	-0.0625011264876	0.0181194377404	0.0136971443091	0.0114511102159	-0.0495963490861	0.0211616818601	-0.0176468149734	-0.0348665595602	0.031997862634	-0.0712322719912	-0.0121110964337	-0.0406387043013	0.00894898329568	0.0114769455124	0.125090884042	0.0156663630069	-0.013785247416	0.0555725817733	0.0227309597407	6.61472365772e-09
AB3	-0.130954122757	-0.12329741556	0.192149628837	0.0331546971608	-0.0730266344976	0.0631721000653	0.000123867667317	-0.0386205704191	0.0183949304712	0.0951078173242	0.0139319678721	-0.0871653301014	0.0428916484932	0.00296650339393	0.0462180649316	0.151392313474	-0.186893426115	-0.00596203894777	0.154388766601	-0.0379911531477	0.0245750397237	0.118928207223	0.0557585801754	-0.167478912431	-0.038261940498	-0.126415561535	0.0315738731781	0.0671190749898	0.0480324623038	-0.0218875719715	0.0320310515382	-0.00500074763653	0.0224355609948	-0.0601850710605	-0.0209000254797	0.0103909874511	-0.0550370278004	-0.011049467286	-0.0570387088754	-0.0260150917825	0.0234119963683	0.0316110611914	-0.0216321020251	0.0249816770268	0.0335920984924	0.00554037885022	-0.0245768773934	-0.000757483684272	0.0315087423956	-0.0063251505088	-0.0210787375605	0.0149739713787	-0.00102695857601	0.0222481223244	-0.00289260052942	-0.0050380677524	0.0125481066528	-0.00928031648881	-0.00559966844418	0.00117595615249	-0.00413569617822	6.61472365772e-09
AB4	-0.038016246362	-0.119629153779	0.225916186716	0.0105570680029	-0.0207875930048	0.144031237732	0.12109325475	0.0054284613875	-0.142752635612	0.0216431956045	-0.142117177312	-0.0287946427313	0.086638743527	-0.0475522095666	-0.0355656478185	-0.0420883652093	0.0426315291024	-0.00161571863806	-0.0293060909252	-0.0211655858694	0.0213934944589	-0.0180572678436	0.0303843930613	0.0199419715805	-0.00683145985694	0.0179640860295	-0.0660177225871	-0.00348376493204	-0.0104079561768	0.051329260313	-0.0152157385986	-0.00622400458662	0.00869001289452	-0.0256277563387	-0.0403748590847	0.0010069459533	0.0142741994758	0.0283845617721	-0.00147376257122	0.0347792891529	-0.0686149451928	0.00617051872801	-0.0243715367609	0.0774315533783	0.0750340807278	-0.0456328045571	-0.0074100551221	0.0105119090696	-0.021518483761	0.055817559845	-0.00336368814252	-0.0659931334929	0.0141803349866	-0.0769295510675	-0.0152317127358	0.000960477643178	-0.0327502070611	-0.0341899782865	0.0558536632426	-0.0387928246619	-0.0240531213017	6.61472365772e-09
AC3	-0.0238912030086	-0.155371179815	-0.0297499924681	0.0561878624152	-0.0397755762289	-0.0920984448822	-0.114524677193	-0.0511704579494	0.0325972699438	-0.178326755793	-0.0841221452819	0.010676141503	0.0616929162676	0.123746021234	-0.104761544678	-0.00911128020305	-0.0150230225328	0.121034039698	-0.00355839790478	0.037795237861	0.0819553997574	0.114189615286	-0.045163616154	0.003077972313	-0.121233541074	-0.103641938392	-0.10068219758	-0.0112479672192	-0.0127022978748	0.0341308601541	-0.0126408950098	0.0191500661142	-0.0374965765202	0.0271087721649	0.00867528458206	-0.0479811895138	-0.0279891701705	0.0629465863451	0.0481556889361	0.103007379772	-0.0177811559181	0.0178821177389	-0.00983574240456	0.0068434123664	-0.0251637982762	0.0182944311258	0.00656695968368	-0.0493984854679	-0.00798648695408	0.00945638854114	0.019628017656	-0.0329975748857	-0.00979164978374	0.0325940193206	0.0280794051247	-0.0290369265852	-0.00610421569315	0.0326163028784	-0.000894367617402	0.0169930944697	0.0156492712295	6.61472365772e-09
AC4	0.0101982816927	-0.229311729208	-0.0754058036293	-0.0163337341444	-0.0153832022407	-0.175917541173	-0.0979385945811	-0.101661460934	0.029981673992	-0.128338702893	-0.153130725816	0.0167421159661	0.0461072557999	0.00113978339622	-0.0062566382815	-0.0549052080653	0.0264660707394	-0.0432292941048	0.0410748648664	-0.00845934319613	-0.0465406510776	-0.0215252750262	0.0612782569019	-0.00806095857231	0.0170438048456	-0.00146512912648	0.0392445146588	-0.0111428047369	0.000407147227176	-0.0134502471104	0.0286295479607	-0.0207678607287	-0.0115703471453	-0.0248721323737	-0.0258810808978	0.0361140866644	0.0440287065107	0.0107604810371	-0.0140969850027	-0.0989260556097	-0.0409225201266	-0.0220791359651	-0.0808053870789	0.0357377932274	-0.029144426224	-0.0419205936164	-0.0255933462325	0.010028210408	-0.0305263212106	-0.0427542581672	0.0262341416893	0.0824873072719	0.0252234320612	-0.0387969683008	0.0539674612533	-0.0584230013737	-0.0410788417394	0.00716484365071	-0.0134731719614	0.0118790982446	-0.0113140983961	6.61472365772e-09
AD3	0.0346907790123	-0.0361366694533	-0.203806251645	0.211209722264	0.0810284998406	0.106661151775	0.0196730641178	-0.113312706702	-0.0849052847913	0.053424317844	0.0170940497678	0.0170366973235	-0.031999079869	0.100246128913	-0.0106891311064	0.0501324843455	-0.0392587123842	-0.0343263048222	-0.00507481046166	0.00502723856193	-0.041044968227	-0.0501472540308	0.0242310481984	-0.0560584714646	0.0969178903634	-0.0354616736777	-0.0534815526487	0.00674972605803	0.0468694822879	0.0431500186299	-0.00738034844543	-0.0435813998585	-0.0276881836344	0.0771027293621	0.000818344954304	-0.0282742828286	-0.0199359905135	0.024192314205	0.00741763500628	0.0303786932051	0.0140444418005	0.0204729518472	-0.00714574088235	0.0378235739851	-0.0479287528423	-0.0362569131358	0.0928599642751	-0.0304045254697	0.0160040878447	-0.0269281997242	0.0031262854861	0.0181911667492	-0.00864856453213	-0.0579439025989	-0.012008665172	-0.00674526373257	0.0480872998672	-0.0406412872258	-0.0646554318624	-0.0345655513388	-0.046181752593	6.61472365772e-09
AD4	-0.024234285768	-0.0348085346989	-0.231210495438	0.213717879216	0.10728964118	0.0563078450861	0.0260985504287	-0.103804239051	-0.118254348293	0.0779050496181	-0.0310311170361	-0.0159804596163	-0.0565626569936	0.0482164524189	0.0493315886191	0.0504039609673	0.0122670998122	-0.0455862149941	0.00583410337994	0.018947252972	-0.00842103502183	0.00886281395107	-0.00910870361572	0.0264980914667	-0.0271239470569	0.0245455165664	-0.0160162619076	0.00788467861751	0.00318820560751	0.0136755168252	0.00106124715084	0.0329868402084	0.0116174797531	-0.0407239088714	-0.0156515858318	-0.0269628092761	0.0479759995974	-0.00146984223324	0.0123040284885	-0.0227781882885	-0.02092312252	-0.00499962619039	0.048558827939	-0.0202915726772	0.064866743858	0.0496095796812	-0.0998622064457	0.0418170058741	-0.0286726949578	0.0415584555643	-0.00379141290854	-0.0323801207513	0.011858051144	0.0483090090444	0.0309243201538	-0.010081875498	-0.0225609636157	0.058252508444	-0.0625501099853	-0.0114721039392	-0.0640888105296	6.61472365772e-09
AE3	-0.0715159794734	-0.121207394364	-0.0236743515805	0.0841700915681	0.0826005015013	-0.053607008282	-0.0220925572864	0.000202641623378	-0.0451429876718	0.0375410381186	-0.094552390224	-0.0723083609903	-0.114255577283	-0.0535626767193	0.157919208846	0.180584886456	0.0190680753372	0.0440220171049	-0.0695906599408	0.0172969281141	0.021603737478	0.0384545946914	-0.0818375519007	0.147502276513	-0.174448288438	0.0779009620011	0.149810894818	-0.00769797179869	-0.0624884741858	-0.0115909848152	0.0417338667473	-0.0386735570363	0.0380840094517	-0.0163658328712	-0.0492869760658	0.0538255333869	-0.0355069036707	0.00531670997694	0.000253137026892	0.0278212042209	0.00782533217892	-0.00174260046532	-0.0231710169467	-0.00273635141525	-0.0234617343219	-0.00117935247161	0.0409568953888	-0.020002729945	0.0144798411711	-0.010892757033	-0.002688196792	-0.000741691869456	-0.00556680970565	-0.0320895170879	-0.00818990321973	-0.000780484330632	0.0236741558476	-0.0108407412221	-0.00161404618941	-0.0159396366979	0.00683285532357	6.61472365772e-09
AE4	0.0107621090691	-0.0391692669333	-0.249344736863	0.244332411674	0.108930367653	0.0850146592132	0.0319218784412	-0.115889640638	-0.111321711823	0.0798268084732	0.00298731935695	0.0104446996162	-0.0378397599995	0.0629600849354	0.0264631047782	0.0250355746643	-0.00359201318676	-0.0355530543324	0.00608951268287	0.00444603841158	0.0094779602724	-0.0013473155164	0.00714982923949	-0.0224024253405	0.0280625772546	0.0015864037257	-0.0494813781533	0.0141184745347	0.00778843774137	0.00312828909506	-0.0153048642656	-0.000169946536714	-0.00352051336809	-0.0197342453258	0.0240369250241	0.0084229416617	0.00718368516933	-0.03243240982	-0.00637178453843	-0.00774502780991	-0.011331918567	-0.0172730742878	-0.0281867729472	-0.00458192451239	-0.0199094509864	-0.00244759516591	-0.00990799922217	-0.00613929196514	0.00150114690293	-0.00847120696698	-0.0104663593332	0.0183825807463	0.00359001657418	0.020198478701	-0.0105842675797	0.0186341348892	-0.0239762855109	-0.00908769028881	0.126271431837	0.045683394631	0.100554353743	6.61472365772e-09
