Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
162	2.0000	1.2369	1.2315
163	2.0000	1.2369	1.2315
164	1.0000	0.6184	0.6158
165	1.0000	0.6184	0.6158
166	2.0000	1.2369	1.2315
167	1.0000	0.6184	0.6158
168	1.0000	0.6184	0.6158
169	2.0000	1.2369	1.2315
170	2.0000	1.2369	1.2315
171	1.0000	0.6184	0.6158
172	2.0000	1.2369	1.2315
173	2.0000	1.2369	1.2315
174	2.0000	1.2369	1.2315
175	1.0000	0.6184	0.6158
176	2.0000	1.2369	1.2315
177	2.0000	1.2369	1.2315
178	0.0000	0.0000	0.0000
179	2.0000	1.2369	1.2315
180	2.0000	1.2369	1.2315
181	2.0000	1.2369	1.2315
182	2.0000	1.2369	1.2315
183	0.0000	0.0000	0.0000
184	2.0000	1.2369	1.2315
185	1.0000	0.6184	0.6158
186	2.0000	1.2369	1.2315
187	2.0000	1.2369	1.2315
188	2.0000	1.2369	1.2315
189	2.0000	1.2369	1.2315
190	2.0000	1.2369	1.2315
191	2.0000	1.2369	1.2315
192	2.0000	1.2369	1.2315
193	2.0000	1.2369	1.2315
194	2.0000	1.2369	1.2315
195	2.0000	1.2369	1.2315
196	2.0000	1.2369	1.2315
197	2.0000	1.2369	1.2315
198	2.0000	1.2369	1.2315
199	2.0000	1.2369	1.2315
200	2.0000	1.2369	1.2315
201	2.0000	1.2369	1.2315
202	1.0000	0.6184	0.6158
203	2.0000	1.2369	1.2315
204	2.0000	1.2369	1.2315
205	2.0000	1.2369	1.2315
206	1.0000	0.6184	0.6158
207	2.0000	1.2369	1.2315
208	2.0000	1.2369	1.2315
209	2.0000	1.2369	1.2315
210	2.0000	1.2369	1.2315
211	1.0000	0.6184	0.6158
212	2.0000	1.2369	1.2315
213	2.0000	1.2369	1.2315
214	2.0000	1.2369	1.2315
215	1.0000	0.6184	0.6158
216	1.0000	0.6184	0.6158
217	2.0000	1.2369	1.2315
218	2.0000	1.2369	1.2315
219	2.0000	1.2369	1.2315
220	1.0000	0.6184	0.6158
221	2.0000	1.2369	1.2315
222	2.0000	1.2369	1.2315
223	1.0000	0.6184	0.6158
224	2.0000	1.2369	1.2315
225	2.0000	1.2369	1.2315
226	1.0000	0.6184	0.6158
227	1.0000	0.6184	0.6158
228	2.0000	1.2369	1.2315
229	2.0000	1.2369	1.2315
230	2.0000	1.2369	1.2315
231	2.0000	1.2369	1.2315
232	2.0000	1.2369	1.2315
233	2.0000	1.2369	1.2315
234	2.0000	1.2369	1.2315
235	1.0000	0.6184	0.6158
236	2.0000	1.2369	1.2315
237	2.0000	1.2369	1.2315
238	2.0000	1.2369	1.2315
239	2.0000	1.2369	1.2315
240	2.0000	1.2369	1.2315
241	0.0000	0.0000	0.0000
242	0.0000	0.0000	0.0000
243	2.0000	1.2369	1.2315
244	0.0000	0.0000	0.0000
245	1.0000	0.6184	0.6158
246	2.0000	1.2369	1.2315
247	2.0000	1.2369	1.2315
248	1.0000	0.6184	0.6158
249	2.0000	1.2369	1.2315
250	2.0000	1.2369	1.2315
251	2.0000	1.2369	1.2315
252	2.0000	1.2369	1.2315
253	2.0000	1.2369	1.2315
254	1.0000	0.6184	0.6158
255	2.0000	1.2369	1.2315
256	1.0000	0.6184	0.6158
257	2.0000	1.2369	1.2315
258	2.0000	1.2369	1.2315
259	1.0000	0.6184	0.6158
260	2.0000	1.2369	1.2315
261	1.0000	0.6184	0.6158
262	2.0000	1.2369	1.2315
263	2.0000	1.2369	1.2315
264	1.0000	0.6184	0.6158
265	1.0000	0.6184	0.6158
266	1.0000	0.6184	0.6158
267	2.0000	1.2369	1.2315
268	2.0000	1.2369	1.2315
269	2.0000	1.2369	1.2315
270	2.0000	1.2369	1.2315
271	1.0000	0.6184	0.6158
272	2.0000	1.2369	1.2315
273	2.0000	1.2369	1.2315
274	2.0000	1.2369	1.2315
275	1.0000	0.6184	0.6158
276	2.0000	1.2369	1.2315
277	2.0000	1.2369	1.2315
278	1.0000	0.6184	0.6158
279	2.0000	1.2369	1.2315
280	1.0000	0.6184	0.6158
281	2.0000	1.2369	1.2315
282	2.0000	1.2369	1.2315
283	2.0000	1.2369	1.2315
284	2.0000	1.2369	1.2315
285	2.0000	1.2369	1.2315
286	2.0000	1.2369	1.2315
287	2.0000	1.2369	1.2315
288	2.0000	1.2369	1.2315
289	2.0000	1.2369	1.2315
290	2.0000	1.2369	1.2315
291	1.0000	0.6184	0.6158
292	0.0000	0.0000	0.0000
293	2.0000	1.2369	1.2315
294	2.0000	1.2369	1.2315
295	2.0000	1.2369	1.2315
296	1.0000	0.6184	0.6158
297	2.0000	1.2369	1.2315
298	2.0000	1.2369	1.2315
299	2.0000	1.2369	1.2315
300	2.0000	1.2369	1.2315
301	2.0000	1.2369	1.2315
302	2.0000	1.2369	1.2315
303	2.0000	1.2369	1.2315
304	2.0000	1.2369	1.2315
305	1.0000	0.6184	0.6158
306	2.0000	1.2369	1.2315
307	2.0000	1.2369	1.2315
308	1.0000	0.6184	0.6158
309	2.0000	1.2369	1.2315
310	2.0000	1.2369	1.2315
311	1.0000	0.6184	0.6158
312	2.0000	1.2369	1.2315
313	1.0000	0.6184	0.6158
314	2.0000	1.2369	1.2315
315	1.0000	0.6184	0.6158
316	2.0000	1.2369	1.2315
317	2.0000	1.2369	1.2315
318	2.0000	1.2369	1.2315
319	1.0000	0.6184	0.6158
320	2.0000	1.2369	1.2315
321	2.0000	1.2369	1.2315
322	2.0000	1.2369	1.2315
323	2.0000	1.2369	1.2315
324	1.0000	0.6184	0.6158
325	2.0000	1.2369	1.2315
326	2.0000	1.2369	1.2315
327	1.0000	0.6184	0.6158
328	1.0000	0.6184	0.6158
329	2.0000	1.2369	1.2315
330	2.0000	1.2369	1.2315
331	2.0000	1.2369	1.2315
332	0.0000	0.0000	0.0000
