pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
AA3	-0.0389890730246	0.0723838886084	-0.0434385707219	0.099544874437	-0.202312458957	-0.0448154706932	0.090308567994	-0.139089782209	0.117474107054	-0.0316552370359	0.209401260188	-0.012843714416	0.0782515458294	-0.0767651103876	0.0510732659932	-0.0387761454859	-0.0117517675452	0.0676580096831	-0.038675292994	0.0731891895433	0.0090507074166	0.0160999295966	-0.00289489453578	-0.0328373682574	0.0106848818476	0.00864571830346	0.00517170897554	-0.0187855327063	-0.00884048819246	-0.00718232153735	0.00163376872718	0.00503738567134	0.00984391324353	0.0144878739425	-0.0176771531081	-0.0358303553775	-0.00553506935071	0.0379806269985	0.0228609739863	0.013613379722	0.0126278821579	0.0234673260145	-0.0177768349326	-0.0145822917259	-0.0146094092587	-0.00724652439821	-0.00586968008414	-0.0366008518716	-0.0134150513855	0.00103190348791	0.0379443204385	0.016548285223	0.0114924400946	0.0481329883601	-0.0274913007694	-0.0124895593788	-0.0210980212887	-0.0339490128706	0.0293128033769	-0.00925635472932	0.000761533749926	4.35987267368e-09
AA4	0.0383994396017	0.0284399245752	0.126799365845	0.0266932943777	-0.194447389244	-0.0345509532576	0.108486537743	-0.0447017524264	-0.0179068642403	0.109708777778	0.0666870577115	-0.0583592434013	-0.0455535205304	0.0256812753186	-0.0185580183154	0.0062409368791	-0.0512443523388	-0.0227536402654	0.0719418155272	-0.0519555855307	0.0109461960741	-0.0260705724609	-0.0221635706029	0.0242893207713	-0.00317007953419	-0.0135682497297	-0.0106935032103	0.00323299927548	-0.0099629147035	-0.0130209121307	0.029829388024	0.00820146535837	-0.0218637493594	-0.0296956810549	0.0320944471504	0.0225906345186	-0.0423538120106	-0.0113563946836	-0.0684767147098	0.0276551954666	0.0196779150382	-0.00849968898058	-0.00234980104522	-0.00985089636317	0.0411812226137	-0.0258528501214	-0.0722784830849	0.0518452660484	0.00031036854136	-0.0113377490798	0.0243291226897	0.0306296667365	-0.0109741498643	-0.0277237675009	0.0234616753935	-0.0465004142008	0.0044958333905	-0.0210820173707	-0.00129688631202	0.00945103105682	0.0146802743914	4.35987267368e-09
AB3	-0.615559510587	-0.274319172698	-0.0474373131598	-0.357555212199	-0.0632071417572	0.0581518552735	-0.105055289281	-0.085461837854	0.018148156434	-0.0596691458329	0.00692393040272	0.0725851278873	0.0143031685008	0.00439288190171	0.0244818939442	-0.00268290669657	-0.0747429796332	-0.0281189776861	0.0413357570902	-0.0278519627752	0.0260726698948	0.0162416366126	-0.0156100352538	-0.0155260044249	0.00101406376335	0.0130922810896	-0.0403461958532	-0.00881164283849	-0.0209832446534	0.00610077469792	-0.0123944699637	-0.0172527340827	-0.0100807780677	-0.0351338150845	0.0139739271958	-0.0167395768677	0.0126562781412	0.0481033176348	-0.00369917420656	-0.0839668208442	0.0151491555683	0.0060155075539	-0.0120703192401	0.0172109988768	0.027077406843	-0.014251183493	0.0021198405905	-0.00592593341682	0.00948633161581	-0.0252679599402	0.0342165413222	-0.0114201789377	0.0234867856132	-0.0190509848182	-0.0128654661265	0.00372010537216	0.0183586959167	0.0015148188281	-0.00215188193638	0.00547767822885	0.0117491714074	4.35987267368e-09
AB4	-0.232483734868	-0.115426056252	0.0130249441517	-0.158016823273	-0.12793246972	-0.032149687591	0.0181162745812	0.0231561015815	-0.0497379917971	0.0656840360276	-0.0705697985012	-0.136089783273	0.0600522559155	0.012664791295	-0.00502309993501	-0.00977792312429	0.156329397779	0.0195380022001	-0.0560868672142	-0.00161514411229	-0.0583419570532	-0.00821208710435	0.00125394384973	0.0541102982016	-0.00229104988018	0.0223539641195	0.0396224879991	-0.0223442624023	-0.00918374187363	0.00657449902059	0.0522202532672	0.027688267851	-0.0439177285099	0.0496418189415	0.0335089099091	-0.0383740150313	-0.0296918806464	0.0238232772955	-0.0154955874879	-0.0293521901767	0.00189722194088	0.00536256352496	-0.0274119451337	-0.0241054858424	-0.0218707019789	-0.00479653979366	-0.00472924111057	0.0101320280281	0.00871556071418	-0.0169469135603	0.00402111039445	0.00458545509818	-0.0287850111688	0.0104972568752	0.0013611592447	-0.000788965536091	-0.0299080210122	0.0437296607731	-0.0116492985367	-0.0318633819958	-0.0287891424113	4.35987267368e-09
AC3	0.0262752639602	-0.143511044647	0.130236422787	-0.00342496224507	-0.0435291535959	0.186646375324	0.111883944218	0.201291371907	-0.0250841805771	0.00443448010193	0.0698004308026	0.106877030509	0.0768713836337	0.0597849907219	0.0478016046951	-0.0516523740269	-0.0229059234781	-0.0156032766964	-0.0498993987031	-0.00906854395584	0.00417681642026	-0.0156352687032	0.0345899564444	0.0652393843733	-0.091998446312	0.00845355553404	0.0273724610843	0.0329501644473	-0.00710157528394	-0.0186318553201	-0.0452891137978	0.0513014096902	0.0536597691357	0.0185073452459	-0.00839518934048	-0.0215217447644	0.0378828594296	-0.00836438908435	-0.0169967659145	-0.00598430704684	-0.00268390462082	0.0289122013137	-0.0230015195443	-0.00370803428185	0.0352098226589	-0.0121771364211	-0.0320397883164	-0.0115731158993	0.00750301725543	-0.0045633770252	-0.0291848247412	-0.021768546427	-0.0221366318771	-0.00327436417789	-0.0254085717664	0.00534690034029	-0.0339023196698	0.0141011138915	0.0102523286576	0.0148835023238	0.0217941863658	4.35987267368e-09
AC4	0.0696626891742	0.126890831843	0.0149011059809	-0.0684277140779	-0.0145401904569	0.102462677106	0.0889681419991	0.122489415681	-0.0054067586561	0.0152586090665	0.00199979226821	0.00427534158078	0.0017434368116	-7.7723804477e-05	0.0505714936602	-0.0859183548266	0.0289042308531	-0.0442651661109	-0.031760815791	0.0593004498588	0.0044530350266	-0.0079912432596	-0.00602944045006	-0.0719780428425	0.0341576926017	-0.0550235313574	-0.0706515156691	-0.0385296611781	0.0841775655761	-0.0279669266767	0.00755533459003	-0.0247743777582	-0.0881948859191	-0.0390400406442	-0.00621533682978	0.00622881936261	-0.0236532105821	0.0144848039513	0.0122035388124	-0.00148244973039	0.0297074897986	-0.0168870852267	0.00237278260756	-0.0261276532379	0.0219311673526	-0.000617613650582	0.00537136220913	-0.0192204129305	0.0242090181572	-0.0166800338764	-0.0380354319832	-0.00837507545849	-0.0331135236296	-0.0229569498534	-0.00148206222605	0.0143867261287	0.0283160341093	-0.0128974850993	0.0548931168778	-0.00242064429754	-0.0215723729047	4.35987267368e-09
AD3	-0.0295312771983	0.0357584836088	0.339627396868	0.0123514838845	-0.0367866142769	0.0159598879402	-0.0723538086469	0.0430549639739	0.134369193181	-0.185413831226	0.0201092851076	-0.0242155262962	-0.173933320851	0.0250118943164	-0.0927881915061	0.0676025476296	0.00480182530626	0.0230254211537	-0.0453578729495	0.0706569201627	-0.0201403688065	0.000931006603272	0.0272379092483	-0.0260008725395	0.0218333313349	0.0280360504677	-0.0228893744056	-0.042981698256	-0.0161026180863	-0.0222101143697	0.0165856455808	0.0301655724615	0.048392559833	-0.00849588680641	-0.0280540183467	-0.000518846516911	-0.0120410137734	-0.0231533675952	0.0188209473671	-0.00701807623057	0.0419388454001	0.00131017456025	-0.00279359661085	0.00247232221142	0.0252005537929	-0.00889823060505	-0.016611518498	-0.0449524098632	-0.0054881842711	-0.0153325727659	-0.0162000194401	0.0110986006619	-0.0247356160658	-0.0164627832852	0.0112592161354	-0.0204272280868	0.00885477896155	0.0183241942063	-0.0297733679994	-0.0273993726091	0.0042894251858	4.35987267368e-09
AD4	0.0576257451398	0.146469641814	0.0584136667315	-0.101242603027	0.0186382575622	0.0661782709407	0.0340236796614	0.0800648799251	0.0753942966417	-0.0123146180411	0.0257831720361	0.0273235339944	-0.0948880579987	0.0236656014413	0.0178483564966	0.0275803447572	-0.016833678628	0.0772744718868	0.0148251445446	-0.041146473195	-0.00100716709235	0.0291942998135	0.010314941766	0.0604957697284	0.0484205607203	-0.0302732592142	0.0556355934342	0.0411062606095	-0.0374910848731	0.0196466469086	0.0333091994816	-0.036513670412	-0.0100126585954	0.0248423900646	0.0242073258229	-0.00975422517698	-0.0206898889355	0.0132394429985	-0.0282025714774	0.028782789818	0.0195755315104	0.00439417770248	0.0937428858609	0.0227931731462	-0.0193793718499	0.00777047561039	0.0305611776183	-0.00417136905232	0.0237578003575	-0.0448602746008	-0.0101568952314	-0.0054360734576	0.0391727710955	-0.028772722805	-0.0493947544858	-0.00229866294459	-0.0324117228717	-0.0174683552739	0.0117065959978	-0.00334262330941	-0.0160416131495	4.35987267368e-09
AE3	0.0383688595859	0.160901948675	-0.0173175331891	-0.104811262246	-0.00456621584862	0.0429386741814	0.0372154973144	0.0894526266073	0.0262562864954	0.0700408234538	0.0176470278167	0.034106298018	-0.0572420928609	0.0289928326081	0.0266242010885	-0.00264523669681	0.00223636600885	0.0769734501787	0.0234713614915	-0.0382286903563	0.0187945587048	0.0335368682236	-0.0250081288233	0.0338720699889	0.0521661348242	-0.0157834076492	0.0643999368577	0.0982101485117	-0.0410836352997	0.0180654301739	0.0191291731731	-0.121399635295	-0.00147559753391	0.00526283943596	-0.0536786217663	0.0231761680994	0.0389143674526	0.0365504214073	0.00935088931509	-0.00349356506622	0.00653232316787	0.00132934768116	-0.0471031121349	-0.0352830207803	0.00622349261478	0.00618087401165	-0.0187386878451	-0.0369748869097	-0.0189917284628	0.0347697029715	0.0090164654925	0.0118817647048	-0.0243096347133	0.0171308867904	0.0347190155145	-0.00344746114249	0.0320831978783	0.0165332411321	-0.00958973720812	0.00188610975247	-0.00701160060215	4.35987267368e-09
AE4	0.0130201686682	0.111019525982	0.252553579801	-0.0241090626525	-0.0266476371448	0.0380597799773	-0.0405208375622	0.0482796168103	0.10658679867	-0.133536045072	-0.000282295380431	-0.0422244424868	-0.120200836425	0.0252627330063	-0.0247206522727	0.0385033834828	0.0129784045391	0.0682449280746	-0.0415541098668	-0.0129712838119	0.0130734027234	0.0028018081565	0.0722984880914	0.0123923598298	-0.0431490223257	0.0136554379662	-0.00668098102288	-0.00871119441978	0.0471955137032	-0.0143744821662	-0.0168259359192	-0.0256457924578	-0.042490282647	0.0100195620154	0.058519568703	-0.020464316428	0.00945550362938	0.00939587332194	-0.0152181120416	-0.0151751688729	-0.0543665671389	-0.00797080423527	-0.0328360919653	-0.0101792648277	-0.0260162278659	0.00714727509303	0.0101842920665	0.0676562071773	0.00227860058821	0.0402359790394	0.0245724257417	-0.0146648821799	0.0145761811592	0.0287659665187	0.0154780837269	0.0197582369379	0.00384062683223	-0.00827238573553	0.0315783444455	0.0345380894566	0.00204549008691	4.35987267368e-09
AF3	0.0897024625163	0.168981814435	-0.0828235179302	-0.109008770115	0.0512125515262	0.0812608188071	-0.00535210071132	0.0997837868006	-0.0362100491075	-0.012087345746	0.00705118989521	-0.0426523785184	-0.0115959752243	0.00436439201396	0.013912927119	-0.118572680693	0.00760376785425	-0.0100404528582	0.0494584769136	0.0870187177907	-0.0271249352128	-0.0264145467945	-0.0431325051546	-0.0864814167276	0.111485939976	-0.0224489539955	-0.0259688495928	-0.024742217338	0.0190343011777	-0.0579265083138	-0.0141906213022	-0.033328926287	-0.00467499965074	0.0420059001445	0.0220479312263	0.0164052591473	-0.00645534308847	-0.0227308706814	-0.02312310358	-0.0116840163201	-0.0251763703998	0.0132421194267	-0.0208937368111	0.0251821885596	-0.0319197367088	-0.00116327613029	-0.0170439465927	0.00292643940459	-0.0176524493108	0.0210193729919	0.00875822015762	-0.00784805147271	0.0206571404	0.00428730857867	-0.0254525022971	-0.026117576661	-0.0403621147255	0.0131582055981	-0.0476847505335	0.0144728241874	0.0296787208649	4.35987267368e-09
AF4	0.0834928148695	-0.0939217676904	0.104350711242	-0.00742657289074	-0.0242755331873	0.14016592333	0.10601440005	0.162867982043	-0.00186361188315	0.0158971921025	0.0634692223278	0.0594119003661	0.0463556610982	0.0311410041637	0.0253659106016	-0.10512716161	0.0025118845371	-0.0830872225636	-0.0434108643629	-0.0222834665249	-0.0114154672397	-0.0213533315387	0.0279907742218	0.0432782592666	0.00240803106444	0.0277251928368	-0.0299282410432	-0.0501278415928	-0.00861398657477	0.0523832929427	0.00208689895613	0.000697150791483	0.0236431133702	-0.0238117023778	-0.0150810209184	0.000910663190406	-0.0236957457199	-0.0139404453022	0.0345354465283	0.000546272900073	-0.00441249878512	-0.0185310687867	0.0268891673744	0.0271685394886	-0.0310135235377	0.00681535028302	0.0387785413614	0.0276358901216	-0.0172141828269	-0.000616615419944	0.056299160531	0.0274339985081	0.0324175904375	0.0193910462838	0.0407373847127	-0.00612898099287	0.0316534754604	-0.0149595476618	-0.0349988598735	-0.0217594277529	-0.0178865044437	4.35987267368e-09
