pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
PAM31	-0.0749269088454	0.0607585448614	-0.245659625067	-0.0152104260366	0.0855675716117	-0.0430766851827	0.0803914469896	-0.124642305062	0.0295977812652	-0.0612996015879	0.0649749506547	-0.00233774162763	-0.076956701598	0.0540065299592	-0.0386104687556	0.0533086040833	0.0226321961421	0.0418192402199	-0.0236246435824	-0.059643344011	0.0412472424941	0.0606630741387	-0.0303745985014	-0.0836095521631	-0.00231255629346	-0.0283973318002	0.106726442873	0.0295750487136	0.0254013708964	0.00329502955843	0.0930280526862	-0.0517549496909	-0.0335135503317	-0.0469552026866	-0.0256064222109	0.0148929842222	0.0406456929605	0.0377202113773	0.00794763894894	-0.00328659789325	-0.0798873658934	-0.0379357240548	0.0778373036044	0.0166640472534	0.0598722286554	0.0305593475468	-0.0751766611646	-0.0206833840813	-0.0095093232939	-0.000810604211333	-0.0671739378377	0.0572463047618	-0.0138061309009	-0.0212257657312	-0.0867056639989	0.0070039332343	0.0122998907553	-0.0433225414249	0.0947450108197	-3.77295459042e-09
PAM32	-0.180218700546	0.0937304566443	-0.174187635927	0.113123997868	-0.0566979736067	-0.184222264771	-0.0435233879339	-0.0500460449277	-0.0960404946338	-0.035235861519	-0.0170510926882	0.0202545418368	0.0789511886933	-0.0402815796457	-0.0156041576019	-0.0727551388893	0.00926632218389	-0.0337443555635	-0.0377952071182	-0.0875811616387	-0.0118261018329	-0.101766204326	0.0582837977869	0.0289898010987	-0.0855397928676	-0.00928970454879	0.00290672211505	-0.0727676926829	-0.0133859802745	0.0299529443652	0.0579351989914	0.0108788553778	0.0392752217057	-0.000528814358842	-0.106653357898	0.0313517540102	-0.0214765066859	-0.0515855469573	-0.0231991211091	0.0275506101432	-0.054814997123	-0.0518619571294	1.58725892263e-05	-0.127396775921	-0.0445735523946	0.0434712383958	-0.0380629973648	0.0321102492077	0.0668363713263	-0.00622529532181	-0.035236296926	0.00695772005076	-0.0333568753189	-0.00464314611247	-0.00384357970167	-0.0825360389834	-0.0155660306228	0.0525965716696	-0.0540007076914	-3.77295459042e-09
PAM33	-0.208307902692	-0.0566414322388	0.0296586217963	-0.15193888419	-0.0188782947071	-0.0516594456657	0.0258061059405	-0.0586613836518	-0.0350525451941	0.00549301888538	-0.0140717333809	0.0104610020379	-0.160025914775	-0.0236147181963	-0.0810442548524	-0.0433494469405	0.157334878467	-0.0137763546803	0.0691764129697	0.0940143907519	-0.0187532112198	0.0605713401083	0.01562267179	-0.0670460997668	-0.0773743668809	0.0282082282892	0.0512032772735	-0.0368954970661	0.104138812258	0.0701528459297	0.0151350544544	0.0265587730491	-0.0970631121098	-0.0638277489902	0.00369197363951	-0.0347729929106	0.0536674225383	0.108504174243	0.0104657818721	0.00256240459451	0.0426779685502	-0.117896663485	-0.0381797048127	-0.00521205114233	-0.0562619682223	-0.0576432180083	0.0501905015525	0.0437193114506	0.00906130193723	0.0452088177395	0.0425325205229	0.00199971311061	-0.0165890636507	0.0288397842901	0.0356635428525	-0.0136880709376	0.00338646066231	0.0190691062677	-0.0205192146172	-3.77295459042e-09
PAM35	-0.234773679213	-0.0034967976666	0.0427642947737	0.051898568072	0.100295723237	0.0456247574359	-0.046025224603	-0.0382559497865	0.0933560565082	0.0795564279007	-0.0581572116266	0.0504325245845	0.100367168939	0.0712093538223	0.0250393127266	0.0149194717042	-0.075680929358	0.0163229585246	0.0731391524881	-0.0363609987436	-0.260218124015	0.0407771531516	0.0490915645123	-0.032089085493	-0.0488415327079	0.0094240050141	0.0191947519761	0.0319891594402	0.0437191009797	-0.0184755935256	-0.0024100641731	0.0885828081678	-0.10821616071	0.0486475534461	-0.0314849931031	0.0917266492703	-0.00292401928859	-0.0184020576747	-0.0535629156561	0.0573499514486	0.0384102892995	0.0151140248581	0.0412704778888	0.0314615066554	0.0169029512452	0.014327137686	-0.03144882465	-0.0167409259507	0.0122696959797	0.0449110551708	0.0496367609911	-0.0354563793205	0.0572807603857	-0.0401283341158	0.00402871870923	-0.0486875185905	0.00244248308327	-0.0203023413301	0.0256826188861	-3.77295459042e-09
PAM36	-0.185541451447	-0.0485937854541	0.0254774917498	-0.0989872657851	0.011770757103	0.00336514931267	-0.0187942191114	-0.0884570690433	0.0365891779941	0.112077621163	0.0907698851459	-0.0526762763581	0.0374618766771	-0.0211472277265	-0.0417301850459	-0.0811201523652	-0.0852098206198	-0.064183964412	-0.184255071292	0.0919903228709	-0.011694286996	0.00429613066267	-0.125101754699	0.0874047407736	0.0816818669973	0.080681783046	0.130820533877	-0.073844959288	-0.100957147575	-0.0639631908929	-0.107967412433	0.00720356681321	-0.0546526364039	-0.0686891099519	0.0418558127955	-0.00305218354306	-0.00877765360335	0.00818554959366	-0.055463331415	-0.0229301017723	-0.0600962156784	-0.00283753738073	0.0438073244854	-0.0223226439333	-0.0343921701628	0.0252126456045	0.046102715197	0.0122232951441	0.0404739695973	0.0296606945475	0.0081915835431	-0.0122986913547	0.0215465272365	-0.00515628475509	-0.0196047219048	0.00887298419443	-0.0174145809116	0.0118670223468	0.00791146702438	-3.77295459042e-09
PAM37	-0.195567395358	-0.112695839207	0.0215144100602	-0.1599854394	-0.0196591667655	-0.0171165639013	0.115421293413	-0.159614165805	-0.091333625565	0.000461868724779	0.0470785355037	0.0719589278281	0.0182624987466	-0.107504543039	0.083533352669	0.0342808040306	0.106589613428	-0.00781058872393	-0.00443667981283	0.0944858615508	0.00379095015809	-0.0222113954109	0.0206406119289	-0.0297282543847	-0.0471776493029	0.0596566431275	0.0182684826708	-0.0417028239134	0.00237768630843	0.000925868493578	-0.0478103788401	0.010386104171	0.0519756707669	0.100785812429	-0.0852441867522	-0.0615790943907	0.0281885016538	-0.0908334497272	0.0625474584723	0.0711949022573	-0.0075816664238	0.103707167186	0.0740539366215	0.0429641092652	-0.0375294456648	0.00747753978456	-0.0293896125217	-0.0598353178737	-0.04402946193	-0.0460156181187	0.0500750692332	0.0208450338046	-0.0197779973944	-0.0372420340553	-0.00939867871018	0.0484643800556	0.0261215253309	-0.00890915160319	-0.0232188466153	-3.77295459042e-09
PAM39	-0.216135801062	0.0409933420116	-0.090421177382	-0.0816335391144	-0.162703736061	-0.12006890528	0.0433113555313	-0.025956848113	-0.00396441468675	-0.0308673359156	-0.034663897631	-0.00711656352456	-0.0237223975809	0.0831419761153	0.110526570246	0.0312411577306	-0.0312987873226	0.000853410347972	-0.0254219043416	-0.0593305162778	-0.0121088821446	0.00545987042284	0.0514417668887	-0.0194464232235	-0.0865977482569	0.0416697311131	0.00597734702664	0.0737564558023	-0.0064388845156	-0.0387206306282	-0.0560459428822	-0.0729588539219	0.0184153935677	-0.000810236536328	0.0186792100429	0.00929905419118	0.00993596742922	0.0191810325016	-0.00551400698872	0.0488652576881	0.0113434864768	0.0559584503596	-0.0162789930872	0.0253459156308	0.030394249889	0.0344332416374	0.0932823966887	0.0531983501497	0.0543102830223	-0.0326202327233	-0.0843005296247	-0.0337601009589	0.0476570548235	0.123542242464	0.0419803107548	0.0406497410076	-0.0152327000117	-0.0872713052571	-0.0189643712211	-3.77295459042e-09
PAM40	-0.246795458414	-0.0420280910406	0.0287052389136	-0.105180130117	-0.0169860942416	-0.0742988452571	-0.00986276241085	0.012133657083	0.0270113011149	-0.00244677330708	-0.0394541705055	0.0315003244838	-0.0642950980208	0.0882198140384	0.0138624578822	0.0289604040926	-0.0600061155284	0.116063360936	-0.00485300360108	-9.52832366298e-05	0.0657937807561	0.0216979854579	0.0617802445029	0.102408115059	0.103575712431	-0.00835309798081	-0.0347532613243	0.0786359009409	-0.109363020751	-0.035352072779	0.055041228237	-0.0788555948129	-0.0127674026523	0.0198620628094	-0.0260059552242	-0.0452702748733	-0.0161824628083	-0.00309070118541	0.059755711813	-0.0491182837045	0.0770199234212	-0.000823515449846	0.0144723972593	0.0491278599142	-0.0142755773283	0.0755820457709	-0.00412335903352	0.0887235410869	-0.0461568076682	0.0599187276438	0.0610800136175	0.0811293627588	-0.00785184198475	-0.0259231791771	-0.00141129518922	-0.0877348419673	0.0233181841126	0.0065286818739	-0.0316304938288	-3.77295459042e-09
PAM41	-0.266340552879	0.0570520129897	-0.00299239150539	0.037016018489	0.0794588369441	-0.0838759419938	-0.19450693219	-0.0941189062827	-0.0276840703609	-0.0176223400168	0.0290325751281	0.0232719497504	0.0471394956337	-0.0138969298453	0.0220343496398	-0.0178023103056	0.00386825853858	0.0931001407379	-0.108874249353	-0.114937666413	0.012366434854	-0.0876396058954	0.0217131449425	0.0084935285829	0.0658656200788	0.00569557775525	-0.127090856717	0.0415374969529	0.0470785616838	0.0297484233823	-0.0591291018125	0.0185852743544	0.0583069266806	-0.0311944636591	0.0462521821744	0.0242732480883	0.0250411846211	0.148649085312	-0.0100612179119	0.0236506992062	-0.0528530879686	0.0501283865526	-0.0541323752286	0.061424195344	-0.040995691264	-0.095541178946	-0.0243585895324	0.00127922582447	-0.0504111688342	0.0101968238391	0.014725568875	-0.0399714875922	-0.043008046483	-0.0243416060917	-0.0225923536152	0.0308408531873	0.0179995744825	0.0128114125111	0.0166507915253	-3.77295459042e-09
PAM42	-0.211480398037	0.0757784229821	-0.0724881914806	-0.0396174548658	-0.132549570944	-0.107241446257	0.101864148525	-0.0154852288315	0.100067495629	-0.00300339035918	-0.0123089592325	-0.00737165102636	0.0213613747851	0.0967212527336	0.0287775629627	-0.0123927687367	-0.0626741703422	-0.0825227519152	-0.0315905187454	0.0158402171826	-0.001615521441	0.0186727969174	-0.0145105123795	-0.0306096824547	0.0652413876369	-0.101162330745	-0.0376472899529	0.0487632021743	-0.0320174732425	-0.0232447891583	0.102506610135	0.02381778855	-0.018854389203	-0.0109950802877	0.0679613687604	-0.06717123626	0.0607318405594	-0.108138032894	-0.0377405540065	0.0262797318882	-0.00540834182028	-0.0430645026027	-0.0133675292818	-0.00952523311769	0.0338072695787	-0.0902679190781	-0.00808685986391	-0.0543745055947	-0.0532525640776	-0.0399976043654	0.031825061677	-0.0101278022416	-0.0332950710741	-0.0108237562134	0.079607384604	0.0396022187536	-0.0938640133282	0.059470739331	0.0128338495076	-3.77295459042e-09
