Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
162	1.0000	0.6184	0.6158
163	2.0000	1.2369	1.2315
164	2.0000	1.2369	1.2315
165	2.0000	1.2369	1.2315
166	0.0000	0.0000	0.0000
167	0.0000	0.0000	0.0000
168	2.0000	1.2369	1.2315
169	2.0000	1.2369	1.2315
170	2.0000	1.2369	1.2315
171	1.0000	0.6184	0.6158
172	2.0000	1.2369	1.2315
173	2.0000	1.2369	1.2315
174	2.0000	1.2369	1.2315
175	2.0000	1.2369	1.2315
176	2.0000	1.2369	1.2315
177	0.0000	0.0000	0.0000
178	1.0000	0.6184	0.6158
179	2.0000	1.2369	1.2315
180	2.0000	1.2369	1.2315
181	1.0000	0.6184	0.6158
182	2.0000	1.2369	1.2315
183	2.0000	1.2369	1.2315
184	2.0000	1.2369	1.2315
185	2.0000	1.2369	1.2315
186	2.0000	1.2369	1.2315
187	2.0000	1.2369	1.2315
188	2.0000	1.2369	1.2315
189	2.0000	1.2369	1.2315
190	2.0000	1.2369	1.2315
191	2.0000	1.2369	1.2315
192	2.0000	1.2369	1.2315
193	2.0000	1.2369	1.2315
194	1.0000	0.6184	0.6158
195	1.0000	0.6184	0.6158
196	2.0000	1.2369	1.2315
197	2.0000	1.2369	1.2315
198	2.0000	1.2369	1.2315
199	2.0000	1.2369	1.2315
200	2.0000	1.2369	1.2315
201	2.0000	1.2369	1.2315
202	2.0000	1.2369	1.2315
203	1.0000	0.6184	0.6158
204	2.0000	1.2369	1.2315
205	2.0000	1.2369	1.2315
206	2.0000	1.2369	1.2315
207	2.0000	1.2369	1.2315
208	1.0000	0.6184	0.6158
209	1.0000	0.6184	0.6158
210	2.0000	1.2369	1.2315
211	2.0000	1.2369	1.2315
212	2.0000	1.2369	1.2315
213	2.0000	1.2369	1.2315
214	2.0000	1.2369	1.2315
215	1.0000	0.6184	0.6158
216	2.0000	1.2369	1.2315
217	2.0000	1.2369	1.2315
218	1.0000	0.6184	0.6158
219	1.0000	0.6184	0.6158
220	1.0000	0.6184	0.6158
221	2.0000	1.2369	1.2315
222	1.0000	0.6184	0.6158
223	2.0000	1.2369	1.2315
224	2.0000	1.2369	1.2315
225	1.0000	0.6184	0.6158
226	2.0000	1.2369	1.2315
227	1.0000	0.6184	0.6158
228	1.0000	0.6184	0.6158
229	1.0000	0.6184	0.6158
230	2.0000	1.2369	1.2315
231	1.0000	0.6184	0.6158
232	0.0000	0.0000	0.0000
233	1.0000	0.6184	0.6158
234	2.0000	1.2369	1.2315
235	1.0000	0.6184	0.6158
236	1.0000	0.6184	0.6158
237	1.0000	0.6184	0.6158
238	2.0000	1.2369	1.2315
239	2.0000	1.2369	1.2315
240	2.0000	1.2369	1.2315
241	2.0000	1.2369	1.2315
242	1.0000	0.6184	0.6158
243	2.0000	1.2369	1.2315
244	2.0000	1.2369	1.2315
245	2.0000	1.2369	1.2315
246	2.0000	1.2369	1.2315
247	2.0000	1.2369	1.2315
248	2.0000	1.2369	1.2315
249	2.0000	1.2369	1.2315
250	2.0000	1.2369	1.2315
251	2.0000	1.2369	1.2315
252	2.0000	1.2369	1.2315
253	2.0000	1.2369	1.2315
254	2.0000	1.2369	1.2315
255	1.0000	0.6184	0.6158
256	2.0000	1.2369	1.2315
257	1.0000	0.6184	0.6158
258	2.0000	1.2369	1.2315
259	2.0000	1.2369	1.2315
260	2.0000	1.2369	1.2315
261	2.0000	1.2369	1.2315
262	1.0000	0.6184	0.6158
263	2.0000	1.2369	1.2315
264	2.0000	1.2369	1.2315
265	2.0000	1.2369	1.2315
266	1.0000	0.6184	0.6158
267	1.0000	0.6184	0.6158
268	2.0000	1.2369	1.2315
269	1.0000	0.6184	0.6158
270	2.0000	1.2369	1.2315
271	2.0000	1.2369	1.2315
272	2.0000	1.2369	1.2315
273	2.0000	1.2369	1.2315
274	2.0000	1.2369	1.2315
275	1.0000	0.6184	0.6158
276	2.0000	1.2369	1.2315
277	2.0000	1.2369	1.2315
278	2.0000	1.2369	1.2315
279	2.0000	1.2369	1.2315
280	2.0000	1.2369	1.2315
281	2.0000	1.2369	1.2315
282	2.0000	1.2369	1.2315
283	2.0000	1.2369	1.2315
284	2.0000	1.2369	1.2315
285	2.0000	1.2369	1.2315
286	1.0000	0.6184	0.6158
287	1.0000	0.6184	0.6158
288	1.0000	0.6184	0.6158
289	2.0000	1.2369	1.2315
290	1.0000	0.6184	0.6158
291	0.0000	0.0000	0.0000
292	2.0000	1.2369	1.2315
293	1.0000	0.6184	0.6158
294	2.0000	1.2369	1.2315
295	1.0000	0.6184	0.6158
296	2.0000	1.2369	1.2315
297	2.0000	1.2369	1.2315
298	2.0000	1.2369	1.2315
299	2.0000	1.2369	1.2315
300	2.0000	1.2369	1.2315
301	1.0000	0.6184	0.6158
302	1.0000	0.6184	0.6158
303	1.0000	0.6184	0.6158
304	1.0000	0.6184	0.6158
305	1.0000	0.6184	0.6158
306	2.0000	1.2369	1.2315
307	2.0000	1.2369	1.2315
308	1.0000	0.6184	0.6158
309	1.0000	0.6184	0.6158
310	2.0000	1.2369	1.2315
311	2.0000	1.2369	1.2315
312	2.0000	1.2369	1.2315
313	2.0000	1.2369	1.2315
314	2.0000	1.2369	1.2315
315	2.0000	1.2369	1.2315
316	2.0000	1.2369	1.2315
317	1.0000	0.6184	0.6158
318	2.0000	1.2369	1.2315
319	2.0000	1.2369	1.2315
320	2.0000	1.2369	1.2315
321	2.0000	1.2369	1.2315
322	1.0000	0.6184	0.6158
323	2.0000	1.2369	1.2315
324	2.0000	1.2369	1.2315
325	2.0000	1.2369	1.2315
326	1.0000	0.6184	0.6158
327	2.0000	1.2369	1.2315
328	2.0000	1.2369	1.2315
329	1.0000	0.6184	0.6158
330	2.0000	1.2369	1.2315
331	0.0000	0.0000	0.0000
332	1.0000	0.6184	0.6158
333	2.0000	1.2369	1.2315
334	2.0000	1.2369	1.2315
335	2.0000	1.2369	1.2315
336	2.0000	1.2369	1.2315
337	2.0000	1.2369	1.2315
338	2.0000	1.2369	1.2315
339	2.0000	1.2369	1.2315
340	2.0000	1.2369	1.2315
341	2.0000	1.2369	1.2315
342	2.0000	1.2369	1.2315
343	2.0000	1.2369	1.2315
344	1.0000	0.6184	0.6158
345	2.0000	1.2369	1.2315
346	2.0000	1.2369	1.2315
347	2.0000	1.2369	1.2315
348	2.0000	1.2369	1.2315
349	2.0000	1.2369	1.2315
350	1.0000	0.6184	0.6158
351	2.0000	1.2369	1.2315
352	2.0000	1.2369	1.2315
353	2.0000	1.2369	1.2315
354	1.0000	0.6184	0.6158
355	1.0000	0.6184	0.6158
356	2.0000	1.2369	1.2315
357	2.0000	1.2369	1.2315
358	1.0000	0.6184	0.6158
359	2.0000	1.2369	1.2315
360	2.0000	1.2369	1.2315
361	2.0000	1.2369	1.2315
362	2.0000	1.2369	1.2315
363	2.0000	1.2369	1.2315
364	2.0000	1.2369	1.2315
365	1.0000	0.6184	0.6158
366	2.0000	1.2369	1.2315
367	1.0000	0.6184	0.6158
368	0.0000	0.0000	0.0000
369	1.0000	0.6184	0.6158
370	2.0000	1.2369	1.2315
371	2.0000	1.2369	1.2315
372	2.0000	1.2369	1.2315
373	2.0000	1.2369	1.2315
374	1.0000	0.6184	0.6158
375	2.0000	1.2369	1.2315
376	1.0000	0.6184	0.6158
377	2.0000	1.2369	1.2315
378	2.0000	1.2369	1.2315
379	2.0000	1.2369	1.2315
380	2.0000	1.2369	1.2315
381	2.0000	1.2369	1.2315
382	2.0000	1.2369	1.2315
383	1.0000	0.6184	0.6158
384	2.0000	1.2369	1.2315
385	1.0000	0.6184	0.6158
386	1.0000	0.6184	0.6158
387	1.0000	0.6184	0.6158
388	1.0000	0.6184	0.6158
389	2.0000	1.2369	1.2315
390	1.0000	0.6184	0.6158
391	2.0000	1.2369	1.2315
392	1.0000	0.6184	0.6158
393	1.0000	0.6184	0.6158
394	2.0000	1.2369	1.2315
395	2.0000	1.2369	1.2315
396	2.0000	1.2369	1.2315
397	2.0000	1.2369	1.2315
398	2.0000	1.2369	1.2315
399	2.0000	1.2369	1.2315
400	2.0000	1.2369	1.2315
401	2.0000	1.2369	1.2315
402	2.0000	1.2369	1.2315
403	2.0000	1.2369	1.2315
404	1.0000	0.6184	0.6158
405	2.0000	1.2369	1.2315
406	1.0000	0.6184	0.6158
407	2.0000	1.2369	1.2315
408	2.0000	1.2369	1.2315
409	1.0000	0.6184	0.6158
410	2.0000	1.2369	1.2315
411	0.0000	0.0000	0.0000
412	2.0000	1.2369	1.2315
413	1.0000	0.6184	0.6158
414	2.0000	1.2369	1.2315
415	2.0000	1.2369	1.2315
416	1.0000	0.6184	0.6158
417	2.0000	1.2369	1.2315
418	1.0000	0.6184	0.6158
419	1.0000	0.6184	0.6158
420	2.0000	1.2369	1.2315
421	2.0000	1.2369	1.2315
422	2.0000	1.2369	1.2315
423	2.0000	1.2369	1.2315
424	1.0000	0.6184	0.6158
425	1.0000	0.6184	0.6158
