	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.80193236715	0.879641131815	0.933747412008	0.833471359558	0.828295376121	0.921118012422	0.875086266391	0.886680469289	0.769289164941	0.770531400966	0.878053830228	0.953830227743	0.96204278813	0.993098688751	0.911318150449	0.933195307108	0.945824706694	0.897584541063	0.905935127674	0.816494133885	0.835886818496	0.987853692202	0.910697032436	0.896480331263	0.888405797101
CR95	0.80193236715	0.0	0.84265010352	0.913733609386	0.67922705314	0.801242236025	0.868530020704	0.859903381643	0.868461007591	0.838164251208	0.830227743271	0.875500345066	0.898964803313	0.926570048309	0.992546583851	0.88171152519	0.898757763975	0.927812284334	0.878605935128	0.884334023464	0.90138026225	0.87674258109	0.986404416839	0.851621808144	0.842236024845	0.811732229124
CR334	0.879641131815	0.84265010352	0.0	0.851552795031	0.882953761215	0.842581090407	0.817874396135	0.81828847481	0.852795031056	0.960317460317	0.984817115252	0.853623188406	0.934713595583	0.946445824707	0.964251207729	0.873567977916	0.886542443064	0.933747412008	0.879158040028	0.870531400966	0.963492063492	0.972877846791	0.962111801242	0.839268461008	0.85762594893	0.861421670117
CR348	0.933747412008	0.913733609386	0.851552795031	0.0	0.951000690131	0.952380952381	0.956383712905	0.86259489303	0.88060731539	0.983229813665	0.990476190476	0.866873706004	0.96314699793	0.965010351967	0.98005521049	0.902691511387	0.933333333333	0.945479641132	0.90248447205	0.905452035887	0.977363699103	0.985576259489	0.966666666667	0.945893719807	0.93933747412	0.944651483782
CR457	0.833471359558	0.67922705314	0.882953761215	0.951000690131	0.0	0.52160110421	0.849482401656	0.917598343685	0.938578329883	0.761076604555	0.868253968254	0.945410628019	0.945203588682	0.960317460317	0.992477570738	0.954865424431	0.939682539683	0.972877846791	0.948930296756	0.947964113182	0.887025534852	0.908488612836	0.985852311939	0.866252587992	0.907384403037	0.81994478951
CR458	0.828295376121	0.801242236025	0.842581090407	0.952380952381	0.52160110421	0.0	0.734989648033	0.903933747412	0.934644582471	0.735955831608	0.853347135956	0.932091097308	0.948171152519	0.966252587992	0.98253968254	0.939130434783	0.917598343685	0.970462387854	0.936438923395	0.918081435473	0.83961352657	0.88088336784	0.971773636991	0.73823326432	0.894409937888	0.807729468599
CR464	0.921118012422	0.868530020704	0.817874396135	0.956383712905	0.849482401656	0.734989648033	0.0	0.878053830228	0.920634920635	0.984817115252	0.991787439614	0.894064872326	0.933954451346	0.953416149068	0.966321601104	0.922912353347	0.9038647343	0.954244306418	0.911525189786	0.9011042098	0.977087646653	0.987025534852	0.965355417529	0.361007591442	0.845479641132	0.788267770876
CR469	0.875086266391	0.859903381643	0.81828847481	0.86259489303	0.917598343685	0.903933747412	0.878053830228	0.0	0.72160110421	0.990338164251	0.994755003451	0.821187025535	0.91856452726	0.950172532781	0.991373360939	0.815942028986	0.870048309179	0.902415458937	0.815113871636	0.834368530021	0.978605935128	0.983436853002	0.984403036577	0.871083505866	0.812629399586	0.855486542443
CR470	0.886680469289	0.868461007591	0.852795031056	0.88060731539	0.938578329883	0.934644582471	0.920634920635	0.72160110421	0.0	0.991304347826	0.994893029676	0.819323671498	0.904347826087	0.919530710835	0.993650793651	0.809799861974	0.871152518979	0.873982056591	0.808074534161	0.854244306418	0.978743961353	0.98364389234	0.989371980676	0.891787439614	0.860731538992	0.9011042098
CR2528	0.769289164941	0.838164251208	0.960317460317	0.983229813665	0.761076604555	0.735955831608	0.984817115252	0.990338164251	0.991304347826	0.0	0.506625258799	0.989371980676	0.992891649413	0.991925465839	0.997998619738	0.991304347826	0.988681849551	0.992477570738	0.991373360939	0.992270531401	0.651069703244	0.72077294686	0.992822636301	0.987370600414	0.987232574189	0.912215320911
CR2530	0.770531400966	0.830227743271	0.984817115252	0.990476190476	0.868253968254	0.853347135956	0.991787439614	0.994755003451	0.994893029676	0.506625258799	0.0	0.995790200138	0.995859213251	0.994340924776	0.99917184265	0.996273291925	0.995583160801	0.995031055901	0.994893029676	0.99641131815	0.61690821256	0.660455486542	0.995721187026	0.994962042788	0.992477570738	0.947757073844
GM173	0.878053830228	0.875500345066	0.853623188406	0.866873706004	0.945410628019	0.932091097308	0.894064872326	0.821187025535	0.819323671498	0.989371980676	0.995790200138	0.0	0.937750172533	0.94182194617	0.990269151139	0.82077294686	0.873360938578	0.891787439614	0.803105590062	0.828571428571	0.980400276052	0.984334023464	0.989855072464	0.873015873016	0.872739820566	0.897929606625
KSG242	0.953830227743	0.898964803313	0.934713595583	0.96314699793	0.945203588682	0.948171152519	0.933954451346	0.91856452726	0.904347826087	0.992891649413	0.995859213251	0.937750172533	0.0	0.460869565217	0.996204278813	0.937543133195	0.941959972395	0.92132505176	0.924085576259	0.942305037957	0.984541062802	0.985645272602	0.974396135266	0.904899930987	0.797170462388	0.839406487233
KSG246	0.96204278813	0.926570048309	0.946445824707	0.965010351967	0.960317460317	0.966252587992	0.953416149068	0.950172532781	0.919530710835	0.991925465839	0.994340924776	0.94182194617	0.460869565217	0.0	0.993029675638	0.946790890269	0.951759834369	0.92077294686	0.936991028295	0.949068322981	0.983160800552	0.985576259489	0.979434092478	0.931815044859	0.85652173913	0.916563146998
KSG477	0.993098688751	0.992546583851	0.964251207729	0.98005521049	0.992477570738	0.98253968254	0.966321601104	0.991373360939	0.993650793651	0.997998619738	0.99917184265	0.990269151139	0.996204278813	0.993029675638	0.0	0.992408557626	0.992753623188	0.994340924776	0.990959282264	0.990200138026	0.998481711525	0.997722567288	0.922084195997	0.973567977916	0.987646652864	0.989717046239
KSG0645	0.911318150449	0.88171152519	0.873567977916	0.902691511387	0.954865424431	0.939130434783	0.922912353347	0.815942028986	0.809799861974	0.991304347826	0.996273291925	0.82077294686	0.937543133195	0.946790890269	0.992408557626	0.0	0.602553485162	0.606280193237	0.505521048999	0.576052449965	0.977156659765	0.967494824017	0.985438233264	0.90027605245	0.839544513458	0.87729468599
KSG0647	0.933195307108	0.898757763975	0.886542443064	0.933333333333	0.939682539683	0.917598343685	0.9038647343	0.870048309179	0.871152518979	0.988681849551	0.995583160801	0.873360938578	0.941959972395	0.951759834369	0.992753623188	0.602553485162	0.0	0.695652173913	0.61939268461	0.532091097308	0.982056590752	0.969289164941	0.981504485852	0.883022774327	0.870945479641	0.884817115252
KSG0652	0.945824706694	0.927812284334	0.933747412008	0.945479641132	0.972877846791	0.970462387854	0.954244306418	0.902415458937	0.873982056591	0.992477570738	0.995031055901	0.891787439614	0.92132505176	0.92077294686	0.994340924776	0.606280193237	0.695652173913	0.0	0.608902691511	0.713319530711	0.975431331953	0.958385093168	0.988681849551	0.931746031746	0.899309868875	0.922567287785
KSG0660	0.897584541063	0.878605935128	0.879158040028	0.90248447205	0.948930296756	0.936438923395	0.911525189786	0.815113871636	0.808074534161	0.991373360939	0.994893029676	0.803105590062	0.924085576259	0.936991028295	0.990959282264	0.505521048999	0.61939268461	0.608902691511	0.0	0.550793650794	0.974879227053	0.965700483092	0.976259489303	0.881297446515	0.826915113872	0.885783298827
KSG0673	0.905935127674	0.884334023464	0.870531400966	0.905452035887	0.947964113182	0.918081435473	0.9011042098	0.834368530021	0.854244306418	0.992270531401	0.99641131815	0.828571428571	0.942305037957	0.949068322981	0.990200138026	0.576052449965	0.532091097308	0.713319530711	0.550793650794	0.0	0.978191856453	0.970462387854	0.980400276052	0.877708764665	0.850655624569	0.880262249827
KSG1471	0.816494133885	0.90138026225	0.963492063492	0.977363699103	0.887025534852	0.83961352657	0.977087646653	0.978605935128	0.978743961353	0.651069703244	0.61690821256	0.980400276052	0.984541062802	0.983160800552	0.998481711525	0.977156659765	0.982056590752	0.975431331953	0.974879227053	0.978191856453	0.0	0.490683229814	0.995928226363	0.989302967564	0.979641131815	0.951069703244
KSG1507	0.835886818496	0.87674258109	0.972877846791	0.985576259489	0.908488612836	0.88088336784	0.987025534852	0.983436853002	0.98364389234	0.72077294686	0.660455486542	0.984334023464	0.985645272602	0.985576259489	0.997722567288	0.967494824017	0.969289164941	0.958385093168	0.965700483092	0.970462387854	0.490683229814	0.0	0.994547964113	0.987232574189	0.984403036577	0.956728778468
US1AZ	0.987853692202	0.986404416839	0.962111801242	0.966666666667	0.985852311939	0.971773636991	0.965355417529	0.984403036577	0.989371980676	0.992822636301	0.995721187026	0.989855072464	0.974396135266	0.979434092478	0.922084195997	0.985438233264	0.981504485852	0.988681849551	0.976259489303	0.980400276052	0.995928226363	0.994547964113	0.0	0.967563837129	0.982608695652	0.980193236715
WCR464	0.910697032436	0.851621808144	0.839268461008	0.945893719807	0.866252587992	0.73823326432	0.361007591442	0.871083505866	0.891787439614	0.987370600414	0.994962042788	0.873015873016	0.904899930987	0.931815044859	0.973567977916	0.90027605245	0.883022774327	0.931746031746	0.881297446515	0.877708764665	0.989302967564	0.987232574189	0.967563837129	0.0	0.815389924086	0.789440993789
WLK3	0.896480331263	0.842236024845	0.85762594893	0.93933747412	0.907384403037	0.894409937888	0.845479641132	0.812629399586	0.860731538992	0.987232574189	0.992477570738	0.872739820566	0.797170462388	0.85652173913	0.987646652864	0.839544513458	0.870945479641	0.899309868875	0.826915113872	0.850655624569	0.979641131815	0.984403036577	0.982608695652	0.815389924086	0.0	0.634575569358
